incident_id,title,description,fault_type,root_cause_service,region,is_anomalous,data_split
INC-00001,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00002,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,cpu,adservice,unknown,True,Test
INC-00003,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00004,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,cpu,adservice,unknown,True,Train
INC-00005,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00006,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,cpu,adservice,unknown,True,Train
INC-00007,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00008,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,cpu,adservice,unknown,True,Train
INC-00009,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00010,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,cpu,adservice,unknown,True,Test
INC-00011,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00012,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,delay,adservice,unknown,True,Train
INC-00013,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00014,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,delay,adservice,unknown,True,Test
INC-00015,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00016,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,delay,adservice,unknown,True,Train
INC-00017,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00018,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,delay,adservice,unknown,True,Test
INC-00019,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00020,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,delay,adservice,unknown,True,Train
INC-00021,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00022,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,disk,adservice,unknown,True,Train
INC-00023,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00024,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,disk,adservice,unknown,True,Train
INC-00025,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00026,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,disk,adservice,unknown,True,Train
INC-00027,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00028,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,disk,adservice,unknown,True,Train
INC-00029,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00030,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,disk,adservice,unknown,True,Test
INC-00031,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00032,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,loss,adservice,unknown,True,Train
INC-00033,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Test
INC-00034,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,loss,adservice,unknown,True,Test
INC-00035,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00036,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,loss,adservice,unknown,True,Train
INC-00037,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,healthy,none,unknown,False,Train
INC-00038,Telemetry window from RE1-OB,Processed multivariate RCAEval metrics segment from RE1-OB.,loss,adservice,unknown,True,Train
