time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,currencyservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705668201,0.6382483489356896,2.031506414876788,0.3799740517438716,34.245213506893194,0.3096308754536591,8.390871424456895,0.4982289595158695,3.675926401707548,3.0229265391477167,0.2974061734174152,0.17019499999999965,107257856,44462080,11718656,45457408,43507712,15691776,44404736,10797056,45182976,2940928,8798208,80399.34915858688,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,22.333,0.733,65.733,0.933,11.067,11,0.933,133.667,17.6,5.267,0,0,0.0030115942028985506,0.00315968841285297,0.11363636363636366,0.004139318885448916,0.003,0.05374617737003058,0.003324324324324324,0.0019225268176400476,0.007494033412887829,0.002919191919191919,0.004620869565217392,0.004887439143135347,0.22272727272727272,0.04988805970149248,0.0046,0.19484063745019928,0.006416666666666668,0.004405101311084625,0.009536992840095465,0.004605387205387205
1705668202,0.6518374495709286,2.031506414876788,0.3799740517438716,34.245213506893194,0.1815696301349085,8.390871424456895,0.48816301627713804,3.675926401707548,2.978531120795601,0.2974061734174152,0.17019499999999965,107257856,44462080,11718656,45457408,43507712,15691776,44404736,10797056,45182976,2940928,8798208,82111.15123147219,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,22.333,0.733,65.733,0.667,11.067,11,0.933,133.667,17.6,5.267,0,0,0.0030115942028985506,0.00315968841285297,0.11363636363636366,0.004139318885448916,0.003,0.05374617737003058,0.003324324324324324,0.0019225268176400476,0.007494033412887829,0.002919191919191919,0.004620869565217392,0.004887439143135347,0.22272727272727272,0.04988805970149248,0.0046,0.19484063745019928,0.006416666666666668,0.004405101311084625,0.009536992840095465,0.004605387205387205
1705668203,0.6654265502061676,1.9261735113338778,0.3799740517438716,34.245213506893194,0.18645158405335624,8.390871424456895,0.6026586811808389,3.675926401707548,2.978531120795601,0.2974061734174152,0.2036770862314254,107257856,44462080,11718656,45457408,43507712,15691776,44969984,10797056,45182976,2940928,8798208,83822.95330435752,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.667,133,17.6,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.004137411347517731,0.003058823529411765,0.05374617737003058,0.0031666666666666666,0.0019209835282883744,0.007494033412887829,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587126,0.004705882352941178,0.19484063745019928,0.004900000000000001,0.004404822153258534,0.009536992840095465,0.004605536332179931
1705668204,0.6790156508414065,1.9261735113338778,0.3902384897620509,29.23951454811615,0.19133353797180397,8.390871424456895,0.6026586811808389,3.675926401707548,2.978531120795601,0.2974061734174152,0.1991930784329219,107257856,44462080,11718656,45457408,43507712,15691776,44969984,10797056,45182976,2940928,8798208,85534.75537724285,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.667,133,17.6,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.004137411347517731,0.003058823529411765,0.05374617737003058,0.0031666666666666666,0.0019209835282883744,0.007494033412887829,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587126,0.004705882352941178,0.19484063745019928,0.004900000000000001,0.004404822153258534,0.009536992840095465,0.004605536332179931
1705668205,0.6926047514766454,1.9261735113338778,0.39023848976205094,33.51302828532164,0.19621549189025173,8.390871424456895,0.6026586811808389,3.675926401707548,2.978531120795601,0.2974061734174152,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45182976,2940928,8802304,87246.55745012817,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.467,133,17.6,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0019209835282883744,0.007494033412887829,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004404822153258534,0.009536992840095465,0.004605536332179931
1705668206,0.7061938521118843,1.9261735113338778,0.39023848976205094,33.51302828532164,0.2010974458086995,8.390871424456895,0.6026586811808389,3.675926401707548,2.978531120795601,0.2974061734174152,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45182976,2940928,8802304,88958.3595230135,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.467,133,17.6,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0019209835282883744,0.007494033412887829,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004404822153258534,0.009536992840095465,0.004605536332179931
1705668207,0.8153460381143349,1.9261735113338778,0.39023848976205094,33.36638974602323,0.20597939972714724,8.390871424456895,0.6026586811808389,3.675926401707548,2.978531120795601,0.2988253554593237,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45182976,2940928,8802304,102708.12437311935,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.467,133,17.6,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0019209835282883744,0.007494033412887829,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004404822153258534,0.009536992840095465,0.004605536332179931
1705668208,0.8153460381143349,1.9261735113338778,0.39023848976205094,33.36638974602323,0.21086135364559497,5.139565864976372,0.6026586811808389,3.675926401707548,2.9626385787006497,0.2988253554593237,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45174784,2940928,8802304,102708.12437311935,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.467,133.2,17.467,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0018416378885051802,0.007496969696969697,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004390429205722743,0.009538181818181819,0.004605536332179931
1705668209,0.8153460381143349,1.9261735113338778,0.39023848976205094,33.36638974602323,0.21574330756404272,4.0076033333336145,0.6026586811808389,3.650895754369813,2.9626385787006497,0.2988253554593237,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45174784,2940928,8802304,102708.12437311935,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,14.533,21.867,0.467,64.8,0.4,11.067,11,0.467,133.2,17.467,4.733,0,0,0.0030115942028985506,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0018416378885051802,0.007496969696969697,0.002916955017301038,0.004620869565217392,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004390429205722743,0.009538181818181819,0.004605536332179931
1705668210,0.8153460381143349,1.9261735113338778,0.39023848976205094,33.36638974602323,0.22062526148249045,4.0076033333336145,0.6026586811808389,3.650895754369813,2.9626385787006497,0.2988253554593237,0.25145338569261033,107257856,44462080,11718656,44580864,43507712,15691776,44969984,10797056,45174784,2940928,8802304,102708.12437311935,0,0,0,0,0,0,0,0,4,4,9,3,3,25,3,3,4,4,2,15.133,21.867,0.467,64.8,0.4,11.067,11,0.467,133.2,17.467,4.733,0,0,0.0030116448326055313,0.003160942100098136,0.12142857142857144,0.00413741134751773,0.003058823529411765,0.05374617737003058,0.003117644290599542,0.0018416378885051802,0.007496969696969697,0.002916955017301038,0.004620960698689956,0.004889695780176645,0.22428571428571428,0.049639303482587056,0.004705882352941178,0.19484063745019928,0.004811759723079175,0.004390429205722743,0.009538181818181819,0.004605536332179931
