time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705764808,3.4500073355270056,3.3973404059380408,0.47120644756600577,34.45586450572241,0.3049445442846752,7.462994804408098,0.8897259173778734,3.625907994948141,3.0723141486810555,0.2444783462689982,0.3013787453183521,95768576,40833024,9854976,40738816,43384832,13176832,25235456,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,17,3,4,4,4,2,13.8,26,1.333,73.6,1.2,26.533,1.2,144.75,20.002,8.467,0.0035186567164179105,0.005359344434977124,0.084375,0.005881410256410256,0.003,0.07500000000000001,0.005104166666666666,0.001716875159560889,0.008325434439178516,0.002659442724458205,0.007837301587301587,0.014628196479716494,0.21021739130434788,0.06200421940928275,0.004600000000000001,0.22158774373259055,0.010250000000000014,0.004389941281593057,0.019185840707964606,0.004591331269349846
1705764809,3.4500073355270056,3.3973404059380408,0.47120644756600577,34.45586450572241,0.3478543053768253,7.462994804408098,0.868249737516718,3.625907994948141,3.0723141486810555,0.2444783462689982,0.3013787453183521,95768576,40833024,9854976,40738816,43384832,13176832,25235456,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,17,3,4,4,4,2,13.8,26,1.333,73.6,1.067,26.533,1.2,144.75,20.002,8.467,0.0035186567164179105,0.005359344434977124,0.084375,0.005881410256410256,0.003,0.07500000000000001,0.005104166666666666,0.001716875159560889,0.008325434439178516,0.002659442724458205,0.007837301587301587,0.014628196479716494,0.21021739130434788,0.06200421940928275,0.0046,0.22158774373259055,0.010250000000000014,0.004389941281593057,0.019185840707964606,0.004591331269349846
1705764810,3.4500073355270056,3.3973404059380408,0.47120644756600577,34.45586450572241,0.3478543053768253,7.462994804408098,1.1298689661002619,3.625907994948141,3.0723141486810555,0.1993235751802107,0.3013787453183521,95768576,40833024,9854976,40738816,43384832,13176832,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,17,3,4,4,4,2,13.8,26,1.333,73.6,1.067,26.533,1.2,144.75,20.002,8.467,0.0035186567164179105,0.005359344434977124,0.084375,0.005881410256410256,0.003,0.07500000000000001,0.005104166666666666,0.001716875159560889,0.008325434439178516,0.002659442724458205,0.007837301587301587,0.014628196479716494,0.21021739130434788,0.06200421940928275,0.0046,0.22158774373259055,0.010250000000000014,0.004389941281593057,0.019185840707964606,0.004591331269349846
1705764811,3.4500073355270056,3.3973404059380408,0.47120644756600577,34.45586450572241,0.30183704582330895,7.462994804408098,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.20338878989279774,0.15746,95768576,40833024,9854976,40738816,43384832,13176832,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,17,3,4,4,4,2,13.8,26,1.333,73.6,1.067,26.533,1,145.402,20.002,8.467,0.0035186567164179105,0.005359344434977124,0.084375,0.005881410256410256,0.003,0.07500000000000001,0.004733333333333333,0.001703896103896104,0.008325434439178516,0.002659442724458205,0.007837301587301587,0.014628196479716494,0.21021739130434788,0.06200421940928275,0.0046,0.22158774373259055,0.009857142857142858,0.004387324675324675,0.019185840707964606,0.004591331269349846
1705764812,3.4500073355270056,3.190800391840498,0.4005391663873058,34.4558645057224,0.2960394740670285,7.438065463338804,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.8,25.8,1.333,73.6,1.067,26.533,1,145.402,20.002,8.467,0.0035186567164179105,0.005246252676659528,0.084375,0.005881410256410256,0.003,0.07500000000000001,0.004733333333333333,0.001703896103896104,0.008325434439178516,0.002659442724458205,0.007837301587301587,0.014187919463087244,0.21021739130434788,0.06200421940928275,0.0046,0.22158774373259055,0.009857142857142858,0.004387324675324675,0.019185840707964606,0.004591331269349846
1705764813,3.4500073355270056,3.190800391840498,0.4005391663873058,34.4558645057224,0.2902419023107481,7.438065463338804,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.867,26.733,0.867,72.933,1.067,26.667,1,148.269,20.469,9.067,0.0033899821109123437,0.004902755267423014,0.07738095238095238,0.00526358695652174,0.003,0.07015945330296128,0.004733333333333333,0.0016863002892453327,0.008266823161189358,0.002662576687116564,0.007175257731958766,0.012957142857142872,0.20218750000000005,0.055266497461928986,0.0046,0.21060702875399365,0.009857142857142858,0.004381856429134894,0.018880281690140846,0.004591411042944784
1705764814,3.4500073355270056,3.190800391840498,0.4005391663873058,34.4558645057224,0.28444433055446766,7.438065463338804,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.867,26.733,0.867,72.933,1.067,26.667,1,148.269,20.469,9.067,0.0033899821109123437,0.004902755267423014,0.07738095238095238,0.00526358695652174,0.003,0.07015945330296128,0.004733333333333333,0.0016863002892453327,0.008266823161189358,0.002662576687116564,0.007175257731958766,0.012957142857142872,0.20218750000000005,0.055266497461928986,0.0046,0.21060702875399365,0.009857142857142858,0.004381856429134894,0.018880281690140846,0.004591411042944784
1705764815,3.4500073355270056,3.190800391840498,0.4005391663873058,34.4558645057224,0.2786467587981873,7.453843201011607,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.867,26.733,0.867,72.933,1.067,26.667,1,148.269,20.469,9.067,0.0033899821109123437,0.004902755267423014,0.07738095238095238,0.00526358695652174,0.003,0.07015945330296128,0.004733333333333333,0.0016863002892453327,0.008266823161189358,0.002662576687116564,0.007175257731958766,0.012957142857142872,0.20218750000000005,0.055266497461928986,0.0046,0.21060702875399365,0.009857142857142858,0.004381856429134894,0.018880281690140846,0.004591411042944784
1705764816,3.4500073355270056,3.190800391840498,0.4005391663873058,33.32931259646208,0.27284918704190686,7.453843201011607,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.867,26.333,0.667,72.333,0.867,26.667,0.8,147.869,20.469,8.667,0.0033899821109123437,0.004892156862745098,0.07222222222222222,0.005231986899563318,0.003,0.07015945330296128,0.004266666666666667,0.0016830039525691696,0.008266823161189358,0.0026485623003194886,0.007175257731958766,0.01301079136690648,0.195,0.05478092783505159,0.0046,0.21060702875399365,0.009147058823529413,0.004380447957839263,0.018880281690140846,0.004591054313099041
1705764817,3.4500073355270056,3.190800391840498,0.4005391663873058,33.32931259646208,0.2670516152856264,7.453843201011607,1.0788805326100355,3.6014804189558576,3.0723141486810555,0.24391288275522152,0.15746,95768576,40833024,9854976,40738816,43384832,13156352,25284608,9306112,43069440,2961408,7790592,42923.31230482259,0,,0,0,,4,5,9,4,3,18,3,4,4,4,2,13.867,26.333,0.667,73.2,0.867,26.667,0.8,146.8,19.4,8.667,0.0033899821109123437,0.004892156862745098,0.07222222222222222,0.004880225988700565,0.003,0.07015945330296128,0.004266666666666667,0.0016802110817941947,0.008217665615141955,0.0026485623003194886,0.007175257731958766,0.01301079136690648,0.195,0.045906862745098025,0.0046,0.21060702875399365,0.009147058823529413,0.004378258575197888,0.018692682926829275,0.004591054313099041
