time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705767105,0.8068067739362852,2.184883505181953,0.30237499051522326,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.9368408273182833,0.23430656934306598,0.2553150032474574,105414656,43294720,11247616,44888064,43520000,15335424,36118528,10567680,44285952,3108864,8642560,86466.20068489939,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,15.533,27,0.933,81.059,0.733,27.267,1,153.467,19.6,7.133,0,0.0030058055152394772,0.0037733337528531754,0.0596154372145182,0.0040409548934962165,0.003,0.054745042492917846,0.00322222825818559,0.0016799173000093357,0.007761548913043478,0.0025909143254671907,0.004633671988388969,0.008627658776318239,0.18062491666296285,0.040293411994679396,0.0046,0.19074427480916029,0.005000122224938335,0.004358577585453371,0.01148404255319149,0.004518182865093437
1705767106,0.8068067739362852,1.8985120379819236,0.30237499051522326,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.808005399932497,0.23430656934306598,0.2553150032474574,105414656,43294720,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,86466.20068489939,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,15.533,27,0.933,81.059,0.733,27.267,0.667,134.267,19.6,7.133,0,0.0030058055152394772,0.0037733337528531754,0.0596154372145182,0.0040409548934962165,0.003,0.054745042492917846,0.00325000555580248,0.0016700490612140558,0.007761548913043478,0.0025909143254671907,0.004633671988388969,0.008627658776318239,0.18062491666296285,0.040293411994679396,0.0046,0.19074427480916029,0.005500088890864237,0.004355365909212478,0.01148404255319149,0.004518182865093437
1705767107,0.8068067739362852,1.8620973128955578,0.30237499051522326,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.244008416049498,0.23430656934306598,0.2553150032474574,105414656,43294720,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,86466.20068489939,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,15.533,24.4,0.933,81.059,0.733,27.267,0.667,134.267,19.6,7.133,0,0.0030058055152394772,0.003733656704370567,0.0596154372145182,0.0040409548934962165,0.003,0.054745042492917846,0.00325000555580248,0.0016700490612140558,0.007761548913043478,0.0025909143254671907,0.004633671988388969,0.008559924521266055,0.18062491666296285,0.040293411994679396,0.0046,0.19074427480916029,0.005500088890864237,0.004355365909212478,0.01148404255319149,0.004518182865093437
1705767108,0.8068067739362852,1.825682587809192,0.30237499051522326,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.2910429215018917,0.23430656934306598,0.2553150032474574,105414656,43294720,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,86466.20068489939,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.733,0.667,79.325,0.733,25.733,0.667,122.933,17.667,7,0,0.003,0.0036989123556412057,0.06153842208911134,0.00397850155796121,0.003,0.05301204819277109,0.00325000555580248,0.0016375556429426288,0.007726960110041265,0.0025955107355666897,0.0046237037037037045,0.008464843549245142,0.1824998333259256,0.04017477430501688,0.0046,0.19262357414448666,0.005500088890864237,0.004344978363935415,0.01005421686746986,0.004519102147113338
1705767109,0.8068067739362852,1.789267862722826,0.2613200261780188,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.3380774269542863,0.23430656934306598,0.2553150032474574,105414656,43294720,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,86466.20068489939,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.733,0.667,79.325,0.733,25.733,0.667,122.933,17.667,7,0,0.003,0.0036989123556412057,0.06153842208911134,0.00397850155796121,0.003,0.05301204819277109,0.00325000555580248,0.0016375556429426288,0.007726960110041265,0.0025955107355666897,0.0046237037037037045,0.008464843549245142,0.1824998333259256,0.04017477430501688,0.0046,0.19262357414448666,0.005500088890864237,0.004344978363935415,0.01005421686746986,0.004519102147113338
1705767110,0.6834549827211376,2.1390429403202327,0.2562804430027651,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.3851119324066805,0.23430656934306598,0.2553150032474574,105414656,43593728,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,73246.47933574143,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.733,0.667,79.325,0.733,25.733,0.667,122.933,17.667,7,0,0.003,0.0036989123556412057,0.06153842208911134,0.00397850155796121,0.003,0.05301204819277109,0.00325000555580248,0.0016375556429426288,0.007726960110041265,0.0025955107355666897,0.0046237037037037045,0.008464843549245142,0.1824998333259256,0.04017477430501688,0.0046,0.19262357414448666,0.005500088890864237,0.004344978363935415,0.01005421686746986,0.004519102147113338
1705767111,0.7415857441499726,2.1390429403202327,0.2512408598275113,33.26094319009462,0.26935331825037667,7.924382131371418,0.6018532503316678,3.6228922468577958,2.432146437859075,0.23430656934306598,0.2553150032474574,105537536,43593728,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,62148.49281812666,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.2,0.4,78.459,0.467,25.733,0.4,122.333,17.667,6.467,0,0.003,0.003697337053212765,0.06458342593004134,0.003980586067643494,0.003,0.05301204819277109,0.0032580706211611135,0.0016371836624761028,0.007726960110041265,0.0025924577518910467,0.0046237037037037045,0.008462744717982112,0.19166688066689055,0.040283840514661,0.0046,0.19262357414448666,0.005625091668703746,0.00434490873682245,0.01005421686746986,0.0045184915503782095
1705767112,0.7245221789534985,2.1390429403202327,0.24620127665225763,33.26094319009462,0.22919273849924554,7.924382131371418,0.6018532503316678,2.6745818410913507,2.8220703271436673,0.20287139864119907,0.2553150032474574,105537536,43593728,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,45835.01186159975,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.2,0.4,76.608,0.467,25.733,0.4,121,16.333,6.467,0,0.003,0.003697337053212765,0.06458342593004134,0.003933224102028791,0.003,0.05301204819277109,0.0032580706211611135,0.0016312339101496704,0.00770596590909091,0.0025924577518910467,0.0046237037037037045,0.008462744717982112,0.19166688066689055,0.03927330512416585,0.0046,0.19262357414448666,0.005625091668703746,0.004342027592033014,0.010325301204819327,0.0045184915503782095
1705767113,0.7245221789534985,2.1390429403202327,0.2411616934770039,33.26094319009462,0.22470351652840592,7.924382131371418,0.6018532503316678,2.7373242132667133,2.8220703271436673,0.19886233996134753,0.2553150032474574,105537536,43593728,11247616,44888064,43520000,15335424,36118528,10567680,44367872,3108864,8642560,45835.01186159975,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.2,0.4,76.608,0.467,25.733,0.4,121,16.333,6.467,0,0.003,0.003697337053212765,0.06458342593004134,0.003933224102028791,0.003,0.05301204819277109,0.0032580706211611135,0.0016312339101496704,0.00770596590909091,0.0025924577518910467,0.0046237037037037045,0.008462744717982112,0.19166688066689055,0.03927330512416585,0.0046,0.19262357414448666,0.005625091668703746,0.004342027592033014,0.010325301204819327,0.0045184915503782095
1705767114,0.7245221789534985,2.1390429403202327,0.23612211030175023,33.26094319009462,0.2160495017473904,7.924382131371418,0.4711590927093879,2.800066585442076,2.8220703271436673,0.22923616827693877,0.2553150032474574,105537536,43593728,11247616,44888064,43520000,15335424,35782656,10567680,44367872,2977792,8642560,45835.01186159975,0,0,0,0,0,4,5,9,4,3,24,3,4,4,4,2,14.333,22.2,0.4,76.608,0.467,24,0.4,121,16.333,6.467,0,0.003,0.003697337053212765,0.06458342593004134,0.003933224102028791,0.003,0.05229430379746834,0.0032580706211611135,0.0016312339101496704,0.00770596590909091,0.0025924577518910467,0.0046237037037037045,0.008462744717982112,0.19166688066689055,0.03927330512416585,0.0046,0.19817647058823537,0.005625091668703746,0.004342027592033014,0.010325301204819327,0.0045184915503782095
