time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705461350,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.30511234694132017,9.016403275550456,0.9432271915568141,3.768605612355881,1.8801908032990076,0.26113388014495126,0.32726726870977296,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8769536,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,15.6,26.8,0.8,78.333,0.933,14.067,12.933,1,147.467,19.067,7.867,0,0,0.003002958579881657,0.0038414779499404052,0.14,0.00435637342908438,0.003,0.06526402640264027,0.0031666666666666666,0.0020046317739694304,0.007461290322580645,0.0029014492753623193,0.004610059171597633,0.008574923547400614,0.23599999999999996,0.06821367521367523,0.0046,0.22012857142857142,0.004900000000000001,0.004430569708198242,0.009652258064516129,0.004589565217391305
1705461351,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.30511234694132017,9.016403275550456,0.9432271915568141,3.768605612355881,1.928235132555776,0.2198875000000022,0.3272672687097729,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8769536,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29,1.267,83.867,0.933,14.067,15.533,1,160.467,20.933,8.333,0,0,0.003008720930232558,0.003808172531214529,0.13870967741935486,0.00436153161175423,0.003,0.0650887573964497,0.0031666666666666666,0.0020570676031606673,0.007454156479217604,0.0029055555555555558,0.004620348837209303,0.00850906344410876,0.23935483870967744,0.06872895622895625,0.0046,0.2189473684210527,0.004900000000000001,0.004442317822651448,0.009627750611246941,0.00459
1705461352,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.30511234694132017,9.016403275550456,0.9432271915568141,3.768605612355881,1.976279461812545,0.2198875000000022,0.3272672687097729,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8769536,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29,1.267,83.867,0.933,14.067,15.533,1,160.467,20.933,8.333,0,0,0.003008720930232558,0.003808172531214529,0.13870967741935486,0.00436153161175423,0.003,0.0650887573964497,0.0031666666666666666,0.0020570676031606673,0.007454156479217604,0.0029055555555555558,0.004620348837209303,0.00850906344410876,0.23935483870967744,0.06872895622895625,0.0046,0.2189473684210527,0.004900000000000001,0.004442317822651448,0.009627750611246941,0.00459
1705461353,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.31425364509246034,9.016403275550456,0.9432271915568141,3.768605612355881,2.0243237910693135,0.26230013781923467,0.3272672687097729,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8769536,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.133,14.067,15.533,1.2,161.267,20.933,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.003076923076923077,0.0020574561403508777,0.007454156479217604,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.0046,0.2189473684210527,0.0047384615384615395,0.004441666666666668,0.009627750611246941,0.00459010989010989
1705461354,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.31425364509246034,9.016403275550456,0.9432271915568141,3.768605612355881,2.0723681203260815,0.2569747603110911,0.3272672687097729,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8769536,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.133,14.067,15.533,1.2,161.267,20.933,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.003076923076923077,0.0020574561403508777,0.007454156479217604,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.0046,0.2189473684210527,0.0047384615384615395,0.004441666666666668,0.009627750611246941,0.00459010989010989
1705461355,0.8019315018758223,3.1976613332242163,0.5149769107529913,31.49912060778709,0.31425364509246034,9.016403275550456,0.9432271915568141,3.768605612355881,2.1204124495828505,0.3230779027807277,0.3360967055926577,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8560640,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.133,14.067,15.533,1.2,161.267,20.933,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.003076923076923077,0.0020574561403508777,0.007454156479217604,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.0046,0.2189473684210527,0.0047384615384615395,0.004441666666666668,0.009627750611246941,0.00459010989010989
1705461356,0.8019315018758223,3.1976613332242163,0.30952426758709284,31.49912060778709,0.31425364509246034,9.016403275550456,0.9432271915568141,3.768605612355881,1.7796099999999628,0.3230779027807277,0.3360967055926577,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8560640,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.2,14.067,15.533,1.2,161.267,20.933,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.003076923076923077,0.0020574561403508777,0.007454156479217604,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.004600000000000001,0.2189473684210527,0.0047384615384615395,0.004441666666666668,0.009627750611246941,0.00459010989010989
1705461357,0.8019315018758223,3.1976613332242163,0.31632479417654125,31.71478184415839,0.31425364509246034,9.016403275550456,0.9432271915568141,3.768605612355881,1.7796099999999628,0.3230779027807277,0.3360967055926577,105795584,43556864,11141120,44965888,43098112,15790080,36253696,9957376,45314048,3002368,8560640,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.2,14.067,15.533,1.2,161.267,20.933,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.003076923076923077,0.0020574561403508777,0.007454156479217604,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.004600000000000001,0.2189473684210527,0.0047384615384615395,0.004441666666666668,0.009627750611246941,0.00459010989010989
1705461358,0.8019315018758223,3.27047913016879,0.32312532076598954,31.71478184415839,0.31425364509246034,9.044199513693446,0.9432271915568141,3.7925165274002595,2.3340840886602847,0.3230779027807277,0.3360967055926577,105795584,43556864,11141120,44965888,43098112,15790080,36253696,10235904,45277184,3002368,8560640,99140.7479123805,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.2,14.067,15.533,1.2,161.533,21.2,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.0030784313725490194,0.002062486392336164,0.007467685076380729,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.004600000000000001,0.2189473684210527,0.004741176470588235,0.004439669061615502,0.00962514688601645,0.00459010989010989
1705461359,0.6791535613511287,3.27047913016879,0.32992584735543784,31.71478184415839,0.31425364509246034,9.143120639182998,0.9432271915568141,3.760842175066363,2.382949057229147,0.3230779027807277,0.3360967055926577,105795584,43556864,11141120,44965888,43098112,15949824,36253696,10235904,45277184,3002368,8560640,83962.02401602862,0,0,0,4,5,9,3,3,35,3,4,4,4,2,16.733,29.4,1.467,84.867,1.2,14.067,15.533,1.2,161.533,21.2,8.733,0,0,0.003008720930232558,0.003794150731158605,0.13629032258064516,0.004349579087284005,0.003,0.0650887573964497,0.0030784313725490194,0.002062486392336164,0.007467685076380729,0.002906593406593407,0.004620348837209303,0.008477203647416413,0.24274193548387094,0.06875,0.004600000000000001,0.2189473684210527,0.004741176470588235,0.004439669061615502,0.00962514688601645,0.00459010989010989
