time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705463799,0.8041713062098391,2.2572597228431404,0.44534804072088197,30.36927943384043,0.30953025242061655,8.5952807391613,0.632514453798566,3.7261706763908427,2.8143389514693316,0.3067551986004528,0.28751796837565563,106504192,43458560,11534336,44232704,43331584,15912960,38273024,10305536,45355008,3264512,8654848,78937.90149892934,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.8,11.6,11.267,0.667,131.333,17.4,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.0032352941176470584,0.0022011558124027564,0.007470892626131953,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005249999999999996,0.00448361858190709,0.009654592496765847,0.0045922077922077925
1705463800,0.8147939834158032,2.2572597228431404,0.44534804072088197,30.36927943384043,0.30953025242061655,8.5952807391613,0.632514453798566,3.7261706763908427,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43458560,11534336,44232704,43331584,15912960,38273024,10305536,45346816,3264512,8654848,65822.459343061,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.8,11.6,11.267,0.667,131.333,17.4,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.0032352941176470584,0.0022011558124027564,0.007470892626131953,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005249999999999996,0.00448361858190709,0.009654592496765847,0.0045922077922077925
1705463801,0.8147939834158032,2.2572597228431404,0.44534804072088197,30.36927943384043,0.30953025242061655,8.5952807391613,0.632514453798566,3.7261706763908427,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43458560,11534336,44232704,43331584,15912960,38273024,10305536,45346816,3264512,8654848,65822.459343061,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.667,11.6,11.267,0.667,131.333,17.4,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.0032352941176470584,0.0022011558124027564,0.007470892626131953,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005249999999999996,0.00448361858190709,0.009654592496765847,0.0045922077922077925
1705463802,0.8147939834158032,2.2572597228431404,0.44534804072088197,30.36927943384043,0.30953025242061655,8.5952807391613,0.632514453798566,3.7261706763908427,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43458560,11534336,44232704,43331584,15912960,38273024,10305536,45346816,3264512,8654848,65822.459343061,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.667,11.6,11.267,0.667,131.333,17.4,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.0032352941176470584,0.0022011558124027564,0.007470892626131953,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005249999999999996,0.00448361858190709,0.009654592496765847,0.0045922077922077925
1705463803,0.8147939834158032,2.2572597228431404,0.44534804072088197,30.044862101631566,0.30953025242061655,8.447984781626626,0.632514453798566,3.8475867857785313,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43458560,11534336,44740608,43331584,15835136,38273024,10305536,45346816,3264512,8654848,65822.459343061,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.667,11.6,11.267,0.667,130.467,16.533,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.0021982222222222225,0.0074839124839124836,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004478044444444444,0.009640926640926641,0.0045922077922077925
1705463804,0.6812288796843678,2.0637855555799733,0.3797866237373137,30.044862101631566,0.29451918944828387,8.447984781626626,0.632514453798566,3.8475867857785313,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43524096,11534336,44740608,43331584,15835136,38273024,10305536,45346816,3264512,8654848,55032.51269524973,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.467,22.533,0.6,72.4,0.667,11.6,11.267,0.667,130.467,16.533,6,0,0,0.0030216049382716047,0.004029045643153528,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.0021982222222222225,0.0074839124839124836,0.0029090909090909093,0.004643827160493827,0.008953313253012048,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004478044444444444,0.009640926640926641,0.0045922077922077925
1705463805,0.6676489799607711,2.0637855555799733,0.37236415639196574,30.04486210163156,0.29451918944828387,6.619568172873905,0.6239816376759394,3.8475867857785313,2.727791687531186,0.3067551986004528,0.28751796837565563,106504192,43524096,11534336,44740608,43331584,15835136,38273024,10305536,45346816,3264512,8654848,53935.471706198725,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.6,22.2,0.6,72.4,0.667,11.6,11.267,0.667,129.267,16.533,5.8,0,0,0.003021505376344086,0.003974008207934337,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.002205002233139795,0.0074839124839124836,0.0028737541528239203,0.004643625192012289,0.008975884244372992,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004481732916480572,0.009640926640926641,0.004585382059800665
1705463806,0.7561735591076967,2.0637855555799733,0.3682350399654385,30.04486210163156,0.29451918944828387,6.757952982433404,0.6239816376759394,3.1667883672582353,2.727791687531186,0.3034825725535944,0.27894505262416475,106500096,43524096,11599872,44740608,43331584,15835136,38273024,10305536,45346816,3264512,8654848,48558.61374009603,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.6,22.2,0.6,72.4,0.667,11.6,11.267,0.667,129.267,16.533,5.8,0,0,0.003021505376344086,0.003974008207934337,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.002205002233139795,0.0074839124839124836,0.0028737541528239203,0.004643625192012289,0.008975884244372992,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004481732916480572,0.009640926640926641,0.004585382059800665
1705463807,0.7561735591076967,2.0637855555799733,0.3682350399654385,29.57641954397373,0.29451918944828387,6.896337791992906,0.6239816376759394,3.687315634218289,2.727791687531186,0.3034825725535944,0.27894505262416475,106500096,43524096,11599872,44740608,43331584,15835136,38273024,10219520,45346816,3264512,8654848,48558.61374009603,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.6,22.2,0.6,72.4,0.667,11.6,11.267,0.667,129.267,16.533,5.8,0,0,0.003021505376344086,0.003974008207934337,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.002205002233139795,0.0074839124839124836,0.0028737541528239203,0.004643625192012289,0.008975884244372992,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004481732916480572,0.009640926640926641,0.004585382059800665
1705463808,0.7561735591076967,2.0637855555799733,0.3682350399654385,29.57641954397373,0.2787728203378259,7.034722601552406,0.6239816376759394,3.687315634218289,2.727791687531186,0.3034825725535944,0.27894505262416475,106500096,43524096,11599872,44740608,43327488,15835136,38273024,10219520,45346816,3264512,8654848,48558.61374009603,0,0,0,4,5,9,3,3,26,3,4,4,4,2,14.6,22.2,0.6,72.4,0.667,11.6,11.267,0.667,129.267,16.533,5.8,0,0,0.003021505376344086,0.003974008207934337,0.11973684210526317,0.004628944504896627,0.003,0.07275747508305647,0.003258064516129032,0.002205002233139795,0.0074839124839124836,0.0028737541528239203,0.004643625192012289,0.008975884244372992,0.23657894736842106,0.06829388560157795,0.0046,0.2258789625360231,0.005624999999999998,0.004481732916480572,0.009640926640926641,0.004585382059800665
