time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,checkoutservice_diskio,currencyservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705602244,0.7260015277542091,3.2420537393409936,0.3991356244684288,22.13137749999988,0.4347997235492383,8.448940846485224,0.8927582313771977,4.459949016751564,3.201397098334232,0.20928902900662635,0.34764366373900846,110247936,43577344,12042240,46211072,42364928,16474112,39661568,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,29.067,1.4,86,1.8,13.8,14.067,1.6,158.533,20.467,8.333,0,0,0,0.003,0.003150309460654288,0.1120967741935484,0.003712781954887218,0.0030727272727272725,0.04789260969976905,0.004515151515151515,0.0022332032052599145,0.007505952380952381,0.002893854748603352,0.0046237388724035605,0.004870557029177718,0.2262903225806452,0.03370370370370364,0.00473090909090909,0.16725806451612915,0.009363636363636364,0.00446702280665708,0.009625,0.004623463687150838
1705602245,0.7260015277542091,3.2420537393409936,0.5385845491120286,26.12327801706964,0.4347997235492383,8.448940846485224,0.8927582313771977,4.532521908471084,3.201397098334232,0.20437838883002588,0.34764366373900846,110247936,43577344,12091392,46211072,42364928,16474112,39661568,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,29.067,1.4,86,1.8,13.8,14.067,1.6,158.533,20.467,8.333,0,0,0,0.003,0.003150309460654288,0.1120967741935484,0.003712781954887218,0.0030727272727272725,0.04789260969976905,0.004515151515151515,0.0022332032052599145,0.007505952380952381,0.002893854748603352,0.0046237388724035605,0.004870557029177718,0.2262903225806452,0.03370370370370364,0.00473090909090909,0.16725806451612915,0.009363636363636364,0.00446702280665708,0.009625,0.004623463687150838
1705602246,0.7260015277542091,3.2420537393409936,0.5385845491120286,25.56567213397567,0.4347997235492383,8.448940846485224,0.8927582313771977,4.532521908471084,3.201397098334232,0.1994677486534253,0.34764366373900846,110247936,43577344,12091392,46211072,42364928,16474112,39661568,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,29.067,1.4,86,1.8,13.8,14.067,1.6,158.533,20.467,8.333,0,0,0,0.003,0.003150309460654288,0.1120967741935484,0.003712781954887218,0.0030727272727272725,0.04789260969976905,0.004515151515151515,0.0022332032052599145,0.007505952380952381,0.002893854748603352,0.0046237388724035605,0.004870557029177718,0.2262903225806452,0.03370370370370364,0.00473090909090909,0.16725806451612915,0.009363636363636364,0.00446702280665708,0.009625,0.004623463687150838
1705602247,0.7260015277542091,3.2420537393409936,0.5385845491120286,25.00806625088169,0.4004944620252644,8.448940846485224,0.8820971913925638,4.532521908471084,3.201397098334232,0.19455710847682478,0.29916861753797863,110247936,43577344,12091392,46211072,42364928,16474112,39804928,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,29.067,1.4,86,1.6,13.8,14.067,1.6,155.933,20.467,8.333,0,0,0,0.003,0.003150309460654288,0.1120967741935484,0.003712781954887218,0.003070175438596491,0.04789260969976905,0.004515151515151515,0.0021461377870563673,0.007505952380952381,0.002893854748603352,0.0046237388724035605,0.004870557029177718,0.2262903225806452,0.03370370370370364,0.004726315789473684,0.16725806451612915,0.009363636363636364,0.004448601252609604,0.009625,0.004623463687150838
1705602248,0.7260015277542091,2.8122924990768503,0.5385845491120286,24.450460367787716,0.4004944620252644,8.448940846485224,0.882097191392564,4.532521908471083,3.201397098334232,0.1896464683002243,0.2933745564756619,110247936,43577344,12091392,46211072,42364928,16474112,39804928,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,28.467,1.067,84.067,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.003,0.0031427312775330397,0.10937500000000001,0.0037053973013493257,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.0046237388724035605,0.00485691629955947,0.221875,0.03318925233644859,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
1705602249,0.7260015277542091,2.7582582700878335,0.5385845491120286,23.89285448469374,0.4004944620252644,8.448940846485224,0.882097191392564,4.532521908471083,2.7384128285270792,0.1847358281236237,0.28758049541334496,110247936,43577344,12091392,46211072,42364928,16474112,39804928,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,28.467,1.067,84.067,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.003,0.0031427312775330397,0.10937500000000001,0.0037053973013493257,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.0046237388724035605,0.00485691629955947,0.221875,0.03318925233644859,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
1705602250,0.7260015277542091,2.704224041098817,0.5385845491120286,33.2982792419959,0.4004944620252644,8.448940846485224,0.882097191392564,4.532521908471083,2.6850562102215085,0.17982518794702318,0.2817864343510282,110247936,43577344,12091392,45879296,42364928,16474112,39804928,24588288,45436928,3014656,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,26.867,1.067,82.6,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.003,0.0031405975395430584,0.10937500000000001,0.0037341299477221803,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.0046237388724035605,0.004853075571177505,0.221875,0.03489386792452823,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
1705602251,0.7260015277542091,2.6501898121098004,0.5385845491120286,33.2982792419959,0.4004944620252644,8.36718219539777,0.882097191392564,4.532521908471083,2.471113944180595,0.3111474331695617,0.2759923732887114,110247936,43577344,12091392,45879296,42364928,16175104,39804928,24588288,45457408,3018752,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,26.867,1.067,82.6,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.003,0.0031405975395430584,0.10937500000000001,0.0037341299477221803,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.0046237388724035605,0.004853075571177505,0.221875,0.03489386792452823,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
1705602252,0.7260015277542091,2.596155583120784,0.5385845491120286,33.2982792419959,0.4004944620252644,8.36718219539777,0.9300806543223513,4.532521908471083,2.5213957059792182,0.3111474331695617,0.2701983122263946,110247936,43577344,12091392,45879296,42364928,16175104,39804928,24588288,45457408,3018752,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.333,26.867,1.067,82.6,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.003,0.0031405975395430584,0.10937500000000001,0.0037341299477221803,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.0046237388724035605,0.004853075571177505,0.221875,0.03489386792452823,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
1705602253,0.7260015277542091,3.0931125434504625,0.5385845491120286,33.2982792419959,0.4004944620252644,8.04327590221175,0.9300806543223513,4.532521908471083,2.571677467777841,0.3111474331695617,0.27553789355068425,110247936,43499520,12091392,45879296,42364928,16175104,39804928,24588288,45457408,3018752,9023488,43456.119504328635,0,0,0,0,0,0,4,5,9,4,3,23,3,4,4,4,2,16.4,26.867,1.067,82.6,1.267,13.8,14.067,1.267,153.733,19.867,7.733,0,0,0,0.0030029542097488923,0.0031405975395430584,0.10937500000000001,0.0037341299477221803,0.0030689655172413794,0.04789260969976905,0.004314285714285715,0.002147438567263639,0.0074824150058616645,0.002893854748603352,0.004624224519940915,0.004853075571177505,0.221875,0.03489386792452823,0.004724137931034483,0.16725806451612915,0.009095238095238095,0.004447480216576424,0.009590269636576788,0.004623463687150838
