time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,frontend_diskio,paymentservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705718574,0.6446701632562019,2.7369125917452957,0.4559220419469763,36.32357504945663,0.27434837356633673,6.861805544297351,0.6952255488649028,4.0446367610947975,3.1950167664162357,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44998656,43982848,17903616,44961792,11309056,45965312,3096576,9461760,40343.74923050405,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.067,143.667,19.067,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003457142857142857,0.002419014214391626,0.007914945114419227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.055742705570291866,0.0046,0.23907216494845362,0.0073125,0.004596798375308826,0.014524444604743503,0.004676677316293929
1705718575,0.6446701632562019,2.7369125917452957,0.4559220419469763,29.969976380389173,0.3290911481321507,6.997346043537799,0.6820520361103546,4.0446367610947975,3.1950167664162357,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44998656,43978752,17903616,44961792,11309056,45965312,3096576,9461760,40343.74923050405,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.667,19.067,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.002419014214391626,0.007914945114419227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.004596798375308826,0.014524444604743503,0.004676677316293929
1705718576,0.6446701632562019,2.7369125917452957,0.4559220419469763,35.28892002628487,0.3290911481321507,8.13242995442694,0.6688785233558066,4.0446367610947975,3.1950167664162357,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44081152,43978752,17903616,44961792,11309056,45965312,3096576,9461760,40343.74923050405,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.667,19.067,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.002419014214391626,0.007914945114419227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.004596798375308826,0.014524444604743503,0.004676677316293929
1705718577,0.6446701632562019,2.7369125917452957,0.4559220419469763,35.28892002628487,0.3290911481321507,8.13242995442694,0.6557050106012584,4.0446367610947975,3.1950167664162357,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44081152,43978752,17903616,44961792,11309056,45965312,3096576,9461760,40343.74923050405,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.667,19.067,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.002419014214391626,0.007914945114419227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.004596798375308826,0.014524444604743503,0.004676677316293929
1705718578,0.6446701632562019,2.3464007801131044,0.4559220419469763,35.28892002628487,0.3290911481321507,8.13242995442694,0.7884516302676172,4.0990738660475685,3.1950167664162357,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44081152,43978752,17903616,45522944,11309056,45965312,3096576,9461760,40343.74923050405,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.933,19.333,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.0024189889997523178,0.007883056800043227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.00459312679874064,0.013922895323016021,0.004676677316293929
1705718579,0.5505536916721567,2.300785570250682,0.5352773539825303,35.28892002628487,0.3290911481321507,8.13242995442694,0.7884516302676172,4.0990738660475685,3.197345635676795,0.29863167282456854,0.2842193141736085,114003968,43687936,12345344,44081152,43978752,17903616,45522944,11309056,45965312,3096576,9461760,34453.89804076071,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,16.133,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.933,19.333,7.467,0,0,0,0,0.0030298953662182358,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.0024189889997523178,0.007883056800043227,0.0029744408945686896,0.004658594917787743,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.00459312679874064,0.013922895323016021,0.004676677316293929
1705718580,0.7391236858815687,2.255170360388261,0.5352773539825303,35.28892002628487,0.3290911481321507,8.13242995442694,0.7884516302676172,4.0990738660475685,3.197345635676795,0.3036922384195779,0.2842193141736085,114008064,43687936,12345344,44081152,43978752,17903616,45522944,11309056,45965312,2965504,9461760,28900.02116700769,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,15.4,25.067,1.133,80.133,1.133,12.733,12.867,1.133,143.933,19.333,7.467,0,0,0,0,0.003029806259314456,0.00333739837398374,0.124,0.004564915758176413,0.003,0.07215743440233235,0.003449999999999999,0.0024189889997523178,0.007883056800043227,0.0029744408945686896,0.004653651266766021,0.00696153846153846,0.22960000000000003,0.05574270557029195,0.0046,0.23907216494845362,0.007277777777777776,0.00459312679874064,0.013922895323016021,0.004676677316293929
1705718581,0.7391236858815687,2.99544279689837,0.5352773539825303,35.28892002628487,0.3290911481321507,7.023505359891205,0.7884516302676172,4.0990738660475685,3.197345635676795,0.3036922384195779,0.2842193141736085,114008064,43823104,12345344,44081152,43978752,17903616,45522944,11309056,45965312,2965504,9461760,28900.02116700769,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,14.667,26.733,1.267,82,1.133,12.733,14.467,1.133,153.6,20.6,8.934,0,0,0,0,0.00302089552238806,0.003248046875,0.12068965517241378,0.004407442748091604,0.003,0.06972934472934472,0.003449999999999999,0.002408793601364595,0.007788827700202882,0.0029626168224299062,0.004637611940298508,0.0055509259259259305,0.22413793103448273,0.052291066282420785,0.0046,0.22719798657718118,0.007277777777777776,0.0045549678623763995,0.01088693360345308,0.004652336448598131
1705718582,0.7391236858815687,2.99544279689837,0.5352773539825303,35.28892002628487,0.2649926592052065,6.887964860650757,0.7884516302676172,4.0990738660475685,3.2583736456167225,0.3036922384195779,0.2842193141736085,114008064,43823104,12345344,44081152,43978752,17903616,45522944,11309056,45993984,2965504,9461760,28900.02116700769,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,14.667,26.733,1.267,82,1.133,12.733,14.467,1.133,153.6,20.6,8.934,0,0,0,0,0.00302089552238806,0.003248046875,0.12068965517241378,0.004407442748091604,0.003,0.06972934472934472,0.003449999999999999,0.002408793601364595,0.007788827700202882,0.0029626168224299062,0.004637611940298508,0.0055509259259259305,0.22413793103448273,0.052291066282420785,0.0046,0.22719798657718118,0.007277777777777776,0.0045549678623763995,0.01088693360345308,0.004652336448598131
1705718583,0.7588055418342354,2.99544279689837,0.5352773539825303,35.28892002628487,0.32326362069986253,6.752424361410307,0.7884516302676172,3.507748301921323,3.2583736456167225,0.3036922384195779,0.2842193141736085,114008064,43823104,12345344,44081152,43978752,17903616,45522944,11309056,45993984,2965504,9461760,38538.79989650225,0,0,0,0,0,0,4,5,9,4,3,59,3,4,4,4,2,14.667,26.733,1.267,83.2,1.133,15.065,14.467,1.133,153.6,20.6,8.934,0,0,0,0,0.00302089552238806,0.003248046875,0.12068965517241378,0.004335200746965452,0.003,0.06801366436136908,0.003449999999999999,0.002408793601364595,0.007788827700202882,0.0029626168224299062,0.004637611940298508,0.0055509259259259305,0.22413793103448273,0.050270270270270215,0.0046,0.21870603218787465,0.007277777777777776,0.0045549678623763995,0.01088693360345308,0.004652336448598131
