time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705350912,0.6650560224089578,2.252935156270495,0.46165338645418835,18.74864554332943,12.943496256336354,4.342432499999944,0.659133473095732,3.4931543002662506,2.6912250818905012,0.25570508133796793,0.19612479596591803,110444544,43470848,11730944,40652800,43909120,17223680,35807232,10293248,44859392,3014656,8572928,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350913,0.6650560224089578,1.9332874646681948,0.46165338645418835,18.74864554332943,12.943496256336354,4.342432499999944,0.659133473095732,3.4931543002662506,1.8428431578479718,0.25570508133796793,0.1999931224204514,110444544,43470848,11730944,40652800,43909120,17223680,35807232,10293248,44859392,3014656,8572928,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350914,0.6650560224089578,1.8957385453970201,0.46165338645418835,18.74864554332943,12.943496256336354,6.321993880440302,0.659133473095732,3.4931543002662506,1.8845100466480074,0.25570508133796793,0.23209958727200267,110444544,43470848,11730944,40652800,43909120,17592320,35807232,10293248,44859392,3014656,8572928,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350915,0.6650560224089578,2.23427309222224,0.39407502490040264,18.74864554332943,12.943496256336354,6.321993880440302,0.659133473095732,2.940372335455506,1.9261769354480425,0.25570508133796793,0.23209958727200267,110444544,43474944,11730944,40652800,43909120,17592320,35807232,10293248,44859392,3014656,8572928,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350916,0.6650560224089578,2.23427309222224,0.3863808017928329,18.74864554332943,12.943496256336354,6.321993880440302,0.659133473095732,2.7887335094602994,1.9678438242480782,0.25570508133796793,0.23209958727200267,110444544,43474944,11730944,40652800,43909120,17592320,35807232,10293248,44859392,3014656,8572928,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350917,0.6650560224089578,2.23427309222224,0.4377770287351512,18.74864554332943,12.943496256336354,6.321993880440302,0.659133473095732,2.7329052441363824,2.0095107130481136,0.25570508133796793,0.22781758425704837,110444544,43474944,11292672,40652800,43909120,17592320,35807232,10293248,44859392,3014656,8577024,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.8,17.4,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019859847553479228,0.007406812339331619,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004400344234079174,0.009537917737789201,0.004594920634920635
1705350918,0.6650560224089578,2.23427309222224,0.306741772399838,18.74864554332943,10.945811425795908,6.321993880440302,0.659133473095732,3.361770997860717,2.051177601848149,0.25570508133796793,0.22781758425704837,110444544,43474944,11292672,40652800,43909120,17592320,35807232,10244096,44859392,3014656,8577024,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.867,17.467,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.0040344827586206895,0.16797945205479453,0.004153846153846153,0.0019756582215598607,0.007402159244264506,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.0195,0.4893691588785047,0.009954545454545454,0.004398310978638847,0.009529014844804317,0.004594920634920635
1705350919,0.6650560224089578,2.23427309222224,0.3584385709591133,18.74864554332943,4.487157096051239,6.321993880440302,0.659133473095732,3.361770997860717,2.0928444906481847,0.25570508133796793,0.22781758425704837,110444544,43474944,11292672,40652800,43909120,17592320,35807232,10244096,44859392,3014656,8577024,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.867,17.467,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.004,0.16797945205479453,0.004153846153846153,0.0019756582215598607,0.007402159244264506,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.019149999999999997,0.4893691588785047,0.009954545454545454,0.004398310978638847,0.009529014844804317,0.004594920634920635
1705350920,0.6650560224089578,2.234273092222241,0.3584385709591133,18.74864554332943,5.290003257025864,6.321993880440302,0.659133473095732,3.361770997860717,2.500013328002132,0.25570508133796793,0.22781758425704837,110444544,43474944,11292672,40652800,43909120,17592320,35807232,10244096,44859392,3014656,8577024,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.867,17.467,6.133,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.004,0.16797945205479453,0.004153846153846153,0.0019756582215598607,0.007402159244264506,0.002873015873015873,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.019149999999999997,0.4893691588785047,0.009954545454545454,0.004398310978638847,0.009529014844804317,0.004594920634920635
1705350921,0.6650560224089578,2.182664877842092,0.3584385709591133,18.74864554332943,5.290003257025864,6.321993880440302,0.36777753036254335,3.361770997860717,2.500013328002132,0.25570508133796793,0.22781758425704837,110444544,43474944,11292672,40652800,43909120,17592320,35807232,10244096,44859392,3014656,8577024,44128.42059900884,0,0,0,4,4,9,4,3,59,3,4,5,4,3,14.4,21.867,0.667,71.862,0.667,11.533,11.933,0.733,129.867,17.467,6.067,0,0,0,0,0.0029675850891410045,0.0030974658869395715,0.2464285714285714,0.05698052328812062,0.004,0.16797945205479453,0.004153846153846153,0.0019756582215598607,0.007402159244264506,0.0028947368421052633,0.00459870340356564,0.004775438596491227,0.7375000000000003,0.09529222256433732,0.019149999999999997,0.4893691588785047,0.009954545454545454,0.004398310978638847,0.009529014844804317,0.00460140350877193
