time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,checkoutservice_diskio,currencyservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705597265,0.7534786607799965,1.9438553656551858,0.5080577654238337,33.52784418171535,0.33172860801831844,8.376764533912555,1.0586341024555221,4.589209689258874,3.1156667733438987,0.30367808865136703,0.31013961896154063,109367296,43364352,12062720,46317568,43986944,16285696,39317504,25444352,45355008,3018752,8998912,45209.713024282566,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,27.4,1.133,80.667,1.667,12.933,12.6,1.267,154.133,19.733,8.267,0,0,0,0.003005657708628006,0.0031404444444444444,0.075,0.0037018168863555394,0.003111111111111112,0.048852657004830914,0.004235294117647058,0.0024000046018842766,0.00759557565714537,0.002878962536023055,0.004614710042432815,0.0048528,0.1984375,0.031137440758293878,0.0048000000000000004,0.1702966101694915,0.009558823529411764,0.0044862145205467495,0.0097054904507182,0.00457579250720461
1705597266,0.7534786607799965,1.9438553656551858,0.5080577654238337,33.52784418171535,0.33172860801831844,8.376764533912555,1.0586341024555221,4.589209689258874,3.1156667733438987,0.30367808865136703,0.31013961896154063,109367296,43364352,12062720,46317568,43986944,16285696,39317504,25444352,45355008,3018752,8998912,45209.713024282566,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,27.4,1.133,80.667,1.667,12.933,12.6,1.267,154.133,19.733,8.267,0,0,0,0.003005657708628006,0.0031404444444444444,0.075,0.0037018168863555394,0.003111111111111112,0.048852657004830914,0.004235294117647058,0.0024000046018842766,0.00759557565714537,0.002878962536023055,0.004614710042432815,0.0048528,0.1984375,0.031137440758293878,0.0048000000000000004,0.1702966101694915,0.009558823529411764,0.0044862145205467495,0.0097054904507182,0.00457579250720461
1705597267,0.7534786607799965,1.9438553656551858,0.48644188743199834,33.52784418171535,0.33172860801831844,8.376764533912555,1.0586341024555221,4.589209689258874,3.1156667733438987,0.25243680186208844,0.31013961896154063,109367296,43364352,12201984,46317568,43986944,16285696,39317504,25444352,45355008,3018752,8998912,45209.713024282566,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,27.4,1.133,80.667,1.2,12.933,12.6,1.267,142.6,19.733,8.267,0,0,0,0.003005657708628006,0.0031404444444444444,0.075,0.0037018168863555394,0.0031632653061224487,0.048852657004830914,0.004235294117647058,0.0022849311129036196,0.00759557565714537,0.002878962536023055,0.004614710042432815,0.0048528,0.1984375,0.031137440758293878,0.004893877551020408,0.1702966101694915,0.009558823529411764,0.004464186059400326,0.0097054904507182,0.00457579250720461
1705597268,0.7968360762343,1.649312681374284,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,4.589209689258874,3.1156667733438987,0.2576011416453792,0.31013961896154063,109367296,43364352,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,26.733,0.8,79.533,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.003005657708628006,0.0031378692927484333,0.07894736842105263,0.0037016416845110636,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004614710042432815,0.004848164726947181,0.2058823529411765,0.03113095238095238,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597269,0.7968360762343,1.6820997694833508,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.7050028340879595,2.6782877407758967,0.260036198776741,0.31013961896154063,109367296,43364352,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,26.733,0.8,79.533,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.003005657708628006,0.0031378692927484333,0.07894736842105263,0.0037016416845110636,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004614710042432815,0.004848164726947181,0.2058823529411765,0.03113095238095238,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597270,0.7968360762343,1.6482211318095321,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.628516005933645,2.626359961220166,0.30673789540129814,0.31013961896154063,109367296,43364352,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,23.867,0.8,75.067,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.003005657708628006,0.003137745974955277,0.07894736842105263,0.00368267300554065,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004614710042432815,0.004847942754919499,0.2058823529411765,0.029346050883877907,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597271,0.7968360762343,2.0063838111591235,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.5520291777793296,2.5744321816644344,0.30673789540129814,0.31013961896154063,109367296,43372544,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,23.867,0.8,75.067,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.003005657708628006,0.003137745974955277,0.07894736842105263,0.00368267300554065,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004614710042432815,0.004847942754919499,0.2058823529411765,0.029346050883877907,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597272,0.7968360762343,2.0063838111591235,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.6742529595770708,2.522504402108703,0.30673789540129814,0.31013961896154063,109367296,43372544,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,14.733,23.867,0.8,75.067,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.003005657708628006,0.003137745974955277,0.07894736842105263,0.00368267300554065,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004614710042432815,0.004847942754919499,0.2058823529411765,0.029346050883877907,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597273,0.7968360762343,2.0063838111591235,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.594222183184371,2.470576622552971,0.30673789540129814,0.3116779412790346,109367296,43372544,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.660447201226,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,13.4,23.867,0.8,75.067,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.0030058394160583945,0.003137745974955277,0.07894736842105263,0.00368267300554065,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004615182481751825,0.004847942754919499,0.2058823529411765,0.029346050883877907,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
1705597274,0.7968360762343,2.0063838111591235,0.48644188743199834,33.52784418171535,0.3362496110765286,8.376764533912555,1.0586341024555221,3.5141914067916704,1.9748549999999907,0.30673789540129814,0.3116779412790346,109367296,43372544,12201984,46317568,43982848,16285696,39317504,25444352,45355008,3018752,8998912,61467.66044720124,0,0,0,0,0,0,4,5,9,4,3,26,3,4,4,4,2,13.4,23.867,0.8,75.067,0.867,12.933,12.6,0.933,140,17.933,7.601,0,0,0,0.0030058394160583945,0.003137745974955277,0.07894736842105263,0.00368267300554065,0.0031333333333333335,0.048852657004830914,0.004225806451612902,0.0022825148962399835,0.007597919216646268,0.0028753709198813056,0.004615182481751825,0.004847942754919499,0.2058823529411765,0.029346050883877907,0.00484,0.1702966101694915,0.009666666666666665,0.004465050339017875,0.009715422276621788,0.004575074183976261
