time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705486128,0.6811926605504529,2.054040164452881,0.5670918706316975,32.25757765066465,0.32044836296511847,8.106912809087119,0.7118009224199624,3.811399028669908,3.059782319138397,0.29893922699677733,0.2988456818530478,105877504,43151360,11448320,44142592,43397120,15192064,37199872,10248192,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14,22.333,0.533,71.667,0.733,12.6,12.2,0.533,133.786,16.733,5.533,0,0,0.0029910044977511244,0.0032031558185404343,0.10978260869565218,0.0036649155722326453,0.003,0.05030581039755353,0.0035625,0.0020892860155086357,0.007623417721518987,0.0029938650306748464,0.0046077961019490256,0.004965680473372782,0.22195652173913044,0.041889671361502366,0.0046,0.19037500000000013,0.007722222222222223,0.004436210113281426,0.009757594936708861,0.004628220858895705
1705486129,0.6811926605504529,2.054040164452881,0.507819798373285,32.25757765066465,0.2728938259010949,8.106912809087119,0.6972455593048169,3.811399028669908,3.059782319138397,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43397120,15192064,37199872,10248192,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,14.667,22.333,0.533,71.667,0.733,12.6,12.2,0.533,133.786,16.733,5.533,0,0,0.003,0.0032031558185404343,0.10978260869565218,0.0036649155722326453,0.003,0.05030581039755353,0.0035625,0.0020892860155086357,0.007623417721518987,0.0029938650306748464,0.004609638554216868,0.004965680473372782,0.22195652173913044,0.041889671361502366,0.0046,0.19037500000000013,0.007722222222222223,0.004436210113281426,0.009757594936708861,0.004628220858895705
1705486130,0.6811926605504529,2.054040164452881,0.507819798373285,32.25757765066465,0.2675530198516763,8.106912809087119,0.6826901961896712,3.811399028669908,3.059782319138397,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43397120,15192064,37199872,10248192,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,24.2,0.8,74.267,0.733,14,14.2,0.533,147.052,18.667,5.933,0,0,0.0030030257186081694,0.0031812807881773405,0.10681818181818181,0.003646702047005307,0.003,0.047719194312796205,0.0035625,0.0020717580945008754,0.007607868020304568,0.003,0.004615128593040847,0.004926305418719213,0.22136363636363637,0.040853365384615425,0.0046,0.18514084507042242,0.007722222222222223,0.004431543921354926,0.00972969543147208,0.004639875389408099
1705486131,0.6811926605504529,2.054040164452881,0.507819798373285,32.25757765066465,0.3210741131254013,8.106912809087119,0.8126102854232228,3.9235168134949894,2.9051660426897308,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,24.2,0.8,74.267,0.733,14,14.2,0.533,147.052,18.667,5.933,0,0,0.0030030257186081694,0.0031812807881773405,0.10681818181818181,0.003646702047005307,0.003,0.047719194312796205,0.0035625,0.0020717580945008754,0.007607868020304568,0.003,0.004615128593040847,0.004926305418719213,0.22136363636363637,0.040853365384615425,0.0046,0.18514084507042242,0.007722222222222223,0.004431543921354926,0.00972969543147208,0.004639875389408099
1705486132,0.6811926605504529,2.054040164452881,0.507819798373285,32.25757765066465,0.3210741131254013,8.106912809087119,0.8126102854232228,3.9235168134949894,2.9051660426897308,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,24.2,0.8,74.267,0.733,14,14.2,0.533,148.986,20.6,5.933,0,0,0.0030030257186081694,0.0031812807881773405,0.10681818181818181,0.003646702047005307,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.003,0.004615128593040847,0.004926305418719213,0.22136363636363637,0.040853365384615425,0.0046,0.18514084507042242,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.004639875389408099
1705486133,0.6811926605504529,2.054040164452881,0.507819798373285,32.25757765066465,0.3189284002266091,8.106912809087119,0.8126102854232228,3.9235168134949894,2.9051660426897308,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,24.2,0.8,74.267,0.733,14,14.2,0.533,148.986,20.6,5.933,0,0,0.0030030257186081694,0.0031812807881773405,0.10681818181818181,0.003646702047005307,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.003,0.004615128593040847,0.004926305418719213,0.22136363636363637,0.040853365384615425,0.0046,0.18514084507042242,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.004639875389408099
1705486134,0.6811926605504529,2.054040164452881,0.42525516589259693,30.904605005318974,0.3189284002266091,8.106912809087119,0.8126102854232228,3.9235168134949894,2.9051660426897308,0.29893922699677733,0.2988456818530478,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45842432,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,26.4,0.8,80.933,0.733,14,14.2,0.533,148.986,20.6,5.933,0,0,0.0030030257186081694,0.0031705426356589145,0.10681818181818181,0.0036439393939393942,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.003,0.004615128593040847,0.0049069767441860465,0.22136363636363637,0.03965517241379313,0.0046,0.18514084507042247,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.004639875389408099
1705486135,0.6811926605504529,2.054040164452881,0.42525516589259693,30.904605005318974,0.3189284002266091,8.106912809087119,0.8126102854232228,3.9235168134949894,2.9058873703963624,0.24179081067720837,0.2988456818530478,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,26.4,0.8,80.933,0.733,14,14.2,0.533,148.986,20.6,5.933,0,0,0.0030030257186081694,0.0031705426356589145,0.10681818181818181,0.0036439393939393942,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.003,0.004615128593040847,0.0049069767441860465,0.22136363636363637,0.03965517241379313,0.0046,0.18514084507042247,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.004639875389408099
1705486136,0.6811926605504529,2.0540401644528816,0.42525516589259693,30.904605005318974,0.3189284002266091,6.36208872472371,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.24666852646940754,0.28342337219221236,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,26.4,0.8,80.933,0.733,14,14.2,0.533,148.986,20.6,5.933,0,0,0.0030030257186081694,0.0031705426356589145,0.10681818181818181,0.0036439393939393942,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.003,0.004615128593040847,0.0049069767441860465,0.22136363636363637,0.03965517241379313,0.0046,0.18514084507042247,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.004639875389408099
1705486137,0.6811926605504529,2.062487838776923,0.42525516589259693,30.904605005318974,0.3189284002266091,6.491835256004562,0.7244034090909073,3.9235168134949894,2.9058873703963624,0.24833670527033966,0.28342337219221236,105877504,43151360,11481088,44142592,43401216,15192064,36737024,9940992,45981696,2961408,8671232,80909.52987138405,0,0,0,4,4,9,4,3,24,3,4,4,4,2,15.8,26.4,0.8,80.933,0.733,14,14.2,0.533,148.986,20.6,7.333,0,0,0.0030030257186081694,0.0031705426356589145,0.10681818181818181,0.0036439393939393942,0.003,0.047719194312796205,0.0035625,0.00207027066688351,0.007586649550706034,0.0029556962025316454,0.004615128593040847,0.0049069767441860465,0.22136363636363637,0.03965517241379313,0.0046,0.18514084507042247,0.007722222222222223,0.004432031733283424,0.00971245186136072,0.0046215189873417715
