time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705393858,0.8817491713888668,1.9454722136157625,0.3134241403109897,29.222722078150394,0.26619339161922256,8.346232228442569,0.734061806385525,3.680183630155984,3.2847358253973273,0.31630307191424223,0.21351816479018285,105332736,41553920,11210752,44716032,43462656,15499264,35983360,10100736,45113344,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.267,23.8,0.4,72.8,0.6,12.6,12.467,0.4,140,18,6.333,0,0,0,0.003005780346820809,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.0030606060606060605,0.04812967581047381,0.00578125,0.0019412643106022892,0.007677865612648223,0.0028201438848920865,0.004610404624277457,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004709090909090909,0.20956081081081085,0.00940625,0.00441533101045296,0.00984650856389987,0.004575539568345324
1705393859,0.8817491713888668,1.9454722136157625,0.3080399385560639,29.222722078150394,0.26619339161922256,8.346232228442569,0.734061806385525,3.680183630155984,2.7721391134448026,0.31630307191424223,0.2094011334643895,105332736,41553920,11210752,44716032,43462656,15499264,35983360,10100736,45113344,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.267,23.8,0.4,72.8,0.6,12.6,12.467,0.4,140,18,6.333,0,0,0,0.003005780346820809,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.0030606060606060605,0.04812967581047381,0.00578125,0.0019412643106022892,0.007677865612648223,0.0028201438848920865,0.004610404624277457,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004709090909090909,0.20956081081081085,0.00940625,0.00441533101045296,0.00984650856389987,0.004575539568345324
1705393860,0.8817491713888668,1.9454722136157625,0.3080399385560639,29.222722078150394,0.26619339161922256,8.346232228442569,0.5988119755911582,3.680183630155984,2.717393516354847,0.31630307191424223,0.20528410213859613,105332736,41553920,11210752,44716032,43462656,15499264,35860480,10100736,45113344,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.267,23.8,0.4,72.8,0.6,12.6,12.467,0.4,140,18,6.333,0,0,0,0.003005780346820809,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.0030606060606060605,0.04812967581047381,0.00578125,0.0019412643106022892,0.007677865612648223,0.0028201438848920865,0.004610404624277457,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004709090909090909,0.20956081081081085,0.00940625,0.00441533101045296,0.00984650856389987,0.004575539568345324
1705393861,0.8817491713888668,1.9454722136157625,0.3080399385560639,29.222722078150394,0.26619339161922256,8.346232228442569,0.5988119755911582,3.8011989334526786,2.662647919264891,0.31630307191424223,0.20116707081280277,105332736,41553920,11210752,44716032,43462656,15499264,35860480,11694080,45113344,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,23.8,0.4,72.8,0.467,12.6,12.467,0.4,146.8,18,6.333,0,0,0,0.003,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.003068965517241379,0.04812967581047381,0.00578125,0.001873225648556045,0.007677865612648223,0.0028201438848920865,0.004609182209469154,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004724137931034482,0.20956081081081085,0.00940625,0.004401272638277044,0.00984650856389987,0.004575539568345324
1705393862,0.8817491713888668,1.9454722136157625,0.3080399385560639,29.222722078150394,0.26619339161922256,8.641477175585614,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.31630307191424223,0.19705003948700942,105332736,41553920,11210752,44716032,43462656,15499264,35860480,11694080,45125632,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,23.8,0.4,72.8,0.467,12.6,12.467,0.4,148.2,19.4,6.333,0,0,0,0.003,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.003068965517241379,0.04812967581047381,0.00578125,0.0018801944106925878,0.007633928571428571,0.0028201438848920865,0.004609182209469154,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004724137931034482,0.20956081081081085,0.00940625,0.004400923450789794,0.009802295918367347,0.004575539568345324
1705393863,0.8817491713888668,1.9454722136157625,0.3080399385560639,29.222722078150394,0.26619339161922256,8.641477175585614,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.32035005413207945,0.19293300816121603,105332736,41553920,11210752,44716032,43462656,15499264,35860480,11694080,45125632,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,23.8,0.4,72.8,0.467,12.6,12.467,0.4,148.2,19.4,6.333,0,0,0,0.003,0.003034671532846715,0.15543478260869564,0.003887617490805068,0.003068965517241379,0.04812967581047381,0.00578125,0.0018801944106925878,0.007633928571428571,0.0028201438848920865,0.004609182209469154,0.004662408759124087,0.23108695652173913,0.06429916317991632,0.004724137931034482,0.20956081081081085,0.00940625,0.004400923450789794,0.009802295918367347,0.004575539568345324
1705393864,0.8817491713888668,1.9454722136157625,0.311486073161779,29.549047619047602,0.26619339161922256,8.641477175585614,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.32035005413207945,0.2488204745256439,105332736,41553920,11264000,44871680,43462656,15499264,35860480,11694080,45125632,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,23.933,0.467,72.933,0.533,12.6,12.467,0.467,148.267,19.4,7.267,0,0,0,0.003,0.003036730945821855,0.16136363636363638,0.003885889570552147,0.003,0.04812967581047381,0.006,0.0018796498905908094,0.007633928571428571,0.002802197802197802,0.004609182209469154,0.004666115702479338,0.23227272727272727,0.0642016806722689,0.0046,0.20956081081081085,0.009466666666666668,0.0044008266472161444,0.009802295918367347,0.0045721611721611715
1705393865,0.8817491713888668,1.9454722136157625,0.311486073161779,29.549047619047602,0.2747754553848733,8.768454380713884,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.32035005413207945,0.2554303922448615,105332736,41553920,11264000,44871680,43462656,15581184,35860480,11694080,45125632,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,23.933,0.467,72.933,0.533,12.6,12.467,0.467,148.267,19.4,7.267,0,0,0,0.003,0.003036730945821855,0.16136363636363638,0.003885889570552147,0.003,0.04812967581047381,0.006,0.0018796498905908094,0.007633928571428571,0.002802197802197802,0.004609182209469154,0.004666115702479338,0.23227272727272727,0.0642016806722689,0.0046,0.20956081081081085,0.009466666666666668,0.0044008266472161444,0.009802295918367347,0.0045721611721611715
1705393866,0.8817491713888668,1.9454722136157625,0.311486073161779,29.954564596179768,0.1751728215521319,8.768454380713884,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.32035005413207945,0.2554303922448615,105332736,41553920,11264000,44871680,43462656,15581184,35860480,11694080,45125632,2990080,8368128,43793.43526141345,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,25.8,0.467,72.933,0.533,12.6,12.467,0.467,148.267,19.4,7.267,0,0,0,0.003,0.0030468468468468467,0.16136363636363638,0.003885889570552147,0.003,0.04812967581047381,0.006,0.0018796498905908094,0.007633928571428571,0.002802197802197802,0.004609182209469154,0.004684324324324324,0.23227272727272727,0.0642016806722689,0.0046,0.20956081081081085,0.009466666666666668,0.0044008266472161444,0.009802295918367347,0.0045721611721611715
1705393867,0.8158070382661219,2.2172785642159187,0.311486073161779,29.954564596179768,0.17979632063631884,8.768454380713884,0.5988119755911582,3.8011989334526786,3.1854502099213295,0.32035005413207945,0.2554303922448615,105332736,41656320,11264000,44871680,43462656,15581184,35860480,11694080,45125632,2990080,8368128,69115.24832667755,0,0,0,4,5,10,4,3,31,3,5,5,4,4,15.333,25.8,0.467,72.933,0.533,12.6,12.467,0.467,148.267,19.4,7.267,0,0,0,0.003,0.0030468468468468467,0.16136363636363638,0.003885889570552147,0.003,0.04812967581047381,0.006,0.0018796498905908094,0.007633928571428571,0.002802197802197802,0.004609182209469154,0.004684324324324324,0.23227272727272727,0.0642016806722689,0.0046,0.20956081081081085,0.009466666666666668,0.0044008266472161444,0.009802295918367347,0.0045721611721611715
