time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,paymentservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705513776,0.559375293114984,2.7057713490637076,0.47549085985104905,31.601364784391833,0.3257104039054918,7.1786262912147265,0.6650145427889187,3.350946890495217,2.674207356527768,0.27692725403874874,0.25675620675620575,108425216,44367872,11198464,44933120,43352064,15441920,43831296,11046912,46321664,2969600,8613888,48175.77252348537,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,68.6,0.467,12,11.8,0.533,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034751341681574233,0.003,0.046746575342465756,0.0036285714285714285,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.026056547619047545,0.0046,0.16357954545454545,0.008555555555555558,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513777,0.5724084960044795,2.4910541494326943,0.47549085985104905,31.601364784391833,0.3257104039054918,7.040496095116694,0.6650145427889187,3.350946890495217,2.674207356527768,0.27692725403874874,0.25675620675620575,108425216,44412928,11198464,44933120,43352064,15441920,43831296,11046912,46321664,2969600,8613888,49298.24722943865,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513778,0.5854416988939752,2.4910541494326943,0.47549085985104905,31.601364784391833,0.3257104039054918,6.902365899018663,0.6650145427889187,3.350946890495217,2.674207356527768,0.27692725403874874,0.25013045778823795,108425216,44412928,11198464,44933120,43352064,15441920,43831296,11046912,46321664,2969600,8617984,50420.72193539194,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513779,0.5984749017834707,2.4910541494326943,0.47549085985104905,31.601364784391833,0.3257104039054918,6.76423570292063,0.6650145427889187,3.350946890495217,2.674207356527768,0.27692725403874874,0.25013045778823795,108425216,44412928,11198464,44933120,43352064,15441920,43831296,11046912,46321664,2969600,8617984,51543.19664134521,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513780,0.6115081046729665,2.4910541494326943,0.47549085985104905,31.601364784391833,0.3257104039054918,6.626105506822599,0.6650145427889187,3.350946890495217,2.674207356527768,0.27692725403874874,0.25013045778823795,108425216,44412928,11198464,44933120,43352064,15441920,43831296,11046912,46321664,2969600,8617984,52665.6713472985,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513781,0.6245413075624621,2.4910541494326943,0.47549085985104905,31.601364784391833,0.3257104039054918,8.227342688230483,0.6650145427889187,2.4061844926659526,2.674207356527768,0.28073208058405635,0.25013045778823795,108425216,44412928,11198464,44933120,43352064,15278080,43831296,11046912,46321664,2969600,8617984,53788.14605325178,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513782,0.6375745104519576,2.4910541494326943,0.47549085985104905,31.157558075525436,0.3257104039054918,8.226141789028024,0.6650145427889187,2.461072591864501,2.3113174182469507,0.28073208058405635,0.25013045778823795,108425216,44412928,11198464,45002752,43352064,15278080,43831296,11046912,46321664,2969600,8617984,54910.62075920506,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14,22,0.533,76.2,0.467,12,11.8,0.667,126.667,16.733,6.2,0,0.003,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.0046048558421851295,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513783,0.6378350797191316,2.4910541494326943,0.47549085985104905,31.157558075525436,0.3257104039054918,8.226141789028024,0.6064469671297892,2.5159606910630488,2.266747295638154,0.28073208058405635,0.20455953360976306,108531712,44412928,11198464,45002752,43352064,15278080,44077056,11046912,46321664,2969600,8617984,40331.41836884251,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.067,22,0.533,76.2,0.667,12,11.8,0.667,126.667,16.733,6.2,0,0.0030030349013657055,0.0031162324649298594,0.09230769230769233,0.0034958013873676525,0.003,0.046746575342465756,0.003606060606060606,0.0018157195963887413,0.0073312236286919834,0.0029014084507042255,0.004605462822458269,0.004809218436873748,0.23125000000000004,0.028764367816092,0.0046,0.16357954545454545,0.008562500000000004,0.004385236325013277,0.009573136427566806,0.004591549295774648
1705513784,0.6507817959520933,2.4910541494326943,0.47549085985104905,31.157558075525436,0.3257104039054918,8.226141789028024,0.3102860203151684,2.570848790261597,2.6418404038614542,0.28073208058405635,0.23865544093851176,108531712,44412928,11198464,45002752,43352064,15278080,44077056,11046912,46374912,2969600,8617984,41150.06169138319,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,22.733,0.6,79.467,0.667,12,12.8,0.667,132.6,17,6.333,0,0.003003072196620584,0.0031141141141141143,0.1046875,0.003494529540481401,0.003,0.04600225225225226,0.003606060606060606,0.001866808737346831,0.007314814814814815,0.0029225352112676054,0.004605529953917051,0.004805405405405406,0.2359375,0.028125000000000108,0.0046,0.16312138728323686,0.008562500000000004,0.004390410229088974,0.009559829059829059,0.004595774647887324
1705513785,0.6637285121850552,2.2708560399636575,0.47549085985104905,31.157558075525436,0.3257104039054918,8.226141789028024,0.3173475244017211,2.1778499999999923,2.6418404038614542,0.28073208058405635,0.23865544093851176,108531712,44412928,11198464,45002752,43352064,15278080,44077056,11046912,46374912,2969600,8617984,41968.70501392386,0,0,0,0,0,0,4,4,9,4,3,25,3,4,4,4,2,14.4,23.867,0.6,79.467,0.667,12,12.8,0.667,132.6,17,6.333,0,0.003003072196620584,0.003117290192113246,0.1046875,0.003494529540481401,0.003,0.04600225225225226,0.003606060606060606,0.001866808737346831,0.007314814814814815,0.0029225352112676054,0.004605529953917051,0.004811122345803843,0.2359375,0.028125000000000108,0.0046,0.16312138728323686,0.008562500000000004,0.004390410229088974,0.009559829059829059,0.004595774647887324
