time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,productcatalogservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705495391,0.6113762519012964,2.9089481863454987,0.6565230231585152,27.72521641851905,0.2763959760339183,6.574712351957301,1.0069467416473696,3.990398234969549,3.0170258129956147,0.30604269433578346,0.32155665070219697,109510656,43601920,11599872,44822528,43565056,16392192,40198144,10584064,48095232,3100672,8769536,72820.6546431464,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.133,0.733,81.333,0.733,14.733,14.2,0.733,145.4,19.667,7.4,0,0,0,0.002996946564885496,0.0032090909090909093,0.09791666666666665,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034081632653061226,0.0019871382636655944,0.007515042117930204,0.0029734010164525443,0.004604274809160305,0.004976363636363636,0.21948275862068967,0.04362222222222229,0.004792857142857143,0.19113718411552347,0.007050000000000002,0.0044099219108865405,0.009575210589651021,0.004628722816845266
1705495392,0.6113762519012964,2.9089481863454987,0.6565230231585152,27.158632521463446,0.26997890749672665,8.087342181281894,1.0069467416473696,3.990398234969549,3.0170258129956147,0.30604269433578346,0.32155665070219697,109510656,43601920,11599872,44822528,43565056,16932864,40198144,10584064,48095232,3100672,8769536,72820.6546431464,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.133,0.733,81.333,0.733,14.733,14.2,0.733,145.4,19.667,7.667,0,0,0,0.002996946564885496,0.0032090909090909093,0.09791666666666665,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034081632653061226,0.0019871382636655944,0.007515042117930204,0.0029519999999999998,0.004604274809160305,0.004976363636363636,0.21948275862068967,0.04362222222222229,0.004792857142857143,0.19113718411552347,0.007050000000000002,0.0044099219108865405,0.009575210589651021,0.004616
1705495393,0.6113762519012964,2.9089481863454987,0.5655745240253534,26.592048624407834,0.33517212538255564,8.087342181281894,1.0069467416473696,3.990398234969549,3.0170258129956147,0.3004664996869247,0.32155665070219697,109510656,43601920,11599872,44822528,43569152,16932864,40198144,10584064,48095232,3100672,8769536,72820.6546431464,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.133,0.733,81.333,0.733,14.733,14.2,0.733,145.4,19.667,7.667,0,0,0,0.002996946564885496,0.0032090909090909093,0.09791666666666665,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034081632653061226,0.0019871382636655944,0.007515042117930204,0.0029519999999999998,0.004604274809160305,0.004976363636363636,0.21948275862068967,0.04362222222222229,0.004792857142857143,0.19113718411552347,0.007050000000000002,0.0044099219108865405,0.009575210589651021,0.004616
1705495394,0.6113762519012964,2.8292490396327925,0.5546324736393781,26.025464727352226,0.33517212538255564,8.087342181281894,1.0069467416473696,3.990398234969549,3.0170258129956147,0.3004664996869247,0.32155665070219697,109510656,43601920,11599872,44822528,43569152,16932864,40198144,10584064,48095232,3100672,8769536,72820.6546431464,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.4,0.867,81.533,0.867,14.733,14.2,0.867,145.467,19.667,7.933,0,0,0,0.002996946564885496,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034081632653061226,0.0019871382636655944,0.007515042117930204,0.0029572192513368984,0.004604274809160305,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004792857142857143,0.19113718411552347,0.007050000000000002,0.0044099219108865405,0.009575210589651021,0.0046256684491978615
1705495395,0.616797630105688,2.8292490396327925,0.5436904232534028,32.94794985195308,0.33517212538255564,8.087342181281894,1.0069467416473696,3.990398234969549,3.0170258129956147,0.3004664996869247,0.32155665070219697,109510656,43601920,11599872,45072384,43569152,16932864,40198144,10584064,48095232,3100672,8769536,51414.65618959155,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.4,0.867,81.533,0.867,14.733,14.2,0.867,145.467,19.667,7.933,0,0,0,0.002996946564885496,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034583333333333337,0.0019871382636655944,0.007515042117930204,0.0029572192513368984,0.004604274809160305,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004792857142857143,0.19113718411552347,0.007318181818181822,0.0044099219108865405,0.009575210589651021,0.0046256684491978615
1705495396,0.616797630105688,2.8292490396327925,0.5327483728674275,32.94794985195308,0.33517212538255564,8.087342181281894,0.8328834105193512,3.795423557205499,3.0170258129956147,0.29692984293193986,0.30288328098750217,109510656,43601920,11599872,45072384,43569152,16932864,40198144,10838016,48095232,2973696,8761344,51414.65618959155,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.4,0.867,81.533,0.867,14.733,14.2,0.867,145.467,19.667,7.933,0,0,0,0.002996946564885496,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.0031071428571428574,0.046904481132075466,0.0034583333333333337,0.0019871382636655944,0.007515042117930204,0.0029572192513368984,0.004604274809160305,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004792857142857143,0.19113718411552347,0.007318181818181822,0.0044099219108865405,0.009575210589651021,0.0046256684491978615
1705495397,0.616797630105688,2.8292490396327925,0.5711951629613301,32.94794985195308,0.33517212538255564,8.087342181281894,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193986,0.30288328098750217,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,51414.65618959155,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.4,0.867,81.533,0.867,14.733,14.2,0.867,142.133,19.667,7.933,0,0,0,0.002996946564885496,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.003113207547169812,0.046904481132075466,0.0034583333333333337,0.002067487460100319,0.007515042117930204,0.0029572192513368984,0.004604274809160305,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004803773584905661,0.19113718411552347,0.007318181818181822,0.00442517099863201,0.009575210589651021,0.0046256684491978615
1705495398,0.616797630105688,2.8292490396327925,0.4858552183970611,32.94794985195308,0.33517212538255564,8.087342181281894,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193986,0.3028832809875021,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,51414.65618959155,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.933,27.4,0.867,81.533,0.867,14.733,14.2,0.867,142.133,19.667,7.933,0,0,0,0.002996946564885496,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.003113207547169812,0.046904481132075466,0.0034583333333333337,0.002067487460100319,0.007515042117930204,0.0029572192513368984,0.004604274809160305,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004803773584905661,0.19113718411552347,0.007318181818181822,0.00442517099863201,0.009575210589651021,0.0046256684491978615
1705495399,0.616797630105688,2.8292490396327925,0.4858552183970611,32.94794985195308,0.33517212538255564,8.087342181281894,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193986,0.3028832809875021,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,51414.65618959155,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,15.133,27.4,0.867,81.533,0.867,14.733,14.2,0.867,142.133,19.667,7.933,0,0,0,0.002996987951807229,0.0032090909090909093,0.09423076923076922,0.0037468818782098313,0.003113207547169812,0.046904481132075466,0.0034583333333333337,0.002067487460100319,0.007515042117930204,0.0029572192513368984,0.00460421686746988,0.004976363636363636,0.21839285714285717,0.043705357142857164,0.004803773584905661,0.19113718411552347,0.007318181818181822,0.00442517099863201,0.009575210589651021,0.0046256684491978615
1705495400,0.5271341012825741,2.8292490396327925,0.4858552183970611,32.94794985195308,0.2970097660838213,8.087342181281894,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193975,0.3028832809875021,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,43940.5361830085,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,25.533,0.8,83.667,0.867,12.733,12.867,0.867,131.267,17.733,7.067,0,0,0,0.003,0.0031654545454545455,0.11607142857142859,0.0037640282422891115,0.003113207547169812,0.04729318734793188,0.0034583333333333337,0.002027758007117438,0.007506172839506172,0.0029502762430939225,0.0046095952023988,0.004897818181818183,0.22321428571428573,0.04449324324324328,0.004803773584905661,0.19313524590163939,0.007318181818181822,0.004414661921708186,0.009560493827160494,0.004616574585635359
1705495401,0.5168541407808127,2.8292490396327925,0.4858552183970611,32.94794985195308,0.2970097660838213,8.087342181281894,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193975,0.17623174648837542,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,43083.62524651531,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,25.533,0.8,83.667,0.867,12.733,12.867,0.867,131.267,17.733,7.067,0,0,0,0.003,0.0031654545454545455,0.11607142857142859,0.0037640282422891115,0.003113207547169812,0.04729318734793188,0.0034583333333333337,0.002027758007117438,0.007506172839506172,0.0029502762430939225,0.0046095952023988,0.004897818181818183,0.22321428571428573,0.04449324324324328,0.004803773584905661,0.19313524590163939,0.007318181818181822,0.004414661921708186,0.009560493827160494,0.004616574585635359
1705495402,0.5065741802790512,2.8292490396327925,0.4858552183970611,31.637984964054056,0.2970097660838213,7.962561985839808,0.8674681004127032,3.795423557205499,3.0170258129956147,0.29692984293193975,0.18095108093273168,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,42226.714310022115,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,25.533,0.8,83.667,0.867,12.733,12.867,0.867,129.867,16.333,7.067,0,0,0,0.003,0.0031654545454545455,0.11607142857142859,0.0037640282422891115,0.003113207547169812,0.04729318734793188,0.0034583333333333337,0.0020238322211630125,0.007493654822335026,0.0029502762430939225,0.0046095952023988,0.004897818181818183,0.22321428571428573,0.04449324324324328,0.004803773584905661,0.19313524590163939,0.007318181818181822,0.004414680648236417,0.009559644670050762,0.004616574585635359
1705495403,0.49629421977728977,2.8292490396327925,0.4858552183970611,31.637984964054056,0.2970097660838213,7.962561985839808,0.8674681004127032,3.795423557205499,2.9411304430802887,0.29692984293193975,0.185670415377088,109510656,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,41369.80337352892,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,25.533,0.8,83.667,0.867,12.733,12.867,0.867,129.867,16.333,7.067,0,0,0,0.003,0.0031654545454545455,0.11607142857142859,0.0037640282422891115,0.003113207547169812,0.04729318734793188,0.0034583333333333337,0.0020238322211630125,0.007493654822335026,0.0029502762430939225,0.0046095952023988,0.004897818181818183,0.22321428571428573,0.04449324324324328,0.004803773584905661,0.19313524590163939,0.007318181818181822,0.004414680648236417,0.009559644670050762,0.004616574585635359
1705495404,0.6741141110371027,2.8292490396327925,0.4858552183970611,31.637984964054056,0.2970097660838213,7.962561985839808,0.8674681004127032,3.795423557205499,2.9411304430802887,0.29692984293193975,0.19038974982144433,109514752,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48095232,2973696,8761344,62954.04477688406,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,23.2,0.8,82.8,0.867,12.733,12.867,0.867,129.867,16.333,7.067,0,0,0,0.003,0.0031692015209125474,0.11607142857142859,0.0037942293090356873,0.003113207547169812,0.047293187347931885,0.0034583333333333337,0.0020238322211630125,0.007493654822335026,0.0029502762430939225,0.0046095952023988,0.004904562737642585,0.22321428571428573,0.04562211981566826,0.004803773584905661,0.1931352459016394,0.007318181818181822,0.004414680648236417,0.009559644670050762,0.004616574585635359
1705495405,0.6745699342561023,2.8292490396327925,0.4858552183970611,31.637984964054056,0.2970097660838213,7.962561985839808,0.625373973681215,3.795423557205499,2.842336591528685,0.29692984293193975,0.19510908426580062,109514752,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48087040,2973696,8761344,77430.73788569387,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,23.2,0.8,82.8,0.867,12.733,12.867,0.867,129.867,16.333,7.067,0,0,0,0.003,0.0031692015209125474,0.11607142857142859,0.0037942293090356873,0.003113207547169812,0.047293187347931885,0.0034583333333333337,0.0020238322211630125,0.007493654822335026,0.0029502762430939225,0.0046095952023988,0.004904562737642585,0.22321428571428573,0.04562211981566826,0.004803773584905661,0.1931352459016394,0.007318181818181822,0.004414680648236417,0.009559644670050762,0.004616574585635359
1705495406,0.6745699342561023,2.4071408009698003,0.4858552183970611,31.637984964054056,0.2970097660838213,7.962561985839808,0.625373973681215,3.795423557205499,2.842336591528685,0.29692984293193975,0.19982841871015689,109514752,43601920,11710464,45072384,43569152,16932864,39743488,10838016,48087040,2973696,8761344,77430.73788569387,0,,0,0,4,4,9,4,3,44,3,4,4,4,2,14.733,23.2,0.8,82.8,0.867,12.733,12.867,0.867,129.867,16.333,7.067,0,0,0,0.003,0.0031692015209125474,0.11607142857142859,0.0037942293090356873,0.003113207547169812,0.047293187347931885,0.0034583333333333337,0.0020238322211630125,0.007493654822335026,0.0029502762430939225,0.0046095952023988,0.004904562737642585,0.22321428571428573,0.04562211981566826,0.004803773584905661,0.1931352459016394,0.007318181818181822,0.004414680648236417,0.009559644670050762,0.004616574585635359
