time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,frontend_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705490931,0.6250192177255096,2.896975506774968,0.4227360117336868,34.39905761740635,0.30202241147468045,8.409633251833574,0.6666410256410245,4.0936744526782425,2.378129098515871,0.3054080175727585,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47046656,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.733,0.867,86.791,0.933,14.933,14.6,0.8,161.867,19.8,7.933,,0,0,0.003,0.003104888888888889,0.121,0.003699903069391357,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019388786764705887,0.007481179422835634,0.0029585798816568047,0.0046139737991266385,0.0047888,0.22419999999999998,0.04055939070533407,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.0043907169117647065,0.009576537013801758,0.004601183431952663
1705490932,0.6250192177255096,2.896975506774968,0.4227360117336868,34.399057617406356,0.30202241147468045,8.409633251833574,0.6666410256410245,4.0936744526782425,2.42902021388704,0.3054080175727585,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47046656,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.733,0.867,86.791,0.933,14.933,14.6,0.8,162,19.933,7.933,,0,0,0.003,0.003104888888888889,0.121,0.003699903069391357,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.0029585798816568047,0.0046139737991266385,0.0047888,0.22419999999999998,0.04055939070533407,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004601183431952663
1705490933,0.6250192177255096,2.896975506774968,0.4227360117336868,34.399057617406356,0.30202241147468045,6.922004169722765,0.6666410256410245,4.0936744526782425,2.483554329956974,0.3054080175727585,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.733,0.867,86.791,0.933,14.933,14.6,0.8,162,19.933,7.933,,0,0,0.003,0.003104888888888889,0.121,0.003699903069391357,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.0029585798816568047,0.0046139737991266385,0.0047888,0.22419999999999998,0.04055939070533407,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004601183431952663
1705490934,0.6250192177255096,2.9542635903919225,0.4227360117336868,34.399057617406356,0.30202241147468045,6.781843615525538,0.6666410256410245,4.0936744526782425,2.5345728147392133,0.3054080175727585,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.4,0.867,87.409,0.933,14.933,14.6,0.8,162,19.933,7.933,,0,0,0.003,0.0031022530329289427,0.121,0.003744266851980542,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.0029585798816568047,0.0046139737991266385,0.0047840554592720975,0.22419999999999998,0.04304203539823009,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004601183431952663
1705490935,0.6250192177255096,2.9542635903919225,0.4227360117336868,34.399057617406356,0.30194716491862145,6.641683061328312,0.6666410256410245,4.0936744526782425,2.5855912995214516,0.2579996113993735,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.4,0.867,87.409,0.933,14.933,14.6,0.8,162,19.933,7.933,,0,0,0.003,0.0031022530329289427,0.121,0.003744266851980542,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.0029585798816568047,0.0046139737991266385,0.0047840554592720975,0.22419999999999998,0.04304203539823009,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004601183431952663
1705490936,0.6250192177255096,2.9542635903919225,0.4227360117336868,34.399057617406356,0.30194716491862145,6.501522507131085,0.6666410256410245,4.0936744526782425,2.636609784303689,0.263136521776732,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10448896,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.4,0.867,87.409,0.933,14.933,14.6,0.8,162,19.933,7.933,,0,0,0.003,0.0031022530329289427,0.121,0.003744266851980542,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.0029585798816568047,0.0046139737991266385,0.0047840554592720975,0.22419999999999998,0.04304203539823009,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004601183431952663
1705490937,0.6250192177255096,2.9542635903919225,0.4227360117336868,34.399057617406356,0.30194716491862145,6.361361952933861,0.6666410256410245,4.006689288407381,3.0611090869343047,0.30821462264151234,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10555392,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.4,0.867,87.409,0.933,14.933,14.6,0.8,162,19.933,9.2,,0,0,0.003,0.0031022530329289427,0.121,0.003744266851980542,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.002948863636363636,0.0046139737991266385,0.0047840554592720975,0.22419999999999998,0.04304203539823009,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004598863636363636
1705490938,0.6250192177255096,2.442141996997483,0.4227360117336868,34.399057617406356,0.30194716491862145,6.221201398736634,0.6666410256410245,4.006689288407381,3.0611090869343047,0.30821462264151234,0.3014327219499261,107528192,43339776,11862016,44515328,43483136,15908864,39505920,10555392,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.4,0.867,87.409,0.933,14.933,14.6,0.8,162,19.933,9.2,,0,0,0.003,0.0031022530329289427,0.121,0.003744266851980542,0.0031538461538461538,0.04945652173913044,0.003157894736842105,0.0019458533241946542,0.007478684531059683,0.002948863636363636,0.0046139737991266385,0.0047840554592720975,0.22419999999999998,0.04304203539823009,0.004876923076923077,0.18648601398601394,0.0048842105263157895,0.004393557230980123,0.009578562728380025,0.004598863636363636
1705490939,0.6250192177255096,2.6568092926355042,0.4227360117336868,34.399057617406356,0.30194716491862145,4.381249999999757,0.6666410256410245,4.006689288407381,3.0611090869343047,0.30821462264151234,0.3014327219499261,107528192,43343872,11862016,44515328,43483136,15908864,39505920,10555392,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.8,1.067,88.942,1.133,14.933,14.6,1,163.333,19.933,9.6,,0,0,0.003,0.003098275862068966,0.127,0.00375625,0.0031999999999999997,0.04945652173913044,0.0034571428571428574,0.0019501706484641639,0.007478684531059683,0.002949438202247191,0.0046139737991266385,0.004776896551724137,0.235,0.04373348017621149,0.004959999999999999,0.18648601398601394,0.007312500000000002,0.004394402730375427,0.009578562728380025,0.004598876404494382
1705490940,0.6250192177255096,2.6568092926355042,0.41378484783996083,30.468128494313795,0.30194716491862145,4.381249999999757,0.6666410256410245,4.006689288407381,3.0611090869343047,0.30821462264151234,0.3014327219499261,107528192,43343872,11862016,44515328,43483136,15908864,39505920,10555392,47038464,2973696,8847360,83346.14515035046,0,0,0,4,4,9,4,3,27,3,4,4,4,2,15.067,27.8,1.067,88.942,1.133,14.933,14.6,1.267,163.333,19.933,9.6,,0,0,0.003,0.003098275862068966,0.127,0.00375625,0.0031999999999999997,0.04945652173913044,0.0034210526315789475,0.0019501706484641639,0.007478684531059683,0.002949438202247191,0.0046139737991266385,0.004776896551724137,0.235,0.04373348017621149,0.004959999999999999,0.18648601398601394,0.007125000000000001,0.004394402730375427,0.009578562728380025,0.004598876404494382
