time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705399657,0.7223178037701182,2.652518411919061,0.4217986149651248,29.50467587436001,0.32795329957734803,8.56234375705057,0.9741441526247948,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11612160,46481408,43638784,15310848,40472576,10481664,46022656,3129344,8953856,35954.26715530295,0,0,0,4,5,9,3,3,37,3,4,4,4,3,14.8,23.667,1.067,73.8,0.933,12.467,12.667,1.067,137.933,18.133,6.733,0,0,0,0.002993911719939117,0.0030379403794037942,0.11442307692307692,0.0040025531914893615,0.003043478260869565,0.049671052631578956,0.0039375,0.001971175166297117,0.00758576874205845,0.0026394557823129256,0.004598782343987823,0.00466829268292683,0.22288461538461535,0.057596153846153936,0.004678260869565217,0.20130597014925383,0.008678571428571428,0.004424981522542497,0.00970012706480305,0.004527891156462585
1705399658,0.7223178037701181,2.652518411919061,0.3754644866758673,20.23089249999998,0.32795329957734803,8.56234375705057,0.9741441526247948,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11624448,46481408,43638784,15310848,40472576,10481664,46022656,3129344,8953856,35954.26715530294,0,0,0,4,5,9,3,3,37,3,4,4,4,3,14.8,23.667,1.067,75.867,0.933,12.467,12.667,1.067,137.933,18.133,6.733,0,0,0,0.002993911719939117,0.0030379403794037942,0.11442307692307692,0.003980541455160745,0.003043478260869565,0.049671052631578956,0.0039375,0.0019711751662971175,0.00758576874205845,0.0026394557823129256,0.004598782343987823,0.00466829268292683,0.22288461538461535,0.057123456790123504,0.004678260869565217,0.20130597014925383,0.008678571428571428,0.004424981522542498,0.00970012706480305,0.004527891156462585
1705399659,0.7223178037701181,2.652518411919061,0.3754644866758673,20.23089249999998,0.32795329957734803,8.56234375705057,0.9741441526247948,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11624448,46481408,43638784,15310848,40472576,10481664,46022656,3129344,8953856,35954.26715530294,0,0,0,4,5,9,3,3,37,3,4,4,4,3,14.8,23.667,1.067,75.867,0.933,12.467,12.667,1.067,137.933,18.133,6.733,0,0,0,0.002993911719939117,0.0030379403794037942,0.11442307692307692,0.003980541455160745,0.003043478260869565,0.049671052631578956,0.0039375,0.0019711751662971175,0.00758576874205845,0.0026394557823129256,0.004598782343987823,0.00466829268292683,0.22288461538461535,0.057123456790123504,0.004678260869565217,0.20130597014925383,0.008678571428571428,0.004424981522542498,0.00970012706480305,0.004527891156462585
1705399660,0.7223178037701181,2.652518411919061,0.3754644866758673,20.23089249999998,0.32795329957734803,8.56234375705057,0.9741441526247948,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11624448,46481408,43638784,15310848,40472576,10481664,46022656,3129344,8953856,35954.26715530294,0,0,0,4,5,9,3,3,37,3,4,4,4,3,14.8,23.667,1.067,75.867,0.933,12.467,12.667,1.067,137.933,18.133,6.733,0,0,0,0.002993911719939117,0.0030379403794037942,0.11442307692307692,0.003980541455160745,0.003043478260869565,0.049671052631578956,0.0039375,0.0019711751662971175,0.00758576874205845,0.0026394557823129256,0.004598782343987823,0.00466829268292683,0.22288461538461535,0.057123456790123504,0.004678260869565217,0.20130597014925383,0.008678571428571428,0.004424981522542498,0.00970012706480305,0.004527891156462585
1705399661,0.7223178037701181,2.652518411919061,0.3754644866758673,29.452404239782048,0.32795329957734803,6.134266154135124,0.8142678239841038,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8953856,35954.26715530294,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.867,24,0.733,77.2,0.933,12.467,13,1.067,137.867,18.133,6.2,0,0,0,0.0029940119760479044,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.003043478260869565,0.05,0.0039375,0.001974459724950884,0.007608695652173913,0.002635738831615121,0.00459880239520958,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.004678260869565217,0.20357664233576633,0.008678571428571428,0.004425540275049117,0.009741687979539641,0.004527147766323025
1705399662,0.7127156869764635,2.652518411919061,0.41292984869327,29.452404239782048,0.32795329957734803,6.273078721267236,0.8142678239841038,3.701566534687548,3.130992196209576,0.31862255965293074,0.2672330040674019,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8953856,29326.269062790863,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.867,24,0.733,77.2,0.933,14,13,1.067,137.867,18.133,6.2,0,0,0,0.0029940119760479044,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.003043478260869565,0.0507812536170578,0.0039375,0.001974459724950884,0.007608695652173913,0.002635738831615121,0.00459880239520958,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.004678260869565217,0.20451434725413603,0.008678571428571428,0.004425540275049117,0.009741687979539641,0.004527147766323025
1705399663,0.7127156869764635,2.652518411919061,0.41292984869327,29.452404239782048,0.32795329957734803,6.411891288399346,0.8142678239841038,3.701566534687548,3.130992196209576,0.2582701364786715,0.2672330040674019,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8953856,29326.269062790863,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.867,24,0.733,77.2,0.933,14,13,0.8,137.867,18.133,6.2,0,0,0,0.0029940119760479044,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.003043478260869565,0.0507812536170578,0.0039375,0.001974459724950884,0.007608695652173913,0.002635738831615121,0.00459880239520958,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.004678260869565217,0.20451434725413603,0.008678571428571428,0.004425540275049117,0.009741687979539641,0.004527147766323025
1705399664,0.7127156869764635,2.652518411919061,0.41292984869327,29.452404239782048,0.32795329957734803,6.550703855531458,0.8142678239841038,3.701566534687548,3.130992196209576,0.2529597604844559,0.2672330040674019,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8953856,29326.269062790863,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.867,24,0.733,77.2,0.933,14,13,0.8,137.867,18.133,6.2,0,0,0,0.0029940119760479044,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.003043478260869565,0.0507812536170578,0.0039375,0.001974459724950884,0.007608695652173913,0.002635738831615121,0.00459880239520958,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.004678260869565217,0.20451434725413603,0.008678571428571428,0.004425540275049117,0.009741687979539641,0.004527147766323025
1705399665,0.7127156869764635,2.652518411919061,0.41292984869327,29.452404239782048,0.32795329957734803,6.6895164226635675,0.8142678239841038,3.701566534687548,2.1809099999999404,0.24764938449024038,0.2672330040674019,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8953856,29326.269062790863,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.867,24,0.733,77.2,0.933,14,13,0.8,137.867,18.133,6.2,0,0,0,0.0029940119760479044,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.003043478260869565,0.0507812536170578,0.0039375,0.001974459724950884,0.007608695652173913,0.002635738831615121,0.00459880239520958,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.004678260869565217,0.20451434725413603,0.008678571428571428,0.004425540275049117,0.009741687979539641,0.004527147766323025
1705399666,0.7487613253381254,2.652518411919061,0.41292984869327,29.452404239782048,0.32795329957734803,6.669805038130808,0.8142678239841038,3.8636732435920895,2.1809099999999404,0.3284791544333509,0.2566730210764502,108146688,43548672,11624448,45486080,43638784,15310848,40591360,10481664,46022656,3129344,8957952,35855.91106053311,0,0,0,4,5,9,3,3,37,3,4,4,4,3,15.733,24,0.733,77.2,0.667,14,13,0.8,132.4,18.133,6.2,0,0,0,0.0029883040935672514,0.0030578139114724487,0.10599999999999998,0.003962624584717607,0.0030416666666666665,0.0507812536170578,0.0039375,0.0019472910026967392,0.007608695652173913,0.002635738831615121,0.00459766081871345,0.004704065040650408,0.22119999999999998,0.05832932692307695,0.0046749999999999995,0.20451434725413603,0.008678571428571428,0.00442240745280706,0.009741687979539641,0.004527147766323025
