time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,paymentservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705544595,0.8036775806172564,2.559388413262102,0.45763300458397055,32.771089091735575,0.32120404355223586,7.414083272351794,0.6807022292685357,3.1359580967002185,2.938751844424946,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16269312,44666880,10657792,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.533,1.467,81.4,1.467,13.467,13.4,1.267,140.268,17.935,7.933,0,0,0,0.003002958579881657,0.0032851323828920575,0.15806451612903225,0.003874950999607997,0.0030512820512820517,0.05612244897959184,0.0035,0.002095596623317363,0.007503152585119798,0.002930379746835443,0.004605325443786983,0.006168067226890763,0.23548387096774198,0.03987442922374426,0.004692307692307693,0.20364754098360657,0.007916666666666667,0.004463655030800822,0.00962673392181589,0.004586075949367089
1705544596,0.8036775806172564,2.559388413262102,0.47458903685003545,32.771089091735575,0.32120404355223586,8.970492260493925,0.6807022292685357,3.1986484210850064,2.938751844424946,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16257024,44666880,10657792,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.533,1.467,81.4,1.467,13.467,13.4,1.267,140.268,17.935,7.933,0,0,0,0.003002958579881657,0.0032851323828920575,0.15806451612903225,0.003874950999607997,0.0030512820512820517,0.05612244897959184,0.0035,0.002095596623317363,0.007503152585119798,0.002930379746835443,0.004605325443786983,0.006168067226890763,0.23548387096774198,0.03987442922374426,0.004692307692307693,0.20364754098360657,0.007916666666666667,0.004463655030800822,0.00962673392181589,0.004586075949367089
1705544597,0.8036775806172564,2.559388413262102,0.566242456458559,32.771089091735575,0.32120404355223586,8.970492260493925,0.6935780628902922,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16257024,44666880,10682368,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.533,1.467,81.4,1.467,13.467,13.4,1.267,140.268,17.935,7.933,0,0,0,0.003002958579881657,0.0032851323828920575,0.15806451612903225,0.003874950999607997,0.0030512820512820517,0.05612244897959184,0.0035,0.002095596623317363,0.007503152585119798,0.002930379746835443,0.004605325443786983,0.006168067226890763,0.23548387096774198,0.03987442922374426,0.004692307692307693,0.20364754098360657,0.007916666666666667,0.004463655030800822,0.00962673392181589,0.004586075949367089
1705544598,0.8036775806172564,2.559388413262102,0.566242456458559,32.771089091735575,0.32120404355223586,8.970492260493925,0.8338070352373066,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16257024,44666880,10682368,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.533,1.467,81.4,1.467,12.4,13.4,1.267,140.268,17.935,7.933,0,0,0,0.003002958579881657,0.0032851323828920575,0.15806451612903225,0.003874950999607997,0.0030512820512820517,0.05630372492836676,0.0035,0.002095596623317363,0.007503152585119798,0.002930379746835443,0.004605325443786983,0.006168067226890763,0.23548387096774198,0.03987442922374426,0.004692307692307693,0.20506382978723406,0.007916666666666667,0.004463655030800822,0.00962673392181589,0.004586075949367089
1705544599,0.8036775806172564,2.559388413262102,0.566242456458559,32.771089091735575,0.3402972450459071,8.970492260493925,0.8338070352373066,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16257024,44666880,10682368,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,80.333,1.267,12.4,13.4,1.067,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038757304246201793,0.0030444444444444447,0.05630372492836676,0.003411764705882353,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.03998863636363635,0.00468,0.20506382978723406,0.007416666666666668,0.004459931740614335,0.009607830551989731,0.004586585365853659
1705544600,0.8036775806172564,2.559388413262102,0.566242456458559,32.771089091735575,0.3402972450459071,8.970492260493925,0.8338070352373066,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2797557944783663,114147328,44662784,12021760,44974080,43610112,16257024,44666880,10682368,47521792,2994176,9146368,50684.287375949716,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,80.333,1.267,12.4,13.4,1.067,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038757304246201793,0.0030444444444444447,0.05630372492836676,0.003411764705882353,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.03998863636363635,0.00468,0.20506382978723406,0.007416666666666668,0.004459931740614335,0.009607830551989731,0.004586585365853659
1705544601,0.7757417810467842,2.5123803292238795,0.566242456458559,32.771089091735575,0.3402972450459071,8.970492260493925,0.7249211216282179,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2687781039800738,114147328,44625920,12021760,44974080,43610112,16257024,44625920,10682368,47521792,2994176,9170944,39535.91629505222,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,80.333,1.267,12.4,13.4,1.067,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038757304246201793,0.0030444444444444447,0.05630372492836676,0.003411764705882353,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.03998863636363635,0.00468,0.20506382978723406,0.007416666666666668,0.004459931740614335,0.009607830551989731,0.004586585365853659
1705544602,0.7757417810467842,2.5123803292238795,0.566242456458559,32.771089091735575,0.3402972450459071,8.970492260493925,0.7249211216282179,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2687781039800738,114147328,44625920,12021760,44974080,43610112,16257024,44625920,10682368,47521792,2994176,9170944,39535.91629505222,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,83.933,1.267,12.4,13.4,0.8,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038164652567975826,0.0030444444444444447,0.05630372492836676,0.003368421052631579,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.038329439252336395,0.00468,0.20506382978723406,0.007083333333333335,0.004459931740614335,0.009607830551989731,0.004586585365853659
1705544603,0.7757417810467842,2.3551457955802135,0.566242456458559,32.771089091735575,0.3402972450459071,8.970492260493925,0.7249211216282179,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2687781039800738,114147328,44625920,12021760,44974080,43610112,16257024,44625920,10682368,47521792,2994176,9170944,39535.91629505222,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,83.933,1.267,12.4,13.4,0.8,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038164652567975826,0.0030444444444444447,0.05630372492836676,0.003368421052631579,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.038329439252336395,0.00468,0.20506382978723406,0.007083333333333335,0.004459931740614335,0.009607830551989731,0.004586585365853659
1705544604,0.7757417810467842,2.3551457955802135,0.46887942541407834,32.771089091735575,0.3402972450459071,8.970492260493925,0.7249211216282179,3.6003887378380375,2.970036083942542,0.2920039465499752,0.2687781039800738,114147328,44625920,12021760,44974080,43610112,16257024,44625920,10682368,47521792,2994176,9170944,39535.91629505222,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.733,25.2,1.267,83.933,1.267,12.4,13.4,0.8,138.8,17.267,7.533,0,0,0,0.003002958579881657,0.0032862903225806452,0.15454545454545457,0.0038164652567975826,0.0030444444444444447,0.05630372492836676,0.003368421052631579,0.0020957906712172924,0.007474326059050065,0.0029329268292682923,0.004605325443786983,0.0061916666666666665,0.2381818181818182,0.038329439252336395,0.00468,0.20506382978723406,0.007083333333333335,0.004459931740614335,0.009607830551989731,0.004586585365853659
