time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,paymentservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705534741,0.8951935747004311,2.1307844376057847,0.48385811449435395,32.25172316755053,0.336522440204262,9.044112149533303,0.675997991463684,3.587602179836672,2.8894950104532837,0.23242469314977415,0.28005720945014206,113197056,44584960,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,85670.66156323858,0,0,0,0,0,17282.74819852196,4,4,9,4,3,32,3,3,4,4,2,14.2,24.6,1.2,82.191,1.133,14.4,12.733,1.2,141.733,18.933,8.067,0,0,0,0.003002976190476191,0.0031568247821878023,0.0925,0.0036245359404862144,0.0030975609756097562,0.04907525510204081,0.00325,0.0019883777239709448,0.007474651457541192,0.002916666666666667,0.004605357142857143,0.004882284607938044,0.21775000000000003,0.030584834648689913,0.004775609756097561,0.1699324324324324,0.005499999999999998,0.004420920096852301,0.009596324461343475,0.004593589743589744
1705534742,0.8951935747004311,2.1307844376057847,0.48886313035097284,32.25172316755053,0.28488868046225474,5.89516825386364,0.675997991463684,3.587602179836672,2.8894950104532837,0.23750057638082406,0.28005720945014206,113197056,44584960,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,85670.66156323858,0,0,0,0,0,17660.18318866221,4,4,9,4,3,32,3,3,4,4,2,14.2,24.6,1.2,82.191,1.133,14.4,12.733,1.2,141.733,18.933,8.067,0,0,0,0.003002976190476191,0.0031568247821878023,0.0925,0.0036245359404862144,0.0030975609756097562,0.04907525510204081,0.00325,0.0019883777239709448,0.007474651457541192,0.002916666666666667,0.004605357142857143,0.004882284607938044,0.21775000000000003,0.030584834648689913,0.004775609756097561,0.1699324324324324,0.005499999999999998,0.004420920096852301,0.009596324461343475,0.004593589743589744
1705534743,0.8951935747004311,1.7566961402770724,0.48886313035097284,32.25172316755053,0.33321930905538183,6.048984677541137,0.675997991463684,3.587602179836672,2.8894950104532837,0.24257645961187393,0.28005720945014206,113197056,44584960,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,85670.66156323858,0,0,0,0,0,18037.61817880246,4,4,9,4,3,32,3,3,4,4,2,14.2,24.6,1.2,82.191,1.133,12.867,12.733,1.2,141.733,18.933,8.067,0,0,0,0.003002976190476191,0.0031568247821878023,0.0925,0.0036245359404862144,0.0030975609756097562,0.048258709231681095,0.00325,0.0019883777239709448,0.007474651457541192,0.002916666666666667,0.004605357142857143,0.004882284607938044,0.21775000000000003,0.030584834648689913,0.004775609756097561,0.1689862043087879,0.005499999999999998,0.004420920096852301,0.009596324461343475,0.004593589743589744
1705534744,0.7245192495383478,1.7920380502226436,0.48886313035097284,32.19129139831456,0.33321930905538183,6.202801101218631,0.675997991463684,3.587602179836672,2.8894950104532837,0.24765234284292384,0.28005720945014206,113197056,44584960,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,69134.18186731523,0,0,0,0,0,18415.053168942704,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,80.925,1,12.867,12.733,1.067,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036227966771693724,0.0031,0.048258709231681095,0.0032564102564102563,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.03043416677311717,0.00478,0.1689862043087879,0.0056,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534745,0.739019204499389,2.3770270577276595,0.48886313035097284,32.19129139831456,0.33321930905538183,6.356617524896125,0.675997991463684,3.587602179836672,2.8894950104532837,0.25272822607397366,0.28005720945014206,113197056,44593152,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,70517.77867855695,0,0,0,0,0,18792.488159082954,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,80.925,1,12.867,12.733,1.067,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036227966771693724,0.0031,0.048258709231681095,0.0032564102564102563,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.03043416677311717,0.00478,0.1689862043087879,0.0056,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534746,0.8699972976624745,2.3770270577276595,0.48886313035097284,32.19129139831456,0.33321930905538183,6.510433948573619,0.675997991463684,3.587602179836672,2.8894950104532837,0.2578041093050236,0.28005720945014206,113197056,44593152,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,83015.80867450344,0,0,0,0,0,19169.923149223203,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,80.925,1,12.867,12.733,1.067,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036227966771693724,0.0031,0.048258709231681095,0.0032564102564102563,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.03043416677311717,0.00478,0.1689862043087879,0.0056,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534747,0.8095686012897205,2.3770270577276595,0.48886313035097284,32.19129139831456,0.33321930905538183,6.664250372251113,0.675997991463684,3.587602179836672,2.8894950104532837,0.26287999253607347,0.28005720945014206,113205248,44593152,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,63758.06092950855,0,0,0,0,0,19547.358139363452,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,77.275,1,12.867,12.733,1.267,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036082171680117394,0.0031,0.048258709231681095,0.0032380952380952383,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.02992187500000012,0.00478,0.1689862043087879,0.005300000000000002,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534748,0.8095686012897205,2.3770270577276595,0.48886313035097284,32.19129139831456,0.33321930905538183,5.148543333333086,,3.587602179836672,2.8894950104532837,0.304552993862993,0.28005720945014206,113205248,44593152,12001280,44457984,43589632,16781312,45068288,10485760,47124480,2981888,8880128,63758.06092950855,0,0,0,,0,22646.099408414884,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,77.275,1,12.867,12.733,1.267,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036082171680117394,0.0031,0.048258709231681095,0.0032380952380952383,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.02992187500000012,0.00478,0.1689862043087879,0.005300000000000002,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534749,0.8095686012897205,2.3770270577276595,0.5460928672009602,32.19129139831456,0.33321930905538183,6.971608792532304,,3.587602179836672,2.8894950104532837,0.304552993862993,0.28005720945014206,113205248,44593152,12361728,44457984,43589632,16859136,45068288,10485760,47124480,2981888,8880128,63758.06092950855,0,0,0,,0,22646.099408414884,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,77.275,1,12.867,12.733,1.267,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036082171680117394,0.0031,0.048258709231681095,0.0032380952380952383,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.02992187500000012,0.00478,0.1689862043087879,0.005300000000000002,0.004419436345966957,0.009551724137931036,0.004593548387096774
1705534750,0.8095686012897205,2.3770270577276595,0.5460928672009602,32.19129139831456,0.33321930905538183,7.122722839807564,,3.587602179836672,2.3014625118976473,0.304552993862993,0.2920739387831991,113205248,44593152,12361728,44457984,43589632,16859136,45068288,10485760,47124480,2981888,8880128,63758.06092950855,0,0,0,,0,22646.099408414884,4,4,9,4,3,32,3,3,4,4,2,14.2,24.333,1.067,77.275,1,12.867,12.733,1.267,140.6,18.933,7.8,0,0,0,0.003002976190476191,0.003157129000969932,0.10681818181818181,0.0036082171680117394,0.0031,0.048258709231681095,0.0032380952380952383,0.0019844509232264333,0.007452107279693487,0.0029161290322580642,0.004605357142857143,0.004882832201745877,0.22136363636363637,0.02992187500000012,0.00478,0.1689862043087879,0.005300000000000002,0.004419436345966957,0.009551724137931036,0.004593548387096774
