time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705346511,0.729386169386164,1.791860964865141,0.36054279749478163,18.855320572610708,0.2225177674170313,6.40862664151748,0.514689471130526,1.8932301219206624,13.322180443528053,0.26506633661216433,0.23867376348084682,107499520,50876416,11218944,41762816,43544576,15425536,37986304,10153984,45277184,2981888,8998912,87521.36752136753,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.6,24.467,1.2,74.2,1.2,12.467,12.4,1.2,134.467,17.867,7.267,0,0,0,,0.0029741518578352178,0.0031712538226299695,0.265625,0.06027667984189723,0.003,0.21448467966573814,0.0041818181818181815,0.0016614349775784748,0.050070224719101136,0.003,0.004615508885298869,0.004908256880733945,0.9071428571428573,0.09815358554488991,0.0046,0.6955223880597016,0.008653846153846154,0.004342152466367713,0.09360955056179776,0.004664646464646463
1705346512,0.729386169386164,1.791860964865141,0.36054279749478163,18.855320572610708,0.227020740000004,6.40862664151748,0.514689471130526,1.9389249983910395,13.322180443528053,0.27134651569669604,0.23867376348084682,107499520,50876416,11218944,41762816,43544576,15425536,37986304,10153984,45277184,2981888,8998912,87521.36752136753,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.6,24.467,1.2,74.2,1.2,12.467,12.4,1.2,134.467,17.867,7.267,0,0,0,,0.0029741518578352178,0.0031712538226299695,0.265625,0.06027667984189723,0.003,0.21448467966573814,0.0041818181818181815,0.0016614349775784748,0.050070224719101136,0.003,0.004615508885298869,0.004908256880733945,0.9071428571428573,0.09815358554488991,0.0046,0.6955223880597016,0.008653846153846154,0.004342152466367713,0.09360955056179776,0.004664646464646463
1705346513,0.729386169386164,1.791860964865141,0.36054279749478163,18.855320572610708,0.2701783549783597,6.40862664151748,0.514689471130526,1.9846198748614163,13.322180443528053,0.27134651569669604,0.2505061809166367,107499520,50876416,11218944,41762816,43544576,15425536,37986304,10153984,45277184,2981888,9019392,87521.36752136753,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.6,24.867,1.4,74.733,1.4,12.467,12.4,1.4,134.8,17.867,7.667,0,0,0,,0.0029741518578352178,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448683,0.050070224719101136,0.0029931972789115644,0.004615508885298869,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934943,0.09360955056179776,0.0046530612244897965
1705346514,0.729386169386164,1.791860964865141,0.36054279749478163,18.855320572610708,0.3032543843789577,5.595314993497954,0.6685792967385166,2.030314751331793,13.322180443528053,0.27134651569669604,0.2505061809166367,107499520,50876416,11218944,41762816,43560960,15425536,37806080,10153984,45277184,2981888,9019392,87521.36752136753,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.6,24.867,1.4,74.733,1.4,12.467,12.4,1.667,134.8,17.867,7.667,0,0,0,,0.0029741518578352178,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448678,0.050070224719101136,0.0029931972789115644,0.004615508885298869,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934941,0.09360955056179776,0.0046530612244897965
1705346515,0.729386169386164,1.75564054493191,0.36054279749478163,18.855320572610708,0.3032543843789577,6.52999276320712,0.6685792967385166,2.0760096278021707,13.322180443528053,0.22753875134794654,0.2644761904761974,107499520,50876416,11218944,41762816,43560960,15425536,37806080,10153984,45277184,2981888,9019392,87521.36752136753,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.4,12.467,12.4,1.667,134.8,17.867,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448678,0.050070224719101136,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934941,0.09360955056179776,0.0046530612244897965
1705346516,0.7454384179147818,1.75564054493191,0.36054279749478163,18.53188783520723,0.3032543843789577,6.52999276320712,0.6685792967385166,2.2069990694063035,11.283275657112691,0.2734875703516011,0.2644761904761974,107499520,50876416,11218944,41762816,43560960,15425536,37806080,10403840,45277184,3117056,9019392,71473.02602879163,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.4,12.467,12.4,1.667,134.8,17.867,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448678,0.050070224719101136,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934941,0.09360955056179776,0.0046530612244897965
1705346517,0.7454384179147818,1.75564054493191,0.36054279749478163,18.53188783520723,0.3032543843789577,6.52999276320712,0.6685792967385166,2.254660516837914,11.283275657112691,0.2734875703516011,0.2644761904761974,107499520,50876416,11218944,41762816,43560960,15425536,37806080,10403840,45277184,3117056,9019392,71473.02602879163,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.4,12.467,12.4,1.667,134.8,17.867,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448678,0.050070224719101136,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934941,0.09360955056179776,0.0046530612244897965
1705346518,0.7454384179147818,1.75564054493191,0.32907888176798417,18.53188783520723,0.3032543843789577,6.52999276320712,0.6685792967385166,2.3023219642695247,11.283275657112691,0.2734875703516011,0.2644761904761974,107499520,50876416,11218944,41762816,43560960,15425536,37806080,10403840,45277184,3117056,9019392,71473.02602879163,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.4,12.467,12.4,1.667,134.8,17.867,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016606842400448678,0.050070224719101136,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.004342007851934941,0.09360955056179776,0.0046530612244897965
1705346519,0.7073904123188247,1.75564054493191,0.33709707997633387,18.53188783520723,0.3032543843789577,6.52999276320712,0.6685792967385166,2.859686845896637,9.783195500931939,0.2734875703516011,0.2644761904761974,107507712,50876416,11218944,41762816,43560960,15425536,37806080,10403840,45277184,3117056,9019392,54216.94720818903,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.4,12.467,12.4,1.667,135.2,18.267,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016725958866036683,0.009073033707865169,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.0043443023902167855,0.08960820895522388,0.0046530612244897965
1705346520,0.7073904123188247,1.75564054493191,0.3451152781846835,18.53188783520723,0.3032543843789577,6.52999276320712,0.6685792967385166,2.859686845896637,9.595140906646728,0.2734875703516011,0.2644761904761974,107507712,50876416,11218944,41762816,43560960,15425536,37806080,10403840,45277184,3117056,9019392,54216.94720818903,0,0,0,0,4,4,9,3,3,30,4,4,4,4,3,14.133,24.867,1.4,74.733,1.667,12.467,12.4,1.667,135.2,18.267,7.667,0,0,0,,0.0029776714513556615,0.0031673469387755106,0.3125,0.06028579513299378,0.003,0.21448467966573814,0.003869565217391304,0.0016725958866036683,0.009073033707865169,0.0029931972789115644,0.004615948963317384,0.004901224489795918,0.9083333333333334,0.09819185059422753,0.0046,0.6955223880597016,0.008722222222222221,0.0043443023902167855,0.08960820895522388,0.0046530612244897965
