time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705457512,3.844483713994076,2.8550918079096057,0.3347900167229357,30.60663584242649,0.3040718050242114,8.39787345940137,0.9804804576751728,3.575439675947291,2.9040766798770994,0.2998946125959026,0.258457059679767,208035840,85520384,22515712,210243584,86949888,30646272,68894720,20570112,88817664,5963776,30445568,70689.97691486063,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,22.733,0.933,76.333,0.733,12.667,12.333,0.733,133.151,17.667,6.336,0,0,0.003246205733558179,0.0038509554140127387,0.14444444444444443,0.004665779670037254,0.003043478260869565,0.07376325088339222,0.004481481481481482,0.002100575908025073,0.00751889168765743,0.002930782177885637,0.0058421052631578915,0.008739057239057239,0.23777777777777778,0.07182119205298011,0.004678260869565217,0.23892097264437684,0.008825,0.004447751892748221,0.009614609571788413,0.004666646722659003
1705457513,3.921237150923408,2.8365816641665935,0.3347900167229357,30.60663584242649,0.3040718050242114,8.39787345940137,0.8494719271888086,3.575439675947291,2.9040766798770994,0.2998946125959026,0.258457059679767,208035840,86245376,22515712,210243584,86949888,30646272,68894720,20570112,88817664,5963776,30445568,72101.27140543707,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,0.933,12.667,12.333,0.933,134.084,17.667,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030499999999999998,0.07376325088339222,0.004416666666666667,0.0020997354192168554,0.00751889168765743,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.00469,0.23892097264437684,0.008794117647058824,0.004447609620786242,0.009614609571788413,0.004669259734901532
1705457514,4.605206215759917,2.8365816641665935,0.3347900167229357,30.60663584242649,0.3040718050242114,8.39787345940137,0.8331305862275558,3.575439675947291,2.9040766798770994,0.2998946125959026,0.258457059679767,208035840,86245376,22515712,210243584,86949888,30646272,68894720,20570112,88817664,5963776,30445568,84677.66943458637,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,0.933,12.667,12.333,0.933,134.084,17.667,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030499999999999998,0.07376325088339222,0.004416666666666667,0.0020997354192168554,0.00751889168765743,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.00469,0.23892097264437684,0.008794117647058824,0.004447609620786242,0.009614609571788413,0.004669259734901532
1705457515,3.871884690977847,2.8365816641665935,0.3347900167229357,30.60663584242649,0.3040718050242114,8.39787345940137,1.0578021188723292,3.575439675947291,2.9040766798770994,0.2998946125959026,0.258457059679767,208035840,86245376,22515712,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,71193.80904799642,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,0.933,12.667,12.333,0.933,134.084,17.667,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030499999999999998,0.07376325088339222,0.004416666666666667,0.0020997354192168554,0.00751889168765743,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.00469,0.23892097264437684,0.008794117647058824,0.004447609620786242,0.009614609571788413,0.004669259734901532
1705457516,3.795131254048515,2.509498668392396,0.41502947770489085,30.60663584242649,0.3040718050242114,8.39787345940137,1.0578021188723292,3.575439675947291,2.9040766798770994,0.2998946125959026,0.258457059679767,208035840,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,69782.51455741997,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,1.133,12.667,12.333,0.933,134.084,17.667,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004416666666666667,0.0020997354192168554,0.00751889168765743,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.008794117647058824,0.004447609620786242,0.009614609571788413,0.004669259734901532
1705457517,3.7183778171191832,2.9128846434300706,0.41502947770489085,25.253073287422257,0.3040718050242114,8.39787345940137,1.0578021188723292,3.575439675947291,2.90591559244217,0.2998946125959026,0.258457059679767,208035840,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,68371.22006684354,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,1.133,12.667,12.333,0.933,134.084,17.667,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004416666666666667,0.0020997354192168554,0.00751889168765743,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.008794117647058824,0.004447609620786242,0.009614609571788413,0.004669259734901532
1705457518,4.654001793871635,2.9128846434300706,0.41502947770489085,25.760514653176088,0.3040718050242114,8.39787345940137,1.0578021188723292,3.575439675947291,2.90591559244217,0.296359428182437,0.258457059679767,208424960,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,85438.35130681464,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,1.133,12.667,12.333,1.2,134.618,18.2,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004523748248669835,0.0020996746908880076,0.007503170796173047,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.00884372360993822,0.004449889293980819,0.009607364930366026,0.004669259734901532
1705457519,4.654001793871635,2.9128846434300706,0.41502947770489085,26.267956018929915,0.3040718050242114,8.39787345940137,0.8926876943580628,3.575439675947291,2.90591559244217,0.296359428182437,0.258457059679767,208424960,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,85438.35130681464,0,0,,8,10,19,7,6,55,6,10,9,8,5,14.4,23.133,1.133,77.467,1.133,12.667,12.333,1.2,134.618,18.2,6.736,0,0,0.003246205733558179,0.0038421052631578945,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004523748248669835,0.0020996746908880076,0.007503170796173047,0.0029280683607710058,0.0058421052631578915,0.008720890410958903,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.00884372360993822,0.004449889293980819,0.009607364930366026,0.004669259734901532
1705457520,4.654001793871635,2.9128846434300706,0.41502947770489085,30.446481945229824,0.3040718050242114,8.39787345940137,0.8926876943580628,3.575439675947291,2.90591559244217,0.296359428182437,0.258457059679767,208424960,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88817664,5963776,30445568,85438.35130681464,0,0,,8,10,19,7,6,55,6,10,9,8,5,15,24.067,1.133,77.467,1.133,12.667,12.333,1.2,135.702,18.2,7.2,0,0,0.0032342954159592526,0.003842652795838752,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004523748248669835,0.0020797464064274927,0.007503170796173047,0.002869415807560138,0.005499999999999993,0.008590301003344483,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.00884372360993822,0.004441812049464971,0.009607364930366026,0.004661855670103093
1705457521,4.654001793871635,2.9128846434300706,0.41502947770489085,30.446481945229824,0.24236930095552747,8.39787345940137,0.8926876943580628,3.575439675947291,2.811386129209962,0.296359428182437,0.2112563391557495,208424960,86245376,22724608,210243584,86949888,30646272,68947968,20570112,88862720,5963776,30445568,85438.35130681464,0,0,,8,10,19,7,6,55,6,10,9,8,5,15,24.067,1.133,77.467,1.133,12.667,12.333,1.2,135.702,18.2,7.2,0,0,0.0032342954159592526,0.003842652795838752,0.154,0.004660980810234541,0.0030555555555555557,0.07376325088339222,0.004523748248669835,0.0020797464064274927,0.007503170796173047,0.002869415807560138,0.005499999999999993,0.008590301003344483,0.24040000000000003,0.07181063122923591,0.004700000000000001,0.23892097264437684,0.00884372360993822,0.004441812049464971,0.009607364930366026,0.004661855670103093
