time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,emailservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,adservice_error,currencyservice_error,frontend-external_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705397522,0.6795959474569097,2.031973581973567,0.49904202137672604,30.00871056523165,0.3358284685471101,8.731375144795555,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.2768799551533603,107507712,43442176,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,77275.93101432329,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,28.2,1.467,89.067,1.2,13.8,14.867,1.267,152.867,20.333,9.467,0,0,0,0.0030057224606580826,0.003050434782608695,0.14583333333333334,0.004205869275233437,0.00304,0.06126644736842104,0.003756728511108575,0.001939570277529096,0.00759809750297265,0.002794392523364486,0.004610300429184549,0.004690782608695652,0.22916666666666669,0.0678763440860215,0.004672,0.22078461538461538,0.008708290505690289,0.004412264995523724,0.009733650416171222,0.004558878504672897
1705397523,0.7897227906070649,2.034001484780984,0.49904202137672604,30.00871056523165,0.33695200498649946,8.731375144795555,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,28.2,1.467,89.067,1.2,13.8,14.867,1.267,152.867,20.333,9.467,0,0,0,0.0030057224606580826,0.003050434782608695,0.14583333333333334,0.004205869275233437,0.00304,0.06126644736842104,0.003756728511108575,0.001939570277529096,0.00759809750297265,0.002794392523364486,0.004610300429184549,0.004690782608695652,0.22916666666666669,0.0678763440860215,0.004672,0.22078461538461538,0.008708290505690289,0.004412264995523724,0.009733650416171222,0.004558878504672897
1705397524,0.7897227906070649,2.034001484780984,0.49904202137672604,30.00871056523165,0.33695200498649946,8.731375144795555,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,27.4,1.067,87.2,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.003050173010380623,0.14539473684210527,0.004209074733096085,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055516,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.00469031141868512,0.22907894736842105,0.06797321428571428,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397525,0.7897227906070649,1.2278531748382375,0.49904202137672604,30.00871056523165,0.33695200498649946,8.731375144795555,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,27.4,1.067,87.2,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.003050173010380623,0.14539473684210527,0.004209074733096085,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055516,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.00469031141868512,0.22907894736842105,0.06797321428571428,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397526,0.7897227906070649,1.2613279069766845,0.49904202137672604,30.00871056523165,0.33695200498649946,5.767575689042141,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,25.8,1.067,87.2,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.0030491942324003393,0.14539473684210527,0.004209074733096085,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055516,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.004688549618320611,0.22907894736842105,0.06797321428571428,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397527,0.7897227906070649,1.2948026391151315,0.49904202137672604,30.00871056523165,0.33695200498649946,5.916900936497875,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,25.8,1.067,87.2,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.0030491942324003393,0.14539473684210527,0.004209074733096085,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055516,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.004688549618320611,0.22907894736842105,0.06797321428571428,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397528,0.7897227906070649,1.328277371253579,0.49904202137672604,30.00871056523165,0.33695200498649946,6.066226183953608,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,25.8,1.067,82.467,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.0030491942324003393,0.14539473684210527,0.004130434782608695,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055518,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.004688549618320611,0.22907894736842105,0.06697416974169741,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397529,0.7897227906070649,1.3617521033920257,0.49904202137672615,30.00871056523165,0.33695200498649946,6.2155514314093425,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,25.8,1.067,82.467,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.0030491942324003393,0.14539473684210527,0.004130434782608695,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055518,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.004688549618320611,0.22907894736842105,0.06697416974169741,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397530,0.7897227906070649,1.3952268355304729,0.49904202137672615,30.00871056523165,0.33695200498649946,6.364876678865078,1.0026132946178556,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,16.333,25.8,1.067,82.467,0.8,13.8,14.867,0.867,151.4,20.333,6.667,0,0,0,0.0030057224606580826,0.0030491942324003393,0.14539473684210527,0.004130434782608695,0.0030377358490566043,0.06126644736842104,0.0036999774989374505,0.0019393328856055518,0.00759809750297265,0.002758308157099698,0.004610300429184549,0.004688549618320611,0.22907894736842105,0.06697416974169741,0.004667924528301888,0.22078461538461538,0.00858329397820189,0.004412222968435193,0.009733650416171222,0.00455166163141994
1705397531,0.7897227906070649,1.4287015676689199,0.49904202137672615,30.00871056523165,0.33695200498649946,6.514201926320812,0.7731077725365066,3.8863888830667146,3.226293538616863,0.34572260647979036,0.29207457419057953,107507712,43470848,11313152,44716032,43597824,15462400,39256064,10354688,43819008,2994176,8626176,89798.30458930138,0,0,24851.35299114185,4,5,9,3,3,35,3,4,4,4,3,15.2,23.133,0.733,76.067,0.8,13.8,12.133,0.867,135.2,17.867,5.733,0,0,0,0.003005772005772006,0.0030431406384814497,0.1375,0.004043183742591024,0.0030377358490566043,0.05926229508196721,0.0036999774989374505,0.0019009259259259261,0.007587985436893204,0.002751552795031056,0.004610389610389611,0.004677653149266609,0.23125000000000004,0.06556840077071285,0.004667924528301888,0.2175980392156863,0.00858329397820189,0.0044016666666666674,0.009711771844660195,0.004550310559006211
