time,adservice_cpu,cartservice_cpu,checkoutservice_cpu,currencyservice_cpu,emailservice_cpu,frontend_cpu,paymentservice_cpu,productcatalogservice_cpu,recommendationservice_cpu,redis_cpu,shippingservice_cpu,adservice_mem,cartservice_mem,checkoutservice_mem,currencyservice_mem,emailservice_mem,frontend_mem,paymentservice_mem,productcatalogservice_mem,recommendationservice_mem,redis_mem,shippingservice_mem,adservice_diskio,cartservice_diskio,checkoutservice_diskio,emailservice_diskio,paymentservice_diskio,recommendationservice_diskio,redis_diskio,adservice_socket,cartservice_socket,checkoutservice_socket,currencyservice_socket,emailservice_socket,frontend_socket,paymentservice_socket,productcatalogservice_socket,recommendationservice_socket,redis_socket,shippingservice_socket,adservice_workload,cartservice_workload,checkoutservice_workload,currencyservice_workload,emailservice_workload,frontend_workload,frontend-external_workload,paymentservice_workload,productcatalogservice_workload,recommendationservice_workload,shippingservice_workload,frontend_error,frontend-external_error,productcatalogservice_error,adservice_latency-50,cartservice_latency-50,checkoutservice_latency-50,currencyservice_latency-50,emailservice_latency-50,frontend_latency-50,paymentservice_latency-50,productcatalogservice_latency-50,recommendationservice_latency-50,shippingservice_latency-50,adservice_latency-90,cartservice_latency-90,checkoutservice_latency-90,currencyservice_latency-90,emailservice_latency-90,frontend_latency-90,paymentservice_latency-90,productcatalogservice_latency-90,recommendationservice_latency-90,shippingservice_latency-90
1705542123,0.78405509513247,2.6694149951810364,0.5349848095349765,33.909329306394426,0.3248595475385825,8.10383918495546,0.6920381801554605,3.9895159290941278,2.6109449128063953,0.22422067705822335,0.28889982088348953,113946624,44519424,12201984,45133824,43601920,16093184,45113344,10117120,47460352,2985984,9011200,86060.46457336289,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.4,0.933,79.4,1,14.733,13.267,0.933,141.469,18.869,7.267,0,0,0,0.0030141843971631206,0.003224952741020794,0.10375,0.003861562258313999,0.003,0.04942455242966751,0.003157894736842105,0.0021480416021243637,0.00753671970624235,0.0029627329192546585,0.004625531914893617,0.005055084745762713,0.23275000000000004,0.03585365853658545,0.0046,0.18404858299595142,0.0048842105263157895,0.004466430626244744,0.00966891064871481,0.004612422360248446
1705542124,0.78405509513247,2.6694149951810364,0.5349848095349765,33.909329306394426,0.3248595475385825,7.943162696850188,0.6920381801554605,3.9895159290941278,2.557327126505682,0.22872223862953767,0.28889982088348953,113946624,44519424,12201984,45133824,43601920,16093184,45113344,10117120,47460352,2985984,9011200,86060.46457336289,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80,1.2,14.733,13.267,1.133,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003863548511789718,0.003,0.04942455242966751,0.0033157894736842108,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.03592682926829275,0.0046,0.18404858299595142,0.006333333333333334,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542125,0.78405509513247,2.637569909232559,0.5349848095349765,33.909329306394426,0.3248595475385825,7.782486208744915,0.6920381801554605,3.9895159290941278,2.503709340204968,0.22358639476400557,0.28889982088348953,113946624,44519424,12201984,45133824,43601920,16093184,45113344,10117120,47460352,2985984,9011200,86060.46457336289,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80,1.2,14.733,13.267,1.133,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003863548511789718,0.003,0.04942455242966751,0.0033157894736842108,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.03592682926829275,0.0046,0.18404858299595142,0.006333333333333334,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542126,0.78405509513247,2.637569909232559,0.5349848095349765,34.60353371025864,0.3248595475385825,7.621809720639644,0.6920381801554605,3.3393578165160887,2.450091553904255,0.2184505508984735,0.28889982088348953,113946624,44519424,12201984,45133824,43601920,16093184,45113344,10117120,47460352,2985984,9011200,86060.46457336289,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80,1.2,14.733,13.267,1.133,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003863548511789718,0.003,0.04942455242966751,0.0033157894736842108,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.03592682926829275,0.0046,0.18404858299595142,0.006333333333333334,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542127,0.78405509513247,2.637569909232559,0.5349848095349765,34.60353371025864,0.32641978798586413,7.461133232534372,0.6920381801554605,3.2728658843645198,2.3964737676035415,0.31258895181109153,0.28889982088348953,113946624,44519424,12201984,45133824,43601920,16093184,45113344,10117120,47460352,2990080,9011200,86060.46457336289,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542128,0.8925305186483873,2.637569909232559,0.5349848095349765,29.74019928913573,0.32641978798586413,7.300456744429101,0.7246628425749315,4.084374023742609,3.154807157748306,0.31258895181109153,0.24872589329113298,113967104,44519424,12201984,45133824,43601920,16093184,45113344,10485760,47583232,2990080,9011200,69063.1955216834,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542129,0.8019179742216241,2.637569909232559,0.5349848095349765,29.16347372729809,0.3326641314209646,7.13978025632383,0.7246628425749314,4.084374023742609,3.154807157748306,0.31258895181109153,0.24391089627640816,113967104,44519424,12201984,45133824,43606016,16093184,45113344,10485760,47583232,2990080,9011200,48851.42785658885,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542130,0.8187404282901927,2.637569909232559,0.5349848095349765,28.586748165460452,0.3326641314209646,6.979103768218558,0.7246628425749314,4.084374023742609,3.090720004118699,0.31258895181109153,0.2946839615118726,113967104,44519424,12201984,45133824,43606016,16093184,45113344,10485760,47583232,2990080,9048064,49876.222072105884,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542131,0.835562882358761,2.637569909232559,0.5349848095349765,28.010022603622808,0.3326641314209646,6.818427280113287,0.7246628425749314,4.084374023742609,3.090720004118699,0.31258895181109153,0.2946839615118726,113967104,44519424,12201984,45133824,43606016,16093184,45113344,10485760,47583232,2990080,9048064,50901.01628762291,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
1705542132,0.8523853364273294,2.637569909232559,0.5349848095349765,34.20550007133625,0.3326641314209646,6.657750792008015,0.7246628425749314,4.084374023742609,3.090720004118699,0.31258895181109153,0.2946839615118726,113967104,44519424,12201984,46006272,43606016,16093184,45113344,10485760,47583232,2990080,9048064,51925.81050313993,0,0,0,0,0,0,4,4,9,4,3,25,3,3,4,4,2,14.667,25.8,1.133,80.6,1.2,14.733,13.267,1.333,143.533,20.467,7.667,0,0,0,0.0030141843971631206,0.0032238946378174978,0.1,0.003833650551960411,0.003,0.04942455242966751,0.0033414634146341463,0.0021461470327723653,0.007512269938650308,0.002963414634146342,0.004625531914893617,0.00503418803418804,0.23142857142857146,0.033663101604278156,0.0046,0.18404858299595142,0.006571428571428572,0.004463950398582817,0.009634969325153377,0.0046121951219512194
