time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705595459,1.163246627046251,3.702943839337152,0.17078745112140092,0.1971594901134182,4.500224909136718,1.3209875660997445,0.3690976892040568,0.0774726671751849,0.422778501444177,0.869033986808355,0,0.26608532636482335,0.42652961131320677,0.860838544171879,0.973715574166532,206544896,77918208,6311936,430735360,99430400,327647232,39723008,4222976,264904704,100208640,4575232,2871296,306020352,8011776,46338048,2146385.3603665396,0,901430.4927252721,46395.19737214703,0,0,1110474.0430557793,10,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.133,24.4,2.467,2.6,2.533,20.933,0,0,0.015727848101265825,0.003034285714285714,0.02978021978021978,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.003368794326241135,0.02796511627906977,0.0046617142857142855,0.06918128654970761,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006830708661417326
1705595460,1.1396426629003098,3.702943839337152,0.17078745112140092,0.1971594901134182,4.500224909136718,1.3209875660997445,0.3690976892040568,0.0774726671751849,0.422778501444177,0.8334847880146273,0,0.26608532636482335,0.42652961131320677,0.860838544171879,0.7893668730874535,206544896,77918208,6311936,430735360,99430400,327647232,39723008,4222976,264904704,100208640,4575232,2871296,306020352,8011776,46338048,2146385.3603665396,0,901430.4927252721,46395.19737214703,0,0,900233.5448542439,10,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.133,24.4,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003034285714285714,0.02978021978021978,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.0046617142857142855,0.06918128654970761,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595461,1.1160386987543685,3.702943839337152,0.17078745112140092,0.1971594901134182,4.543193569993295,1.3209875660997445,0.3690976892040568,0.0774726671751849,0.4134089725789643,0.6976024575952594,0.00010879701585328041,0.264723962643338,0.42652961131320677,0.860838544171879,0.7731382801846778,206544896,77918208,6311936,430735360,99430400,327647232,39723008,4222976,264642560,100208640,4575232,2998272,306020352,8011776,46338048,2146385.3603665396,0,901430.4927252721,35543.21416174938,0,0,881725.6441366475,10,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.133,24.4,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003034285714285714,0.02978021978021978,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.0046617142857142855,0.06918128654970761,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595462,1.5769417923720896,3.702943839337152,0.17078745112140092,0.1971594901134182,4.543193569993295,1.3209875660997445,0.36919424066238254,0.0774726671751849,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.42652961131320677,0.8252873563218325,0.7569096872819023,206573568,77918208,6311936,430735360,99430400,327647232,39723008,4222976,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2146385.3603665396,0,972536.6046695688,35543.21416174938,0,0,863217.7434190513,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,24.4,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.02978021978021978,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.06918128654970761,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595463,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.1971594901134182,4.543193569993295,1.3209875660997445,0.36919424066238254,0.0774726671751849,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.42652961131320677,0.8252873563218325,0.7147614644180835,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4222976,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,1096030.2856838857,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,25.8,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.029308510638297876,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.0666875,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595464,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.1971594901134182,4.543193569993295,1.3209875660997445,0.36919424066238254,0.0774726671751849,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.42652961131320677,0.8252873563218325,0.6991298920040457,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4222976,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,1072060.5032717986,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,25.8,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.029308510638297876,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.0666875,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595465,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.20265381050830455,4.543193569993295,1.3209875660997445,0.36919424066238254,0.0774726671751849,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.42652961131320677,0.8252873563218325,0.6834983195900081,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4222976,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,1048090.7208597115,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,25.8,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.029308510638297876,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.0666875,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595466,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.20265381050830455,4.543193569993295,1.3209875660997445,0.36919424066238254,0.08054954118981339,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.3478312519920017,0.8252873563218325,0.6678667471759703,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4386816,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,1024120.9384476244,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,25.8,2.467,2.6,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.029308510638297876,0.03365384615384615,0.00196551724137931,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.0666875,0.04734615384615384,0.004393103448275862,0.0046409090909090905,0.006631308563815704
1705595467,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.20265381050830455,4.543193569993295,1.3209875660997445,0.36919424066238254,0.08054954118981339,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.3478312519920017,0.8252873563218325,0.6522351747619325,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4386816,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,1000151.1560355375,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.333,4.733,25.8,2.467,2.333,2.533,19.467,0,0,0.015727848101265825,0.003032608695652174,0.029308510638297876,0.03365384615384615,0.0017777777777777776,0.0030227272727272724,0.0033453181410005614,0.02796511627906977,0.004658695652173913,0.0666875,0.04734615384615384,0.004355555555555556,0.0046409090909090905,0.006631308563815704
1705595468,1.6610217877860458,3.5334582357533186,0.17078745112140092,0.20265381050830455,4.543193569993295,1.3209875660997445,0.36919424066238254,0.07048229652743297,0.4134089725789643,0.885627995791287,0.00010879701585328041,0.264723962643338,0.3478312519920017,0.8252873563218325,0.6366036023478948,206573568,78077952,6311936,430735360,99430400,327647232,39723008,4386816,264642560,100220928,4575232,2998272,306020352,8011776,46338048,2014426.2295081972,0,972536.6046695688,35543.21416174938,0,0,976181.3736234506,11,6,6,4,7,19,9,5,3,11,1,3,6,16,8,8.133,4.733,25.8,2.267,2.133,2.333,18.867,0,0,0.015561440677966101,0.003032608695652174,0.029308510638297876,0.03205645161290322,0.0018928571428571425,0.003,0.0033328579957638375,0.02773255813953487,0.004658695652173913,0.0666875,0.04705645161290323,0.004492857142857143,0.0046,0.0065215044225747695
