time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705682604,2.340228067564561,2.8537526907438404,0.18935884596535377,0.14637069187830928,4.738752236135951,1.3384720614542818,0.42713429014217297,0.08520819829686446,1.139388524708728,0.881921856127639,0.00009080074910617905,0.29063889436449925,0.9622137179726671,0.8201800467473547,0.8603316397744407,212938752,76931072,5996544,430694400,98209792,334311424,38670336,4538368,265261056,93917184,4784128,2838528,300834816,7741440,40906752,0,2321817.7469504904,0,919973.9460503559,41392.34711876594,0,26913.726263223605,1486460.8341242815,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,8.067,4.733,25.8,1.8,1.8,2,18.6,0.011255980861244018,0.0030833333333333338,0.027280042918454935,0.021625,0.0021818181818181815,0.0031348314606741575,0.003183206106870229,0.022366028708133975,0.004750000000000001,0.062299999999999967,0.04411290322580645,0.004436363636363637,0.004842696629213483,0.004929770992366412
1705682605,2.340228067564561,2.8537526907438404,0.18935884596535377,0.15088656157816996,4.738752236135951,1.3384720614542818,0.42713429014217297,0.0898863743074466,1.1140537195810416,0.881921856127639,0.00012599748005039752,0.29063889436449925,0.9418426161138959,0.8201800467473547,0.8603316397744407,212938752,76931072,5996544,430694400,98209792,334311424,38670336,4538368,265261056,93917184,4784128,2838528,300834816,7741440,40906752,0,2321817.7469504904,0,919973.9460503559,40471.97006976979,0,26913.726263223605,1486460.8341242815,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,8.067,4.733,25.8,1.8,1.8,2,18.6,0.011255980861244018,0.0030833333333333338,0.027280042918454935,0.021625,0.0021818181818181815,0.0031348314606741575,0.003183206106870229,0.022366028708133975,0.004750000000000001,0.062299999999999967,0.04411290322580645,0.004436363636363637,0.004842696629213483,0.004929770992366412
1705682606,2.340228067564561,2.8537526907438404,0.18935884596535377,0.14726331305309623,4.738752236135951,1.3384720614542818,0.42713429014217297,0.0898863743074466,1.0887189144533551,0.881921856127639,0.00012599748005039752,0.29063889436449925,0.9214715142551245,0.8201800467473547,0.8603316397744407,212938752,76931072,5996544,430694400,98209792,334311424,38670336,4538368,265261056,93917184,4784128,2838528,300834816,7741440,40906752,0,2321817.7469504904,0,919973.9460503559,39551.593020773646,0,26913.726263223605,1486460.8341242815,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,8.067,4.733,25.8,1.8,1.8,1.667,18.6,0.011255980861244018,0.0030833333333333338,0.027280042918454935,0.021625,0.0021818181818181815,0.003142857142857143,0.003183206106870229,0.022366028708133975,0.004750000000000001,0.062299999999999967,0.04411290322580645,0.004436363636363637,0.004857142857142858,0.004929770992366412
1705682607,2.340228067564561,2.8537526907438404,0.18935884596535377,0.14364006452802253,4.738752236135951,1.3384720614542818,0.42713429014217297,0.07466673850439781,1.0633841093256686,0.881921856127639,0.00012599748005039752,0.29063889436449925,0.9011004123963532,0.8201800467473547,0.8603316397744407,212938752,76931072,5996544,430694400,98209792,334311424,38670336,4538368,265261056,93917184,4784128,2838528,300834816,7741440,40906752,0,2321817.7469504904,0,919973.9460503559,38631.2159717775,0,26913.726263223605,1486460.8341242815,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,7.467,3.933,24,1.733,1.8,1.667,17.6,0.011323529411764706,0.003053763440860215,0.027402807775377968,0.021822033898305088,0.0021818181818181815,0.003142857142857143,0.0031687979539641946,0.022441176470588232,0.004696774193548387,0.06149305555555558,0.044296875,0.004436363636363637,0.004857142857142858,0.0049038363171355496
1705682608,2.0717102510458685,2.7193233412218385,0.18935884596535377,0.14001681600294882,4.738752236135951,1.3384720614542818,0.42713429014217297,0.08544359168091606,1.038049304197982,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.880729310537582,0.8201800467473547,0.8603316397744407,212938752,76984320,5996544,430694400,98209792,334311424,38670336,4538368,265261056,93904896,4784128,2838528,300834816,7741440,40906752,0,1945860.2857393285,0,919973.9460503559,37710.83892278136,0,26913.726263223605,1486460.8341242815,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,7.467,3.933,22.4,1.733,1.667,1.667,15.867,0.011323529411764706,0.003053763440860215,0.027347161572052404,0.021822033898305088,0.0022537313432835823,0.003142857142857143,0.003163001293661061,0.022441176470588232,0.004696774193548387,0.06071942446043166,0.044296875,0.004450746268656717,0.004857142857142858,0.00489340232858991
1705682609,2.115807957538969,2.7193233412218385,0.18935884596535377,0.13639356747787507,4.738752236135951,1.3384720614542818,0.42713429014217297,0.08544359168091606,1.3823866661933377,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.8603582086788105,0.8201800467473547,0.446006409059939,212938752,76984320,5996544,430694400,98209792,334311424,38670336,4538368,264949760,93904896,4784128,2838528,300834816,7741440,40906752,0,1945860.2857393285,0,919973.9460503559,58163.22908161454,0,26913.726263223605,647967.0737415934,10,6,7,4,7,16,7,4,3,11,1,3,6,17,8,7.133,3.933,22.4,1.733,1.667,1.667,15.867,0.011363636363636366,0.003053763440860215,0.027347161572052404,0.021822033898305088,0.0022537313432835823,0.003142857142857143,0.003163001293661061,0.022515151515151516,0.004696774193548387,0.06071942446043166,0.044296875,0.004450746268656717,0.004857142857142858,0.00489340232858991
1705682610,2.15990566403207,2.7193233412218385,0.18935884596535377,0.20918946199656738,4.738752236135951,1.3455849122197026,0.42713429014217297,0.08544359168091606,1.3823866661933377,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.8399871068200393,0.8201800467473547,0.4587445360412444,212938752,76984320,5996544,430694400,98209792,334303232,38670336,4538368,264949760,93904896,4784128,2838528,300834816,7741440,40906752,0,1945860.2857393285,0,919973.9460503559,58163.22908161454,0,26913.726263223605,666473.2805972802,10,6,7,4,7,15,7,4,3,11,1,3,6,17,8,7.133,3.933,22.4,1.733,1.667,1.667,15.867,0.011363636363636366,0.003053763440860215,0.027347161572052404,0.021822033898305088,0.0022537313432835823,0.003142857142857143,0.003163001293661061,0.022515151515151516,0.004696774193548387,0.06071942446043166,0.044296875,0.004450746268656717,0.004857142857142858,0.00489340232858991
1705682611,2.2040033705251707,2.165382072179482,0.18935884596535377,0.20918946199656738,4.738752236135951,1.3455849122197026,0.42713429014217297,0.08544359168091606,1.3823866661933377,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.819616004961268,0.8201800467473547,0.47148266302254976,212938752,76984320,5996544,430694400,98209792,334303232,38670336,4538368,264949760,93904896,4784128,2838528,300834816,7741440,40906752,0,1096014.1091254721,0,919973.9460503559,58163.22908161454,0,26913.726263223605,684979.4874529671,10,6,7,4,7,15,7,4,3,11,1,3,6,17,8,7.133,3.933,22.4,1.733,1.667,1.667,15.867,0.011363636363636366,0.003053763440860215,0.027347161572052404,0.021822033898305088,0.0022537313432835823,0.003142857142857143,0.003163001293661061,0.022515151515151516,0.004696774193548387,0.06071942446043166,0.044296875,0.004450746268656717,0.004857142857142858,0.00489340232858991
1705682612,2.248101077018271,2.2081506865203293,0.18935884596535377,0.20918946199656738,4.738752236135951,1.5214513619702867,0.42713429014217297,0.08544359168091606,1.618967208334438,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.8233879369185028,0.8719632659360996,0.48422079000385526,212938752,76984320,5996544,430694400,98209792,334303232,38670336,4538368,264949760,93904896,4784128,2838528,300834816,7741440,40906752,0,1117661.5612530012,0,919973.9460503559,43432.388728362,0,26913.726263223605,703485.6943086539,10,6,7,4,7,15,7,4,3,11,1,3,6,17,8,7.467,3.933,22.4,2.067,2,2,16.867,0.011212121212121213,0.003053763440860215,0.027347161572052404,0.02192622950819672,0.002314285714285714,0.003186046511627907,0.003155019059720457,0.022484848484848486,0.004696774193548387,0.06071942446043166,0.04433823529411764,0.004508571428571428,0.004934883720930232,0.004879034307496823
1705682613,2.2921987835113717,2.5661168604508293,0.18935884596535377,0.20918946199656738,4.738752236135951,1.5214513619702867,0.42713429014217297,0.08544359168091606,1.618967208334438,0.8596721185447166,0.00012599748005039752,0.29063889436449925,0.8233879369185028,0.8719632659360996,0.49695891698516076,212938752,76984320,5996544,430694400,98209792,334303232,38670336,4538368,264949760,93904896,4784128,2838528,300834816,7741440,40906752,0,1298847.1276517292,0,919973.9460503559,43432.388728362,0,26913.726263223605,721991.9011643409,10,6,7,4,7,15,7,4,3,11,1,3,6,17,8,7.467,3.533,22.4,2.067,2,2,16.867,0.011212121212121213,0.0030446927374301676,0.027347161572052404,0.02192622950819672,0.002314285714285714,0.003186046511627907,0.003155019059720457,0.022484848484848486,0.004680446927374302,0.06071942446043166,0.04433823529411764,0.004508571428571428,0.004934883720930232,0.004879034307496823
