time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705844858,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.02203319291375147,6.119164036089296,1.3094450478917765,0.0001726593226511248,0.24999897446415756,5.083925233644866,0.2599345380785543,0.6870823752198023,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2441216,277950464,100659200,4816896,2912256,293974016,4714496,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,60669.49738323294,,867992.2449163623,11,5,6,4,10,21,8,3,3,11,1,3,6,9,5,10.8,3.667,24,,1.333,0,16.267,0.067,0,0.017943227006013692,0.003155670838226596,0.027728167094326576,,0.0035714285714285718,2.5,0.0032516900920441763,0.03948445574900419,0.004880207508807873,0.05792288121157819,,0.008666666666666666,4.5,0.005593432945309598
1705844859,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.3094450478917765,0.00017636167759164427,0.24999897446415756,5.083925233644866,0.46897738790060456,0.6870823752198023,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,100659200,4816896,2912256,293974016,5451776,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,60669.49738323294,,867992.2449163623,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24,,2.667,0,16.267,0.067,0,0.01791997577502628,0.0031552380720045628,0.027743311084525407,,0.0028704834722285914,2.5,0.003253374542654731,0.03905633404242859,0.004879428529608213,0.05804532964934049,,0.005848338777087071,4.5,0.005623792273056916
1705844860,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.3094450478917765,0.00018006403253216377,0.24999897446415756,5.083925233644866,0.46897738790060456,0.6870823752198023,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,100659200,4816896,2912256,293974016,5451776,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,60669.49738323294,,867992.2449163623,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,16.267,0,0,0.017898255008005383,0.0031548259177931904,0.028219057834357325,,0.0028658087438797174,2.5,0.0032549540761764337,0.03865704806114674,0.004878686652027743,0.07047678278049659,,0.005814224468688488,4.5,0.005651949044401147
1705844861,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.3094450478917765,0.00015249999999999642,0.24999897446415756,5.083925233644866,0.46897738790060456,0.6870823752198023,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,100659200,4816896,2912256,293974016,5451776,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,60669.49738323294,,867992.2449163623,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,24.067,0,0,0.01787791841030581,0.0031544329372660937,0.028251236062478088,,0.002861622658836969,2.5,0.00321982604956213,0.03828377941632589,0.004877979287078968,0.07067496692463705,,0.005783361929272708,4.5,0.004995686889211834
1705844862,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.2579800919107864,0.00015249999999999642,0.24999897446415756,5.083925233644866,0.6076173626972506,0.7397619333894436,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,91787264,4816896,2912256,293974016,5451776,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,94480.02980890364,,1120403.991823975,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,24.067,0,0,0.01785883775696511,0.0031540578228786338,0.02828308848285791,,0.00285785240661442,2.5,0.003219991830010613,0.03793406542091457,0.0048773040811815405,0.07087177223820473,,0.00575530737269887,4.5,0.004995985294019103
1705844863,19.583288071861286,1.1866389873417724,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.2579800919107864,0.00015249999999999642,0.24999897446415756,5.083925233644866,0.61843475329429,0.7397619333894436,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,91787264,4816896,2912256,293974016,5451776,35127296,,1659139.240506329,0,326682.13457076566,146721.29312467817,94480.02980890364,,1120403.9918239748,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,24.067,0,0,0.01784090018640957,0.0031536993833339204,0.028314620018825565,,0.0028544389577819912,2.5,0.0032201470233228107,0.03760574469074298,0.004876658890001057,0.07106721306076608,,0.005729694253473732,4.5,0.004996264641981061
1705844864,19.583288071861286,1.2622171551389858,0.21623490869380574,0.21230820756494256,5.134361334209851,14.442760787478742,0.3821297370456303,0.047374690020112076,6.119164036089296,1.2579800919107864,0.00017976784413692218,0.24999897446415756,5.083925233644866,0.6292521438913292,0.7397619333894436,219373568,69574656,3964928,430694400,88145920,321486848,35979264,2646016,277950464,91787264,4816896,2912256,293974016,5451776,35127296,,1937189.5316914285,0,326682.13457076566,146721.29312467817,94480.02980890364,,1120403.9918239748,11,5,6,4,10,21,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,24.067,0,0,0.017824005966400262,0.0031533565309448943,0.028345835495010803,,0.002851333950798563,2.5,0.0032202926122966106,0.037296912432658286,0.0048760417557008095,0.07126130353373612,,0.005706217162872151,4.5,0.004996526702133899
1705844865,19.583288071861286,1.2883848244535292,0.20530164177358343,0.21230820756494256,5.134361334209851,17.121295623497833,0.3821297370456303,0.047374690020112076,5.258983044706915,1.2579800919107864,0.00017606548919640272,0.24999897446415756,5.083925233644866,0.6400695344883683,0.6112159680974713,219373568,69574656,4632576,430694400,88145920,319102976,35979264,2646016,280227840,91787264,4816896,2912256,293974016,5451776,35127296,,1977350.398510985,0,326682.13457076566,118716.03506992247,94480.02980890364,,925715.1248446954,11,5,6,4,10,19,8,3,3,11,1,3,6,12,5,10.8,3.667,24.733,,2.667,0,24.067,0,0,0.01780806663879763,0.003153028270610042,0.02837673963980529,,0.0028484973862889004,2.5,0.0032204294617375236,0.03700588346519153,0.0048754508870980755,0.07145405760378984,,0.005684619592773464,4.5,0.004996773031127543
1705844866,23.266680661684433,1.3145524937680724,0.20530164177358343,0.21000635815304286,5.134361334209851,17.121295623497833,0.3821297370456303,0.047374690020112076,5.258983044706915,1.2146611013924478,0.00017236313425588327,0.24999897446415756,7.099976881953474,0.6490434358223524,0.8798521893966953,219373568,69574656,4632576,430690304,88145920,319102976,35979264,2646016,280227840,91787264,4816896,2912256,293974016,5451776,35155968,,2017511.2653305416,0,326682.13457076566,118716.03506992247,68040.68968984063,,1137146.0299833424,11,5,6,4,10,19,8,3,3,11,1,3,6,12,7,9.933,4.8,26.533,1.467,2.667,0,24.6,0,0,0.017517184129194275,0.0031573040131442996,0.028436010951163503,0.08374217085297347,0.002845895894562686,2.5,0.003199362619949915,0.0355212013790275,0.004883147223659739,0.0764638408729618,1.9379900000000034,0.005664684525184105,4.5,0.004958852715909848
1705844867,23.266680661684433,1.5700601588726029,0.20530164177358343,0.21000635815304286,4.201939922745116,17.121295623497833,0.3821297370456303,0.047374690020112076,5.258983044706915,1.2468239224852946,0.0001686607793153638,0.2629977770720864,7.099976881953474,0.6490434358223524,0.8798521893966953,219373568,69574656,4632576,430690304,88145920,319102976,35979264,2646016,280227840,91787264,4816896,2912256,293974016,5451776,35155968,,2409652.0091733974,0,326682.13457076566,118716.03506992247,69842.32845724626,,1137146.0299833424,11,5,6,4,10,19,8,3,3,11,1,3,6,12,7,9.933,4.8,26.533,1.467,2.667,0,24.6,0,0,0.017500838788291288,0.0031570090426652087,0.028477047638324312,0.0813923090920119,0.002843501416720427,2.5,0.003199605883781902,0.035213587221600305,0.004882616276797377,0.07663739391387477,1.7079900000000163,0.005646227114372539,4.5,0.0049592905908074246
