time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705636224,0.16866530045617695,0.6129712506683761,0.0013342985150548825,0.06761487014678745,2.8513141666666657,0.16897110787770148,0.35889262562752067,0.03410177870923009,0.13992049506168916,0.5216399999999846,0.00011724676996642488,0.07954000000001571,0.11815400444031153,0.13224299065417092,0.7341827266237378,210448384,206147584,8806400,432431104,254808064,331091968,108417024,4755456,268283904,98451456,4575232,2924544,306655232,8638464,193232896,1036104.48995476,,0,449188.4778476385,16786.19728699643,0,0,2095265.2866999763,22,20,9,3,18,9,5,5,3,11,1,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,NaN,0.003999999999999999,0.0375,NaN,0.003,0.005,0.092,NaN,0.06108695652173913,0.0475,NaN,0.0046,0.009
1705636225,0.16866530045617695,0.6129712506683761,0.0013342985150548825,0.06761487014678745,2.1957521592488147,0.16897110787770148,0.35889262562752067,0.03410177870923009,0.13992049506168916,0.5955820791917457,0.00011724676996642488,0.12737964325607665,0.11815400444031153,0.11317502076840225,0.7341827266237378,210448384,206147584,8806400,432431104,256790528,331091968,108417024,4755456,268283904,98451456,4575232,3059712,306655232,8638464,193232896,1036104.48995476,,0,449188.4778476385,16786.19728699643,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,NaN,0.003999999999999999,0.0375,NaN,0.003,0.005,0.092,NaN,0.06108695652173913,0.0475,NaN,0.0046,0.009
1705636226,0.16866530045617695,0.6129712506683761,0.0013342985150548825,0.06761487014678745,2.260226523724865,0.16897110787770148,0.30418542639436563,0.03560103071454568,0.13992049506168916,0.7335140148391598,0.00011724676996642488,0.13009523145941757,0.11815400444031153,0.11097097092416608,0.7341827266237378,210448384,206147584,8806400,432431104,256790528,331091968,108417024,4751360,268283904,98447360,4575232,3059712,306655232,8638464,193232896,1036104.48995476,,0,380717.1808743968,16786.19728699643,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,NaN,0.003999999999999999,0.0375,NaN,0.003,0.005,0.092,NaN,0.06108695652173913,0.0475,NaN,0.0046,0.009
1705636227,0.16866530045617695,0.6129712506683761,0.0013342985150548825,0.06761487014678745,2.3247008882009155,0.16897110787770148,0.29820388263390696,0.03560103071454568,0.13992049506168916,0.7335140148391598,0.00011724676996642488,0.13281081966275843,0.11806960261208362,0.10876692107992991,0.7341827266237378,210448384,206147584,8806400,432431104,256790528,331091968,108417024,4751360,268283904,98447360,4575232,3059712,306655232,8638464,193232896,1036104.48995476,,0,373230.70624360285,16786.19728699643,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,NaN,0.003999999999999999,0.0375,NaN,0.003,0.005,0.092,NaN,0.06108695652173913,0.0475,NaN,0.0046,0.009
1705636228,0.16866530045617695,0.6129712506683761,0.0013342985150548825,0.06761487014678745,2.389175252676966,0.16897110787770148,0.2922223388734483,0.03560103071454568,0.12816252572095033,0.7335140148391598,0.00010680321498095926,0.13552640786609926,0.11806960261208362,0.10656287123569372,0.7341827266237378,210448384,206147584,8806400,432431104,256790528,331091968,108417024,4751360,268283904,98447360,4575232,3059712,306655232,8638464,193232896,1036104.48995476,,0,365744.2316128089,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,NaN,0.003999999999999999,0.0375,NaN,NaN,0.005,0.095,NaN,0.06108695652173913,0.0475,NaN,NaN,0.009
1705636229,0.16866530045617695,0.5745632228355247,0.0014670701830234976,0.0686701288572939,2.453649617153016,0.16897110787770148,0.28892704494168503,0.03560103071454568,0.12816252572095033,0.7335140148391598,0.0001092729247174265,0.13824199606944013,0.11806960261208362,0.07148791138565184,0.7341827266237378,210448384,206295040,8806400,432431104,256790528,331091968,108417024,4751360,268283904,98447360,4575232,3059712,306655232,8613888,193232896,748732.7310436952,,0,428457.2253370476,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,5,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.03080357142857143,NaN,NaN,NaN,0.0038571428571428576,NaN,NaN,0.0673684210526316,NaN,NaN,NaN,0.008333333333333331
1705636230,0.16866530045617695,0.5745632228355247,0.0014670701830234976,0.0686701288572939,2.518123981629067,0.16897110787770148,0.34268307949095517,0.03560103071454568,0.12816252572095033,0.7335140148391598,0.00011174263445389372,0.14095758427278104,0.11806960261208362,0.07148791138565184,0.7341827266237378,210448384,206295040,8806400,432431104,256790528,331091968,108285952,4751360,268283904,98447360,4575232,3059712,306655232,8613888,193232896,748732.7310436952,,0,393106.6138118089,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,5,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.03080357142857143,NaN,NaN,NaN,NaN,NaN,NaN,0.0673684210526316,NaN,NaN,NaN,NaN
1705636231,0.13105396830367075,0.5745632228355247,0.0014670701830234976,0.0686701288572939,2.5825983461051174,0.14108081216357338,0.34268307949095517,0.03560103071454568,0.12816252572095033,0.7335140148391598,0.00011421234419036096,0.16293529220045264,0.11806960261208362,0.07148791138565184,0.7341827266237378,210448384,206295040,8806400,432431104,256790528,331091968,108285952,4751360,268283904,98447360,4575232,3059712,306655232,8613888,193232896,748732.7310436952,,0,393106.6138118089,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,5,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.03080357142857143,NaN,NaN,NaN,NaN,NaN,NaN,0.0673684210526316,NaN,NaN,NaN,NaN
1705636232,0.12931708012040305,0.31311599804279033,0.0014670701830234976,0.0686701288572939,2.6470727105811673,0.14108081216357338,0.34268307949095517,0.03560103071454568,0.12816252572095033,0.7335140148391598,0.00011668205392682815,0.16293529220045264,0.11806960261208362,0.07148791138565184,0.7341827266237378,209891328,206295040,8806400,432431104,256790528,331091968,108285952,4751360,268283904,98447360,4575232,3059712,306655232,8613888,193232896,568903.5596101813,,0,393106.6138118089,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,5,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.03080357142857143,NaN,NaN,NaN,NaN,NaN,NaN,0.0673684210526316,NaN,NaN,NaN,NaN
1705636233,0.15241018697915915,0.32134798568736306,0.0014670701830234976,0.0691709844559571,2.7115470750572177,0.14108081216357338,0.34268307949095517,0.028218802879319153,0.12816252572095033,0.7335140148391598,0.00011915176366329539,0.16293529220045264,0.11806960261208362,0.07148791138565184,0.7341827266237378,209891328,206295040,8806400,432431104,256790528,331091968,108285952,4751360,268283904,98447360,4575232,3059712,306655232,8613888,193232896,583860.3395349951,,0,393106.6138118089,25158.932465219128,0,0,2095265.2866999763,22,20,9,3,22,9,5,5,3,11,1,3,5,18,9,0,0,11.933,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0.027083333333333334,NaN,NaN,NaN,NaN,NaN,NaN,0.048083333333333346,NaN,NaN,NaN,NaN
