time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705604711,1.8049459072867622,8.686010114133824,0.17448666362467347,0.17727234279532733,4.752417401217354,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0,0.2781672243248693,0.27913941278269305,0.8910603764862962,1.0103968803069245,216424448,107364352,6004736,432451584,98934784,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,2759103.719842491,0,906829.5827144579,58578.443056681135,0,22467.22615325544,1262368.702434115,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,8.933,4.533,24.8,2,1.8,2.067,18.6,0,0,0,0,0.0235678391959799,0.003032085561497326,0.03418935643564356,0.03777472527472527,0.0016785714285714281,0.003021978021978022,0.0033661581137309294,0.04992592592592592,0.004657754010695188,0.08193379790940768,0.04799450549450549,0.004335714285714286,0.004639560439560439,0.006768939393939398
1705604712,1.8049459072867622,8.686010114133824,0.17448666362467347,0.21442289646543436,4.770689520638801,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0,0.2781672243248693,0.27913941278269305,0.8910603764862962,1.0103968803069245,216424448,107364352,6004736,432451584,98934784,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,2759103.719842491,0,906829.5827144579,58578.443056681135,0,22467.22615325544,1262368.702434115,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,8.933,4.533,24.8,2,1.8,2.067,18.6,0,0,0,0,0.0235678391959799,0.003032085561497326,0.03418935643564356,0.03777472527472527,0.0016785714285714281,0.003021978021978022,0.0033661581137309294,0.04992592592592592,0.004657754010695188,0.08193379790940768,0.04799450549450549,0.004335714285714286,0.004639560439560439,0.006768939393939398
1705604713,1.8049459072867622,8.65704122583009,0.17448666362467347,0.21442289646543436,4.770689520638801,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0,0.2781672243248693,0.27913941278269305,0.7672896150246373,1.0118732936212644,216424448,107364352,6004736,432451584,98934784,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,906829.5827144579,58578.443056681135,0,22467.22615325544,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,8.2,4.533,24.8,2,1.8,2.067,18.6,0,0,0,0,0.023508064516129034,0.003032085561497326,0.03418935643564356,0.03777472527472527,0.0016785714285714281,0.003,0.0033661581137309294,0.05557142857142853,0.004657754010695188,0.08193379790940768,0.04799450549450549,0.004335714285714286,0.0046,0.006768939393939398
1705604714,1.8049459072867622,8.65704122583009,0.17448666362467347,0.21442289646543436,4.770689520638801,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0,0.2781672243248693,0.27913941278269305,0.7524386087498657,1.0118732936212644,216424448,107364352,6004736,432451584,98934784,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,906829.5827144579,58578.443056681135,0,22467.22615325544,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,4.133,24,2,1.8,2.067,17.733,0,0,0,0,0.023434065934065936,0.003032085561497326,0.03399758454106281,0.03778089887640449,0.0016785714285714286,0.003,0.0033549295774647886,0.06218750000000004,0.004657754010695188,0.08193308550185874,0.048005617977528094,0.0043357142857142865,0.0046,0.006682539682539686
1705604715,1.4757173956065566,8.65704122583009,0.17448666362467347,0.21442289646543436,4.770689520638801,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.737587602475094,1.0118732936212644,216424448,107364352,6004736,432451584,98934784,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,906829.5827144579,58578.443056681135,0,32418.742085268037,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,4.133,24,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032085561497326,0.03399758454106281,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004657754010695188,0.08193308550185874,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
1705604716,1.4757173956065566,8.65704122583009,0.17448666362467347,0.21442289646543436,4.604647738427838,1.0316414006877535,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.7227365962003225,1.0118732936212644,216424448,107364352,6004736,432451584,99594240,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,906829.5827144579,58578.443056681135,0,32418.742085268037,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,4.133,24,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032085561497326,0.03399758454106281,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004657754010695188,0.08193308550185874,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
1705604717,1.4757173956065566,8.65704122583009,0.17448666362467347,0.21442289646543436,4.604647738427838,0.8762303550152586,0.3887341310988375,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.7078855899255508,1.0118732936212644,216424448,107364352,6004736,432451584,99594240,329617408,53456896,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,906829.5827144579,58578.443056681135,0,32418.742085268037,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,3.733,24,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032258064516129,0.03399758454106281,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004658064516129033,0.08193308550185874,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
1705604718,1.416128701080159,8.65704122583009,0.17448666362467347,0.21442289646543436,4.604647738427838,0.8590363316704627,0.39098305487369667,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.6930345836507793,1.0118732936212644,216428544,107364352,6004736,432451584,99594240,329617408,53473280,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,859482.1442711222,58578.443056681135,0,32418.742085268037,1334326.1355174982,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,3.733,24.067,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032258064516129,0.033353365384615384,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004658064516129033,0.0817004048582996,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
1705604719,1.416128701080159,8.65704122583009,0.17448666362467347,0.20665519572297708,4.604647738427838,0.8418423083256666,0.39098305487369667,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.6781835773760077,0.8350990292256296,216428544,107364352,6004736,432451584,99594240,329617408,53473280,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76140544,3125671.8959017387,0,859482.1442711222,58578.44305668112,0,32418.742085268037,1101219.359642591,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,3.733,24.067,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032258064516129,0.033353365384615384,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004658064516129033,0.0817004048582996,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
1705604720,1.4161287010801593,8.65704122583009,0.17427466150870358,0.20665519572297708,4.604647738427838,0.848023671112868,0.39098305487369667,0.07966009021733937,0.317409543786058,0.755589423430049,0.0001387247598006435,0.2795430561418349,0.28613058471333425,0.6389384762056676,1.042813695673499,216428544,107364352,6004736,432451584,99594240,329617408,53473280,4481024,267735040,98693120,4575232,2883584,306806784,8437760,76222464,3125671.8959017387,0,859482.1442711222,58578.44305668112,0,32418.742085268037,1832410.4777788678,12,7,7,4,7,17,5,5,3,11,1,3,5,18,9,7.333,3.733,24.067,2,1.8,2.067,17.467,0,0,0,0,0.023434065934065936,0.003032258064516129,0.033353365384615384,0.03778089887640449,0.0016785714285714286,0.003,0.0033494318181818182,0.06218750000000004,0.004658064516129033,0.0817004048582996,0.048005617977528094,0.0043357142857142865,0.0046,0.006638211382113823
