time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705731126,1.2820377324393086,4.178324700603739,0.1729903407024197,0.21036123131694678,4.616616960216115,1.2154145126598972,0.33244390982822036,0.09597870740033586,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3192427063935436,0.4314548055490669,0.8355283940417421,1.0449514771639996,221413376,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2842624,302809088,8011776,46710784,0,1378351.0936623667,0,,457599.4187443236,33540.77956108746,0,0,1143709.6049831097,17,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.8,4.6,26.267,1.6,1.533,1.467,16,0,0,0.01797872340425532,0.0030930232558139532,0.02944651741293533,0.0375,0.0027027027027027024,0.003125,0.0033058823529411763,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.00454054054054054,0.004824999999999999,0.0062307692307692316
1705731127,1.272955837797689,4.178324700603739,0.1729903407024197,0.21036123131694678,4.616616960216115,1.2154145126598972,0.33985423610093785,0.09597870740033586,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3192427063935436,0.4314548055490669,0.7208358755740735,1.0449514771639996,221413376,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2842624,302809088,8011776,46710784,0,1378351.0936623667,0,,467799.5183546714,33540.77956108746,0,0,1143709.6049831097,17,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.8,4.6,26.267,1.6,1.533,1.467,16,0,0,0.01797872340425532,0.0030930232558139532,0.02944651741293533,0.0375,0.0027027027027027024,0.003125,0.0033058823529411763,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.00454054054054054,0.004824999999999999,0.0062307692307692316
1705731128,1.2477982349123165,4.178324700603739,0.1729903407024197,0.21036123131694678,4.616616960216115,1.2154145126598972,0.3472645623736554,0.08678940692624072,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3192427063935436,0.3647285221425472,0.7862739951353497,1.0449514771639996,221413376,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2842624,302809088,8007680,46710784,0,1378351.0936623667,0,,477999.61796501913,33540.77956108746,0,0,1143709.6049831097,17,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.8,4.6,26.267,1.6,1.533,1.467,16,0,0,0.01797872340425532,0.0030930232558139532,0.02944651741293533,0.0375,0.0027027027027027024,0.003125,0.0033058823529411763,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.00454054054054054,0.004824999999999999,0.0062307692307692316
1705731129,1.2226406320269438,4.178324700603739,0.1729903407024197,0.1746515357957646,4.616616960216115,1.2154145126598972,0.35467488864637287,0.08678940692624072,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3192427063935436,0.35753760871672946,0.7862739951353497,1.0449514771639996,221413376,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2842624,302809088,8007680,46710784,0,1378351.0936623667,0,,488199.71757536696,33540.77956108746,0,0,1143709.6049831097,17,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.8,4.6,26.267,1.6,1.533,1.467,16,0,0,0.01797872340425532,0.0030930232558139532,0.02944651741293533,0.0375,0.0027027027027027024,0.003125,0.0033058823529411763,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.00454054054054054,0.004824999999999999,0.0062307692307692316
1705731130,1.6148030109240474,4.178324700603739,0.1729903407024197,0.17114551527381547,4.616616960216115,1.2154145126598972,0.3620852149190904,0.08678940692624072,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.2626037295675557,0.35034669529091167,0.7862739951353497,0.7735657856306063,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2842624,302809088,8007680,46710784,0,1378351.0936623667,0,,498399.8171857147,33540.77956108746,0,0,813441.3882219207,18,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.6,4.6,26.267,1.4,1.333,1.267,15.4,0,0,0.01801587301587302,0.0030930232558139532,0.02944651741293533,0.0375,0.0027066666666666667,0.003233766233766234,0.0033195266272189354,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.004541333333333334,0.005222222222222229,0.006370370370370376
1705731131,1.6148030109240474,4.178324700603739,0.1729903407024197,0.16763949475186635,4.616616960216115,1.2154145126598972,0.44461957636304955,0.08678940692624072,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3274288026513541,0.3431557818650939,0.7864740170593961,0.7907350563733189,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2846720,302809088,8007680,46710784,0,1378351.0936623667,0,,612005.9766208653,33540.77956108746,0,0,831495.6968368306,18,13,6,4,7,16,7,5,3,11,1,3,5,16,8,7.6,4.6,26.267,1.4,1.333,1.267,15.4,0,0,0.01801587301587302,0.0030930232558139532,0.02944651741293533,0.0375,0.0027066666666666667,0.003233766233766234,0.0033195266272189354,0.039942528735632185,0.004767441860465116,0.07478773584905662,0.0475,0.004541333333333334,0.005222222222222229,0.006370370370370376
1705731132,1.6148030109240474,4.178324700603739,0.1426793566892792,0.16413347422991723,4.616616960216115,1.2154145126598972,0.44461957636304955,0.08678940692624072,0.45180355388143073,0.9754110928990555,0.00019552535418938875,0.3274288026513541,0.3359648684392761,0.7864740170593961,0.8079043271160318,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97091584,4644864,2846720,302809088,8007680,46710784,0,1378351.0936623667,0,,612005.9766208653,33540.77956108746,0,0,849550.0054517406,18,13,6,4,7,16,7,5,3,11,1,3,5,16,8,8.467,4.6,26.267,1.4,1.333,1.267,15.4,0,0,0.018153846153846152,0.0030930232558139532,0.02944651741293533,0.0375,0.0027066666666666667,0.003233766233766234,0.0033195266272189354,0.04039772727272728,0.004767441860465116,0.07478773584905662,0.0475,0.004541333333333334,0.005222222222222229,0.006370370370370376
1705731133,1.6148030109240474,4.178324700603739,0.14560780972492096,0.1606274537079681,4.485530835923468,1.1747408753745694,0.44461957636304955,0.08678940692624072,0.5188260580965349,0.9331263049863731,0.00019552535418938875,0.3274288026513541,0.5258729327827055,0.7864740170593961,0.8250735978587442,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97099776,4644864,2846720,302673920,8007680,46710784,0,1378351.0936623667,0,,612005.9766208653,51787.46404526346,0,0,867604.3140666505,18,13,6,4,7,16,7,5,3,11,1,3,6,16,8,8.467,4.6,26.267,1.4,1.333,1.267,15.4,0,0,0.018153846153846152,0.0030930232558139532,0.02944651741293533,0.0375,0.0027066666666666667,0.003233766233766234,0.0033195266272189354,0.04039772727272728,0.004767441860465116,0.07478773584905662,0.0475,0.004541333333333334,0.005222222222222229,0.006370370370370376
1705731134,1.6148030109240474,4.178324700603739,0.14853626276056273,0.157121433186019,4.485530835923468,1.1747408753745694,0.44461957636304955,0.08678940692624072,0.5188260580965349,0.9331263049863731,0.00010587520610952963,0.3274288026513541,0.5258729327827055,0.7864740170593961,0.842242868601457,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97099776,4644864,2846720,302673920,8007680,46710784,0,1378351.0936623667,0,,612005.9766208653,51787.46404526346,0,0,885658.6226815603,18,13,6,4,7,16,7,5,3,11,1,3,6,16,8,8.467,4.6,26.267,1.4,1.333,1.267,15.4,0,0,0.018153846153846152,0.0030930232558139532,0.02944651741293533,0.0375,0.0027066666666666667,0.003233766233766234,0.0033195266272189354,0.04039772727272728,0.004767441860465116,0.07478773584905662,0.0475,0.004541333333333334,0.005222222222222229,0.006370370370370376
1705731135,1.6148030109240479,,0.17570718213850595,0.15361541266406992,4.485530835923468,1.1747408753745694,0.44461957636304955,0.08678940692624072,0.5188260580965349,0.9331263049863731,0.00010587520610952963,0.3274288026513541,0.5258729327827055,0.7864740170593961,0.8594121393441697,221577216,82116608,6139904,430563328,108761088,331141120,42176512,4423680,247873536,97099776,4644864,2846720,302673920,8007680,46710784,0,,0,,612005.9766208653,51787.46404526346,0,0,903712.9312964703,18,13,6,4,7,16,7,5,3,11,1,3,6,16,8,8.333,4.2,25.4,1.533,1.333,1.267,15.4,0,0,0.017961538461538466,0.0030952380952380953,0.029466501240694793,0.03779761904761905,0.0027066666666666667,0.003233766233766234,0.0033081481481481486,0.040339506172839525,0.004771428571428571,0.07424390243902441,0.04803571428571429,0.004541333333333334,0.005222222222222229,0.006254807692307698
