time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705743079,14.145692365187188,1.6882136806670924,0.15857918338447013,0.19866796285188323,5.900901105714582,11.416465682826498,0.44078614056931864,0.07410869940037167,10.108195934048354,1.2454684520441743,0,0.3489013141493645,8.205892472076155,1.1820660476227467,1.22679580479452,198230016,69484544,4845568,430284800,85237760,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,9,15,5,3,3,11,1,3,6,10,6,6.133,3.8,22.4,2.4,2.333,2.533,18.267,0.01862222146774764,0.0030363636363636365,0.03201874302941081,0.04871810713576998,0.0025090767815451596,0.008377773783174822,0.005280731230304211,0.04190018837928893,0.0046654545454545455,0.08726710751615849,0.24578971405991396,0.0047739773272882525,0.03799347671208487,0.00933884731416448
1705743080,14.145692365187188,1.6882136806670924,0.1585791833844702,0.19866796285188323,5.900901105714582,11.652225355500125,0.44078614056931864,0.07410869940037167,10.108195934048354,1.2454684520441743,0,0.3489013141493645,8.205892472076155,1.20258703201609,1.2267958047945202,198230016,69484544,4845568,430284800,85237760,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,9,15,5,3,3,11,1,3,6,10,6,6.133,3.8,22.4,2.4,2.333,2.533,18.267,0.018608214713168966,0.0030363636363636365,0.032079830902492064,0.04864898774789543,0.0025034895064662173,0.008367953091032358,0.005280231981596473,0.04182224407832609,0.0046654545454545455,0.08738850040941862,0.24262946844799765,0.004767481301748504,0.037078336264306455,0.009337598975510184
1705743081,14.145692365187188,1.6882136806670924,0.1585791833844702,0.19866796285188323,6.231924168694242,11.887985028173752,0.44078614056931864,0.07410869940037167,10.108195934048354,1.2454684520441743,0,0.3489013141493645,7.000150544033342,1.223108016409433,1.2267958047945202,198230016,69484544,4845568,430284800,85237760,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,9,15,5,3,3,11,1,3,6,10,6,6.133,3.8,22.4,2.4,2.333,2.533,18.267,0.018594736181498536,0.0030363636363636365,0.03214018966875753,0.048583555300185766,0.0024981749343708486,0.008358651314285858,0.0052797529311577485,0.04174695191995929,0.0046654545454545455,0.0875087618667404,0.23962412249410428,0.004761302333364711,0.03621448286490881,0.009336401141303007
1705743082,14.145692365187188,1.6882136806670924,0.17271188153838382,0.19866796285188323,6.231924168694242,12.12374470084738,0.44078614056931864,0.07410869940037167,10.108195934048354,1.2454684520441743,0,0.3489013141493645,6.863385669498739,1.23125906360058,1.2267958047945202,198230016,69484544,4845568,430284800,85237760,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,9,15,5,3,3,11,1,3,6,10,6,6.133,3.8,22.4,2.4,2.333,2.533,18.267,0.018534674453693233,0.0030363636363636365,0.03219983230401903,0.04852152245512025,0.002493113575801715,0.008349828383116051,0.0052857632555804385,0.04105059018285449,0.0046654545454545455,0.08762790763298108,0.23676256000255133,0.004755417762788467,0.03539772262654343,0.009336161937548063
1705743083,14.145692365187188,1.6882136806670924,0.17271188153838382,0.19866796285188323,6.231924168694242,14.145580360417629,0.44078614056931864,0.07214148691472821,10.108195934048354,1.2454684520441743,0,0.3489013141493645,6.726620794964136,1.068178800626683,1.2267958047945202,198230016,69484544,4845568,430284800,85237760,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,9,15,5,3,3,11,1,3,6,10,6,6.133,3.8,23.8,2.4,2.333,2.533,18.267,0.018515232858381542,0.0030363636363636365,0.03321352374716224,0.048462630976941014,0.002488287755244499,0.008341448249683444,0.00529636250915263,0.040849628812501385,0.0046654545454545455,0.08797932553323108,0.2340347035827573,0.004749807039645789,0.034624306790139794,0.00933661500734008
1705743084,14.145692365187188,1.6882136806670924,0.17271188153838382,0.19866796285188323,5.931453273883621,14.145580360417629,0.44078614056931864,0.0736286719465983,10.108195934048354,1.2454684520441743,0,0.3489013141493645,6.589855920429533,1.0476578162333403,1.2267958047945202,198230016,69484544,4845568,430284800,100028416,309592064,35962880,2797568,253288448,89022464,4689920,3002368,292843520,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,8,15,5,3,3,11,1,3,6,10,6,6.133,3.8,23.8,2.4,2.333,2.533,18.267,0.018476337512294726,0.0030363636363636365,0.03326670615960701,0.048406648138325854,0.0024836814048902183,0.00833347839585204,0.005306510746396258,0.04043260932288571,0.0046654545454545455,0.08809325769283273,0.2314313960744126,0.004744451482755596,0.033890874195466276,0.00933704879823922
1705743085,14.145692365187188,1.6882136806670924,0.17271188153838382,0.19866796285188318,5.931453273883621,14.145580360417629,0.44078614056931864,0.08923110191220537,10.108195934048354,1.2454684520441743,0.00011528028933092774,0.3489013141493645,8.170254773184745,1.0271368318399972,1.2267958047945202,198230016,69484544,4845568,430284800,100028416,309592064,35962880,2797568,253288448,89022464,4689920,3002368,293519360,5439488,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,60082.56323212004,,1288767.1232876712,10,5,4,3,8,15,5,3,3,11,1,3,6,10,6,7.533,3.8,23.8,2.4,2.333,2.533,18.267,0.018363571888025274,0.0030363636363636365,0.033319328991494146,0.048353363646651285,0.002479279885909941,0.00832588941148895,0.005316236154868735,0.03975011939269788,0.0046654545454545455,0.08820614460741044,0.22894429785186748,0.004739334072335384,0.033194402449164696,0.009337464515135122
1705743086,14.145692365187188,1.6882136806670924,0.17271188153838382,0.19866796285188318,5.931453273883621,14.145580360417629,0.44078614056931864,0.08923110191220537,10.108195934048354,0.9483365333165485,0.00011528028933092774,0.3489013141493645,8.170254773184745,1.1181411991209111,1.2267958047945202,198230016,69484544,4845568,430284800,100028416,309592064,35962880,2797568,253288448,89022464,4689920,3002368,293519360,5484544,35012608,1838428.197399397,0,,826551.0282941909,84301.03592581583,90245.82166126341,,1288767.1232876712,10,5,4,3,8,15,5,3,3,11,1,3,6,10,6,7.533,3.8,23.8,2.4,2.333,2.533,18.267,0.01833618372275607,0.0030363636363636365,0.03337140102838759,0.04830258700425429,0.0024750698330531728,0.008318654631810677,0.005344098729020369,0.03948026206419702,0.0046654545454545455,0.08831800059533274,0.22656579758098552,0.004734439269324104,0.032532166293902195,0.009334750479067877
1705743087,14.145692365187188,1.5526930402472916,0.17271188153838382,0.19866796285188318,5.931453273883621,14.145580360417629,0.44078614056931864,0.08923110191220537,10.108195934048354,0.9483365333165485,0.00011528028933092774,0.3489013141493645,8.170254773184745,1.1181411991209111,1.2267958047945202,198230016,69484544,4845568,430284800,100028416,309592064,35962880,2797568,253288448,89022464,4689920,3002368,293519360,5484544,35012608,1777700.0655696755,0,,826551.0282941909,84301.03592581583,90245.82166126341,,1288767.1232876712,10,5,4,3,8,15,5,3,3,11,1,3,6,10,6,7.533,3.8,23.8,2.4,2.333,2.533,18.267,0.018309116144039326,0.0030363636363636365,0.03342293087289451,0.048254145232844776,0.00247103901909445,0.00831174982435044,0.005353630023912743,0.03921760326324157,0.0046654545454545455,0.08842883971463499,0.22428893441649997,0.004729752857781467,0.031901701969438936,0.009315739368334533
1705743088,14.145692365187188,1.5526930402472916,0.17815693397178342,0.20573056300268044,5.931453273883621,14.145580360417629,0.44078614056931864,0.07801113025043065,1.5579490205443882,0.9483365333165485,0.00011528028933092774,0.3489013141493645,8.170254773184745,1.1181411991209111,1.2267958047945202,198230016,69484544,4956160,430284800,100028416,309592064,35962880,2879488,253288448,89022464,4689920,3002368,293519360,5484544,35012608,1777700.0655696755,0,,826551.0282941909,0,90245.82166126341,,1288767.1232876712,10,5,4,3,8,15,5,3,3,11,1,3,6,10,6,7.533,4.467,23.8,2.4,2.333,2.533,18.267,0.018282363555786753,0.003033149171270718,0.03347589544932484,0.048207880904778934,0.002467176236232242,0.00830515291780197,0.005350134587304206,0.038961858746553335,0.004659668508287293,0.0885485579317573,0.22210732996462365,0.004725261806996805,0.031300776583034644,0.00931640101666052
