time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,front-end_error,orders_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705820163,1.128704814394298,4.4075429596263,26.588420752781218,0.20932258549041463,3.8112533692722756,1.0882553488496765,0.3175375652131083,0.08170030744552846,0.19100621057648925,0.9016113189408382,0.00010035011038512893,0.2989572580786265,0.33152424942262965,0.7590048490460397,1.0037069429494205,215056384,87408640,6283264,432316416,107376640,334716928,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2306306.3063063063,0,0,,875447.4259277488,23288.725323607832,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.067,3.933,24.067,1.333,1.467,1.533,15.733,0,,0,0.016666666666666663,0.0035945945945945945,0.030872483221476506,0.037310606060606065,0.0020476190476190472,0.0031411764705882358,0.003515923566878981,0.03681034482758622,0.12076923076923057,0.08510489510489512,0.05812500000000002,0.00440952380952381,0.004854117647058825,0.008051470588235297
1705820164,1.128704814394298,4.4075429596263,31.31201166861167,0.20932258549041463,3.8112533692722756,0.9468274974720872,0.31095664626876784,0.07040002019931957,0.19564709913382697,0.9016113189408382,0.00010035011038512896,0.2989572580786265,0.33152424942262965,0.7590048490460397,1.0037069429494205,215056384,87408640,6283264,432316416,107376640,334716928,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2306306.3063063063,0,0,,857303.9078649473,23854.57278240568,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.4,3.933,24.067,1.667,1.8,1.867,16.733,0,,0,0.01665853658536585,0.0035945945945945945,0.02989373601789709,0.03668032786885246,0.0020163934426229504,0.003119047619047619,0.0034810126582278484,0.03689655172413793,0.12076923076923057,0.07800751879699247,0.059375000000000046,0.004403278688524591,0.0048142857142857145,0.007830769230769235
1705820165,1.128704814394298,4.142288526416814,31.31201166861167,0.17989764448672593,3.8112533692722756,0.9286899083245925,0.30437572732442736,0.06903834840856077,0.2002879876911647,0.9016113189408382,0.00010035011038512896,0.2989572580786265,0.33152424942262965,0.7590048490460397,1.0037069429494205,215056384,87408640,6283264,432316416,107376640,334716928,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2649614.658454301,0,0,,839160.389802146,24420.42024120353,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.4,3.933,24.067,1.667,1.8,1.867,16.733,0,,0,0.01665853658536585,0.0035945945945945945,0.02989373601789709,0.03668032786885246,0.0020163934426229504,0.003119047619047619,0.0034810126582278484,0.03689655172413793,0.12076923076923057,0.07800751879699247,0.059375000000000046,0.004403278688524591,0.0048142857142857145,0.007830769230769235
1705820166,1.1731738197424668,4.142288526416814,31.31201166861167,0.17640893472855237,3.8112533692722756,1.4692979813196905,0.2977948083800868,0.06767667661780195,0.16797000000000395,0.9016113189408382,0.0001821125050586943,0.2884523306576563,0.33152424942262965,0.7590048490460397,1.0037069429494205,215040000,87408640,6283264,432316416,107376640,334954496,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2649614.658454301,0,0,,821016.8717393442,20480,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.4,3.933,24.067,1.667,1.8,1.867,16.733,0,,0,0.01665853658536585,0.0035945945945945945,0.02989373601789709,0.03668032786885246,0.0020163934426229504,0.003119047619047619,0.0034810126582278484,0.03689655172413793,0.12076923076923057,0.07800751879699247,0.059375000000000046,0.004403278688524591,0.0048142857142857145,0.007830769230769235
1705820167,1.1731738197424668,4.142288526416814,31.31201166861167,0.1729202249703788,3.8112533692722756,1.4692979813196905,0.2912138894357464,0.06631500482704315,0.22477831764543976,0.9016113189408382,0.0001821125050586943,0.2884523306576563,0.33152424942262965,0.7590048490460397,1.0037069429494205,215040000,87408640,6283264,432316416,107376640,334954496,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2649614.658454301,0,0,,802873.3536765429,32485.361315925555,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.4,3.933,24.067,1.667,1.8,1.867,16.733,0,,0,0.01665853658536585,0.0035945945945945945,0.02989373601789709,0.03668032786885246,0.0020163934426229504,0.003119047619047619,0.0034810126582278484,0.03689655172413793,0.12076923076923057,0.07800751879699247,0.059375000000000046,0.004403278688524591,0.0048142857142857145,0.007830769230769235
1705820168,1.1731738197424668,4.142288526416814,31.31201166861167,0.1997777349971149,3.8112533692722756,1.4692979813196905,0.2846329704914059,0.06495333303628434,0.22971857283552552,0.9016113189408382,0.0001821125050586943,0.2884523306576563,0.33152424942262965,0.6471633761923028,1.0037069429494205,215040000,87408640,6283264,432193536,107376640,334954496,43503616,4554752,271568896,98353152,4538368,2891776,298983424,8265728,52416512,0,2649614.658454301,0,0,,784729.8356137415,33199.335762055,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.4,3.933,24.067,1.667,1.8,1.867,16.733,0,,0,0.01665853658536585,0.0035945945945945945,0.02989373601789709,0.03668032786885246,0.0020163934426229504,0.003119047619047619,0.0034810126582278484,0.03689655172413793,0.12076923076923057,0.07800751879699247,0.059375000000000046,0.004403278688524591,0.0048142857142857145,0.007830769230769235
1705820169,1.1731738197424668,4.142288526416814,31.31201166861167,0.1997777349971149,3.8112533692722756,1.4692979813196905,0.2780520515470654,0.08456707595961023,0.23465882802561122,0.9016113189408382,0.0001821125050586943,0.2884523306576563,0.33152424942262965,0.8011047612430424,1.0037069429494205,215040000,87408640,6283264,432193536,107376640,334954496,43503616,4550656,271568896,98353152,4538368,2891776,298983424,8278016,52416512,0,2649614.658454301,0,0,,766586.31755094,33913.31020818444,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.067,3.667,23.333,2.067,1.8,1.867,17.6,0,,0,0.016544117647058824,0.0034081632653061226,0.029166666666666664,0.03621323529411765,0.0020163934426229504,0.003119047619047619,0.003429878048780488,0.03577586206896552,0.07874999999999996,0.06958677685950408,0.04959558823529412,0.004403278688524591,0.0048142857142857145,0.007394531249999999
1705820170,1.1731738197424668,4.142288526416814,31.31201166861167,0.1877805109615065,3.8112533692722756,1.4692979813196905,0.271471132602725,0.08456707595961023,0.23959908321569698,0.8589963716470133,0.0001821125050586943,0.2884523306576563,0.33152424942262965,0.8011047612430424,1.0037069429494205,215040000,87408640,6283264,432193536,107376640,334954496,43503616,4550656,271568896,98353152,4538368,2891776,298983424,8278016,52416512,0,2649614.658454301,0,0,,748442.7994881385,34627.28465431389,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.067,3.667,23.333,2.067,1.8,1.867,17.6,0,,0,0.016544117647058824,0.0034081632653061226,0.029166666666666664,0.03621323529411765,0.0020163934426229504,0.003119047619047619,0.003429878048780488,0.03577586206896552,0.07874999999999996,0.06958677685950408,0.04959558823529412,0.004403278688524591,0.0048142857142857145,0.007394531249999999
1705820171,1.1731738197424668,3.450060335045984,31.31201166861167,0.1877805109615065,3.8112533692722756,1.4692979813196905,0.2648902136583845,0.08456707595961023,0.24453933840578265,0.8589963716470133,0.0001821125050586943,0.2884523306576563,0.3435614985862061,0.8011047612430424,1.0037069429494205,215040000,87408640,6283264,432193536,107376640,334954496,43503616,4550656,271568896,98353152,4538368,2891776,298983424,8278016,52416512,0,2206830.928843356,0,0,,730299.2814253372,35341.25910044333,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.067,3.667,23.333,2.067,1.8,1.867,17.6,0,,0,0.016544117647058824,0.0034081632653061226,0.029166666666666664,0.03621323529411765,0.0020163934426229504,0.003119047619047619,0.003429878048780488,0.03577586206896552,0.07874999999999996,0.06958677685950408,0.04959558823529412,0.004403278688524591,0.0048142857142857145,0.007394531249999999
1705820172,1.1731738197424668,4.291639170398328,31.31201166861167,0.1877805109615065,3.8112533692722756,1.4692979813196905,0.38519896000137577,0.08456707595961023,0.24947959359586835,0.8822979025320369,0.0001821125050586943,0.2884523306576563,0.3557537988731382,0.7942229095327642,1.0037069429494205,215040000,87445504,6283264,432193536,107376640,334954496,43532288,4550656,271568896,98430976,4538368,2891776,298852352,8278016,52416512,0,2244449.681828895,0,0,,888640.9421974275,36055.233546572774,0,0,1579906.7097237173,12,8,7,4,9,15,5,5,3,11,1,3,6,18,8,8.067,3.667,23.333,2.067,1.8,1.867,17.6,0,,0,0.016544117647058824,0.0034081632653061226,0.029166666666666664,0.03621323529411765,0.0020163934426229504,0.003119047619047619,0.003429878048780488,0.03577586206896552,0.07874999999999996,0.06958677685950408,0.04959558823529412,0.004403278688524591,0.0048142857142857145,0.007394531249999999
