time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705614169,0.13663647947585578,0.43046310849915215,0.037366009328199425,0.07429786372379278,,0.089482500000031,0.35793990348740023,0.03965970645748559,0.1304331763184669,0.6898244145097888,0.00012676225225688993,0.15023166238696925,0.1295520994071247,0.07134876996208604,0.5605192697769064,216801280,135602176,5267456,432451584,72040448,331264000,69521408,3485696,267845632,98455552,4575232,2916352,307048448,8187904,110354432,354559.3293696895,0,203770.95666882244,9457.836889258335,0,0,157858.01217038542,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614170,0.13663647947585578,0.31182530103616724,0.04144416918983285,0.07429786372379278,,0.089482500000031,0.35793990348740023,0.03965970645748559,0.1304331763184669,0.6898244145097888,0.00012676225225688993,0.13022163957737154,0.1295520994071247,0.07134876996208604,0.5605192697769064,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267845632,98455552,4575232,2916352,307048448,8187904,110354432,207790.5288232492,0,203770.95666882244,9457.836889258335,0,0,157858.01217038542,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614171,0.13663647947585578,0.3191463467722311,0.04144416918983285,0.07429786372379278,,0.089482500000031,0.35793990348740023,0.03965970645748559,0.1304331763184669,0.6898244145097888,0,0.14990285872884027,0.1295520994071247,0.07134876996208604,0.5605192697769064,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267845632,98455552,4575232,3047424,307048448,8187904,110354432,212669.04240114347,0,203770.95666882244,9457.836889258335,0,0,157858.01217038542,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614172,0.13663647947585578,0.32646739250829493,0.04144416918983285,0.07429786372379278,,0.1459200780968146,0.3084745973804609,0.03965970645748559,0.1304331763184669,0.6898244145097888,0,0.14990285872884027,0.1295520994071247,0.07134876996208604,0.4704531436442465,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267845632,98455552,4575232,3047424,307048448,8187904,110354432,217547.5559790377,0,175610.94251806158,9457.836889258335,0,0,144284.5812277899,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614173,0.13663647947585578,0.3337884382443587,0.038788372491856855,0.07429786372379278,,0.1459200780968146,0.3025089323223376,0.03965970645748559,0.1304331763184669,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.5660352753235735,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267845632,98455552,4575232,3047424,307048448,8187904,110354432,222426.0695569319,0,172214.75990691452,9457.836889258335,0,0,173598.9306556255,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614174,0.13663647947585578,0.34110948398042257,0.038788372491856855,0.06023474340517818,,0.1459200780968146,0.29654326726421426,0.03965970645748559,0.13026118753265173,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.5660352753235735,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267849728,98455552,4575232,3047424,307048448,8187904,110354432,227304.58313482613,0,168818.57729576746,14264.321783040223,0,0,173598.9306556255,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614175,0.13663647947585578,0.3484305297164864,0.038788372491856855,0.06146984651176594,,0.1459200780968146,0.29057760220609086,0.03965970645748559,0.13026118753265173,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.5660352753235735,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267849728,98455552,4575232,3047424,307048448,8187904,110354432,232183.09671272035,0,165422.39468462043,14264.321783040223,0,0,173598.9306556255,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614176,0.13663647947585578,0.3557515754525503,0.038788372491856855,0.06287936778410663,,0.1459200780968146,0.28461193714796756,0.03965970645748559,0.13026118753265173,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.5660352753235735,216801280,135606272,5267456,432451584,72040448,331264000,69521408,3485696,267849728,98455552,4575232,3047424,307048448,8187904,110354432,237061.6102906146,0,162026.21207347338,14264.321783040223,0,0,173598.9306556255,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614177,0.13663647947585578,0.36307262118861416,0.038788372491856855,0.07472295636851649,,0.1459200780968146,0.34675385144845833,0.03793267620038436,0.13075413696121263,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.5660352753235735,216801280,135606272,5267456,432451584,72040448,331264000,69390336,3485696,267849728,98455552,4575232,3047424,307048448,8187904,110354432,241940.12386850882,0,207300.03846387434,17860.335317330544,0,0,173598.9306556255,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1705614178,0.13663647947585578,0.43926274416383043,0.038788372491856855,0.07472295636851649,,0.1459200780968146,0.34675385144845833,0.03793267620038436,0.13075413696121263,0.6898244145097888,0,0.1499028587288403,0.1295520994071247,0.07134876996208604,0.47302860414696873,216801280,135606272,5267456,432451584,72040448,331264000,69390336,3485696,267849728,98455552,4575232,3047424,307048448,8187904,110354432,292710.8146736541,0,207300.03846387434,17860.335317330544,0,0,145074.45636227302,11,10,7,4,2,7,5,4,3,11,1,2,4,20,10,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
