time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705655514,1.3322353038546508,49.06610499179833,0.13521630422146347,0.17942909184055028,3.4532761630892512,0.9287321131447973,0.3035373437401901,0.07895768967493494,0.2447495596405109,0.8023295575975089,0.0000773130056218145,0.23701300267775505,0.2276185057118948,0.6988381670785342,1.0086773024572175,223739904,158347264,6524928,432435200,100016128,330121216,140394496,4481024,268189696,97206272,4575232,2891776,306503680,8617984,259833856,3282943.5200374974,0,0,504969.8640281111,0,27749.424145250894,0,0,0,3366872.900830829,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,7.267,2.933,20.2,2,2.2,1.867,15.4,0,0,0,0,0,0,2.659883720930233,0.003028368794326241,0.043188202247191027,0.9242424242424243,0.0028644067796610175,0.003,0.0034555984555984555,7.811475409836066,0.004651063829787233,4.35112359550562,2.428,0.004952542372881357,0.0046,0.007305084745762714
1705655515,1.3322353038546508,49.06610499179833,0.13521630422146347,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.309843455735014,0.07895768967493494,0.2566466265865005,0.8795181295441639,0.00007559903331960722,0.23701300267775505,0.2276185057118948,0.6988381670785342,0.7461324999999874,223739904,158347264,6524928,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259833856,3282943.5200374974,0,0,515460.8187071437,0,36001.8282178392,0,0,0,3368960,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,7.267,2.933,20.2,2,2.2,1.867,15.4,0,0,0,0,0,0,2.659883720930233,0.003028368794326241,0.043188202247191027,0.9242424242424243,0.0028644067796610175,0.003,0.0034555984555984555,7.811475409836066,0.004651063829787233,4.35112359550562,2.428,0.004952542372881357,0.0046,0.007305084745762714
1705655516,1.3322353038546508,49.06610499179833,0.13521630422146347,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.31614956772983793,0.07895768967493494,0.2566466265865005,0.8795181295441639,0.00007388506101739996,0.23701300267775505,0.2276185057118948,0.6988381670785342,0.89375874202123,223739904,158347264,6524928,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259833856,3282943.5200374974,0,0,525951.7733861763,0,36001.8282178392,0,0,0,4035526.4668405317,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,7.267,2.933,20.2,2,2.2,1.867,15.4,0,0,0,0,0,0,2.659883720930233,0.003028368794326241,0.043188202247191027,0.9242424242424243,0.0028644067796610175,0.003,0.0034555984555984555,7.811475409836066,0.004651063829787233,4.35112359550562,2.428,0.004952542372881357,0.0046,0.007305084745762714
1705655517,1.3322353038546508,49.06610499179833,0.13521630422146347,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.3224556797246619,0.07895768967493494,0.2566466265865005,0.8795181295441638,0,0.23701300267775505,0.22761850571189476,0.6988381670785342,0.8759879704637057,223739904,158347264,6524928,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259833856,3282943.5200374974,0,0,536442.728065209,0,36001.8282178392,0,0,0,3955287.3423600444,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,7.267,2.933,20.2,2,2.2,1.867,15.4,0,0,0,0,0,0,2.659883720930233,0.003028368794326241,0.043188202247191027,0.9242424242424243,0.0028644067796610175,0.003,0.0034555984555984555,7.811475409836066,0.004651063829787233,4.35112359550562,2.428,0.004952542372881357,0.0046,0.007305084745762714
1705655518,1.3322353038546508,49.06610499179833,0.1415095768035981,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.32876179171948594,0.07346844023490472,0.2594945693085426,0.8795181295441638,0,0.23701300267775505,0.22761850571189476,0.6988381670785342,1.0548263888887635,223739904,158347264,6520832,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259858432,3282943.5200374974,0,0,546933.6827442418,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,7,2.933,20.2,2,2.2,2.267,15.4,0,0,0,0,0,0,2.3879310344827585,0.003028368794326241,0.043188202247191027,0.9242424242424243,0.0028644067796610175,0.003,0.0034555984555984555,7.5089285714285685,0.004651063829787233,4.35112359550562,2.428,0.004952542372881357,0.0046,0.007305084745762714
1705655519,1.3322353038546508,41.41724440252133,0.1415095768035981,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.3783667196894368,0.07346844023490472,0.2594945693085426,0.8795181295441638,0,0.23701300267775505,0.22868237290342977,0.6988381670785342,1.0548263888887635,223739904,158347264,6520832,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259858432,2771169.102413874,0,0,629457.280741959,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,6.533,3.6,20.8,2.133,2.2,2.267,17.133,0,0,0,0,0,0,2.1911764705882355,0.003056338028169014,0.0438179347826087,0.8709677419354839,0.0028644067796610166,0.003,0.0034812030075187968,7.19,0.004701408450704225,4.10057471264368,2.5625000000000004,0.004952542372881355,0.0046,0.007421874999999998
1705655520,1.3322353038546508,40.53802671727956,0.1415095768035981,0.18709004045796254,3.4532761630892512,0.9287321131447973,0.3783667196894368,0.07346844023490473,0.2594945693085426,0.8795181295441638,0,0.23701300267775505,0.22868237290342977,0.6988381670785342,1.0548263888887635,223739904,158347264,6520832,432435200,100016128,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259858432,3048673.109379199,0,0,629457.280741959,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,29,21,6,7,3,11,1,3,5,28,13,6.533,3.6,20.8,2.133,2.2,2.267,19,0,0,0,0,0,0,2.1911764705882355,0.003056338028169014,0.0438179347826087,0.8709677419354839,0.0028644067796610166,0.003,0.0034502617801047118,7.19,0.004701408450704225,4.10057471264368,2.5625000000000004,0.004952542372881355,0.0046,0.007279069767441861
1705655521,1.3322353038546508,47.42714776632187,0.1415095768035981,0.18709004045796254,3.634122462226392,0.9287321131447973,0.3783667196894368,0.07346844023490473,0.2594945693085426,0.8795181295441638,0,0.15757634686521207,0.19325375628136593,0.7057954182515398,1.0548263888887635,223739904,158388224,6520832,432435200,94691328,330121216,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259858432,3195075.1586448257,0,0,629457.280741959,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,39,21,6,7,3,11,1,3,5,28,13,6.533,3.6,20.8,2.133,2.2,2.267,19,0,0,0,0,0,0,2.1911764705882355,0.003056338028169014,0.0438179347826087,0.8709677419354839,0.0028644067796610166,0.003,0.0034502617801047118,7.19,0.004701408450704225,4.10057471264368,2.5625000000000004,0.004952542372881355,0.0046,0.007279069767441861
1705655522,1.3322353038546508,47.42714776632187,0.1415095768035981,0.18709004045796254,3.634122462226392,0.8108844461389436,0.3783667196894368,0.07346844023490473,0.2594945693085426,0.8795181295441638,0,0.16162018772710068,0.18944238339964212,0.7057954182515398,1.0548263888887635,223739904,158388224,6520832,432435200,94691328,330190848,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8617984,259858432,3195075.1586448257,0,0,629457.280741959,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,39,25,6,7,3,11,1,3,5,28,13,6.533,3.667,20.8,2.133,2.2,2.267,19,0,0,0,0,0,0,2.1911764705882355,0.0030547945205479455,0.0438179347826087,0.8709677419354839,0.0028644067796610166,0.003,0.0034502617801047118,7.19,0.004698630136986302,4.10057471264368,2.5625000000000004,0.004952542372881355,0.0046,0.007279069767441861
1705655523,1.3322353038546508,47.42714776632187,0.1415095768035981,0.18709004045796254,3.634122462226392,0.8272900890439373,0.329941034662518,0.07346844023490473,0.2594945693085426,0.8795181295441639,0,0.16566402858898926,0.18563101051791828,0.7098223258431281,1.0548263888887635,223739904,158388224,6520832,432435200,94691328,330190848,140394496,4481024,268181504,97202176,4575232,2891776,306503680,8634368,259858432,3195075.1586448257,0,0,548895.4912692208,0,44047.74706957738,0,0,0,3271111.1111111115,48,28,7,4,39,25,6,7,3,11,1,3,5,28,13,6.533,3.667,20.267,2.133,2.2,2.267,19,0,0,0,0,0,0,2.1911764705882355,0.0030547945205479455,0.04430555555555556,0.8709677419354839,0.0028644067796610166,0.003,0.0034502617801047118,7.19,0.004698630136986302,3.9034090909090917,2.5625000000000004,0.004952542372881355,0.0046,0.007279069767441861
