time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts-db_diskio,catalogue_diskio,catalogue-db_diskio,orders-db_diskio,payment_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_error,catalogue_error,front-end_error,orders_error,payment_error,user_error,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705652321,0.16023439693080233,0.48248614921257416,0.04126045223569566,0.09331990244936594,2.331848316761592,0.14540776275623485,0.3617779250636728,0.034374088123722356,0.13144073512054724,0.7050943318333742,0.00011820571871115512,0.12459971321181815,0.12255741752075623,0.011240540433456153,0.7747900955638841,221380608,151793664,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1641396.3745898553,0,0,364797.74652554834,0,17265.216658236386,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375,0.0034,0.027499999999999993,NaN,NaN,NaN,NaN,0.2275,0.007000000000000002,0.09999999999999998,NaN,NaN,NaN,NaN
1705652322,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.3915907307655178,0.14540776275623485,0.3617779250636728,0.034374088123722356,0.0826405734778219,0.7050943318333742,0.00011820571871115512,0.12726898731566125,0.12255741752075623,0.008104656051999112,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,364797.74652554834,0,15480.462314318795,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375,0.0034,0.027499999999999993,NaN,NaN,NaN,NaN,0.2275,0.007000000000000002,0.09999999999999998,NaN,NaN,NaN,NaN
1705652323,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.4513331447694435,0.14540776275623485,0.3617779250636728,0.034374088123722356,0.08478593954206878,0.7428028716720935,0.00011820571871115512,0.12993826141950438,0.12255741752075623,0.008313016695797815,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,364797.74652554834,0,15882.338258668395,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1375,0.0034,0.027499999999999993,NaN,NaN,NaN,NaN,0.2275,0.007000000000000002,0.09999999999999998,NaN,NaN,NaN,NaN
1705652324,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.5110755587733693,0.14540776275623485,0.3617779250636728,0.034374088123722356,0.08693130560631564,0.7428028716720935,0.00011820571871115512,0.14668303959486012,0.09992504540089163,0.00852137733959652,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,364797.74652554834,0,16284.214203017993,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,2.933,10.733,0,0,0,0,0,0,0.2,0,0,0,NaN,0.0032,0.03574561403508772,NaN,NaN,NaN,NaN,NaN,0.004959999999999999,0.08108695652173913,NaN,NaN,NaN,NaN
1705652325,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.570817972777295,0.14540776275623485,0.3617779250636728,0.034374088123722356,0.08907667167056253,0.7428028716720935,0.00011820571871115512,0.14963012929214461,0.12036261792446597,0.00715249999999999,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,364797.74652554834,0,16686.090147367595,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,2.933,10.733,0,0,0,0,0,0,0.2,0,0,0,NaN,0.0032,0.03574561403508772,NaN,NaN,NaN,NaN,NaN,0.004959999999999999,0.08108695652173913,NaN,NaN,NaN,NaN
1705652326,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.630560386781221,0.14540776275623485,0.2990730723452445,0.034374088123722356,0.09122203773480941,0.7428028716720935,0.00011820571871115512,0.17682538183706975,0.12036261792446597,0.00715249999999999,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,404324.8797181681,0,17087.966091717193,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,2.933,10.733,0,0,0,0,0,0,0.2,0,0,0,NaN,0.0032,0.03574561403508772,NaN,NaN,NaN,NaN,NaN,0.004959999999999999,0.08108695652173913,NaN,NaN,NaN,NaN
1705652327,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.6903028007851466,0.14540776275623485,0.30517221678409706,0.034374088123722356,0.09351145441254151,0.7428028716720935,0.00011820571871115512,0.17682538183706975,0.12036261792446597,0.00715249999999999,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,412570.47609461506,0,17217.608436285267,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,6.267,10.733,0,0,0,0,0,0,0.2,0,0,0,NaN,0.0030821917808219177,0.03574561403508772,NaN,NaN,NaN,NaN,NaN,0.004747945205479452,0.08108695652173913,NaN,NaN,NaN,NaN
1705652328,0.16023439693080233,0.4885946573757005,0.04126045223569566,0.09331990244936594,2.7500452147890724,0.14540776275623485,0.31127136122294957,0.034374088123722356,0.09565189239122082,0.7428028716720936,0.00011820571871115512,0.17682538183706975,0.12036261792446597,0.00715249999999999,0.7747900955638841,221380608,151797760,6479872,432443392,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,420816.07247106195,0,17611.71227340954,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,6.267,24.467,0,0,0,0,0,0,0.667,0,0,0,NaN,0.0030821917808219177,0.03362403100775194,NaN,NaN,NaN,NaN,NaN,0.004747945205479452,0.07491071428571429,NaN,NaN,NaN,NaN
1705652329,0.13642000478250887,0.4885946573757005,0.03342732729729982,0.13309021178969407,2.809787628792998,0.14540776275623485,0.3659486663311529,0.034374088123722356,0.09779233036990012,0.7428028716720936,0.00011820571871115512,0.17682538183706975,0.12036261792446597,0.00715249999999999,0.7747900955638841,221380608,151797760,6479872,432435200,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,1339961.2853271393,0,0,494735.78258681425,0,18005.81611053381,0,0,,1025469.422648307,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,6.267,24.467,0,0,0,0,0,0,0.667,0,0,0,NaN,0.0030821917808219177,0.03362403100775194,NaN,NaN,NaN,NaN,NaN,0.004747945205479452,0.07491071428571429,NaN,NaN,NaN,NaN
1705652330,0.13374943150032884,0.32036507714999507,0.03273965309337156,0.1510036914877323,2.869530042796924,0.14540776275623485,0.3659486663311529,0.034374088123722356,0.09993276834857942,0.615715490352929,0.00011820571871115512,0.17682538183706975,0.12036261792446597,0.00715249999999999,0.643582621172205,221380608,151797760,6479872,432435200,254865408,330080256,136425472,4521984,268152832,98451456,4575232,2924544,306503680,11563008,249524224,329804.55149635475,0,0,494735.78258681425,0,18399.919947658087,0,0,,851810.448712077,37,35,7,4,34,9,6,7,3,11,1,3,4,24,3,0,6.267,24.467,0,0,0,0,0,0,0.667,0,0,0,NaN,0.0030821917808219177,0.03362403100775194,NaN,NaN,NaN,NaN,NaN,0.004747945205479452,0.07491071428571429,NaN,NaN,NaN,NaN
