time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,rabbitmq-exporter_cpu,session-db_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_mem,carts-db_mem,catalogue_mem,catalogue-db_mem,front-end_mem,istio-init_mem,orders_mem,orders-db_mem,payment_mem,queue-master_mem,rabbitmq_mem,rabbitmq-exporter_mem,session-db_mem,shipping_mem,user_mem,user-db_mem,carts_diskio,carts-db_diskio,catalogue-db_diskio,orders-db_diskio,queue-master_diskio,rabbitmq_diskio,session-db_diskio,user_diskio,user-db_diskio,carts_socket,carts-db_socket,catalogue_socket,catalogue-db_socket,front-end_socket,istio-init_socket,orders_socket,orders-db_socket,payment_socket,queue-master_socket,rabbitmq_socket,rabbitmq-exporter_socket,session-db_socket,shipping_socket,user_socket,user-db_socket,carts_workload,catalogue_workload,front-end_workload,orders_workload,payment_workload,shipping_workload,user_workload,carts_latency-50,catalogue_latency-50,front-end_latency-50,orders_latency-50,payment_latency-50,shipping_latency-50,user_latency-50,carts_latency-90,catalogue_latency-90,front-end_latency-90,orders_latency-90,payment_latency-90,shipping_latency-90,user_latency-90
1705789913,22.042362445586093,1.5836396559529193,0.19007684520522736,0.2125370816493122,5.276647676210891,19.674925534795566,0.46213278281204323,0.06971201994808593,8.150306076548471,1.3394786818874302,0.006977187671330835,0.2880964698326083,9.465236356258881,0.9385104030038832,0.9620040601965597,194326528,69382144,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3960832,294932480,5517312,34979840,0,1495747.6988079068,0,725869.6287635193,96129.54958831237,59836.80113529646,0,,910421.3494613494,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,2.867,2.667,17.867,0.018633743484067166,0.0033354037267080746,0.03009553743952725,0.04914014711968143,0.0024949768723670314,0.008147353267199852,0.0035807993360438255,0.048145239882048836,0.006952380952380948,0.08809401330596484,0.21238492981361157,0.0045354168437154755,0.02611422186511327,0.008239404259058305
1705789914,11.153415500313345,1.5836396559529193,0.19007684520522736,0.2125370816493122,5.162057516459961,19.674925534795566,0.46213278281204323,0.06971201994808593,10.207703298598284,1.3394786818874302,0.006977187671330835,0.28250049829842167,12.601934766091405,1.0166487368772492,1.1452088452088447,194326528,69382144,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3960832,294932480,5677056,34979840,0,1495747.6988079068,0,725869.6287635193,121084.9161185426,59836.80113529646,0,,1083802.6838026838,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,2.867,2.667,17.867,0.018609671018788233,0.0033354037267080746,0.03018166109028855,0.04911334885408829,0.0024949163980571318,0.008141424279266285,0.003581857827381051,0.04801271121551603,0.006952380952380948,0.08823239268244233,0.21167421559256433,0.004534501895806139,0.025771306199487105,0.008241628944514877
1705789915,11.153415500313345,1.5836396559529193,0.19007684520522736,0.2125370816493122,5.047467356709028,19.674925534795566,0.46213278281204323,0.06971201994808593,10.207703298598284,1.3394786818874302,0.006977187671330835,0.27690452676423505,12.601934766091405,1.0166487368772492,1.1452088452088447,194326528,69382144,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3960832,294932480,5677056,34979840,0,1495747.6988079068,0,725869.6287635193,121084.9161185426,59836.80113529646,0,,1083802.6838026838,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,2.867,2.667,17.867,0.018586539552517288,0.0033354037267080746,0.030266955752470993,0.049088001592778804,0.0024948588494220535,0.008135833175248896,0.003582873448935054,0.047885208468556484,0.006952380952380948,0.08836912574090235,0.2110018986389229,0.004533631211982924,0.02545241208611596,0.008243754102131177
1705789916,11.153415500313345,1.500976221872474,0.19007684520522736,0.2125370816493122,4.932877196958097,19.674925534795566,0.4780128726788488,0.06971201994808593,10.207703298598284,1.3394786818874302,0.006977187671330835,0.2713085552300484,12.601934766091405,1.0166487368772492,1.0705760363580201,194326528,69513216,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3960832,294932480,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.9161185426,59836.80113529646,0,,1183788.9116861913,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,2.867,2.667,17.867,0.01856429496715118,0.0033354037267080746,0.030351433337967235,0.04906399059418935,0.002494804019165202,0.008130551872123729,0.003583848753405636,0.04776245106248969,0.006952380952380948,0.08850424168731079,0.21036494910439513,0.0045328016559456966,0.02515510084374859,0.008245786264779119
1705789917,11.153415500313345,1.500976221872474,0.19007684520522736,0.2125370816493122,4.818287037207166,19.674925534795566,0.4780128726788488,0.06971201994808593,10.207703298598284,1.3394786818874302,0.006977187671330835,0.26571258369586176,12.601934766091405,1.0166487368772492,1.0705760363580201,194326528,69513216,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3960832,294932480,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,59836.80113529646,0,,1183788.9116861913,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,2.867,2.667,17.867,0.018542887216400322,0.0033354037267080746,0.03043510553153885,0.04904121290399902,0.0024947517191219255,0.00812555531510878,0.003584786094768158,0.04764417892199919,0.006952380952380948,0.08863776904086954,0.20976064774304093,0.0045320103808516275,0.024983250952834695,0.00824773140582723
1705789918,11.153415500313345,1.500976221872474,0.17991140383626633,0.2125370816493122,4.703696877456234,19.674925534795566,0.4780128726788488,0.06971201994808593,10.207703298598284,1.3394786818874302,0.006977187671330835,0.32234298290164215,12.601934766091405,1.0166487368772492,1.0705760363580201,194326528,69513216,4829184,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3964928,294932480,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,59836.80113529646,0,,1183788.9116861913,11,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,1.867,2.667,17.867,0.018491577741945365,0.0033354037267080746,0.0305179837962043,0.04901957587942006,0.0025799082101459494,0.008120821080202898,0.003585687647242417,0.04718050704186476,0.006952380952380948,0.08876973565408486,0.2091865471044112,0.0045506156923996064,0.024946952254590173,0.008249594997782878
1705789919,9.317271223113144,1.500976221872474,0.19681257599444155,0.2125370816493122,4.589106717705302,22.184448432877996,0.4780128726788488,0.06971201994808593,10.207703298598284,1.607442753560883,0.006977187671330835,0.3167068865352819,12.601934766091405,1.0166487368772492,1.0705760363580201,184832000,69513216,4894720,430612480,83001344,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3964928,294932480,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,82171.2091250394,0,,1183788.9116861913,10,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,1.867,2.667,17.867,0.018365209921076972,0.0033354037267080746,0.03060007937847395,0.048998995929775135,0.002579787937130947,0.008116329037724225,0.003586555422129469,0.04585647882645625,0.006952380952380948,0.08890016873213531,0.20864043840310928,0.004549825930826731,0.02491187219429847,0.00825138206371037
1705789920,9.317271223113144,1.5009762218724738,0.19681257599444155,0.22865035741748094,5.782409865386425,22.184448432877996,0.4780128726788488,0.06971201994808593,10.207703298598284,1.607442753560883,0.006977187671330835,0.3167068865352819,9.064692345418198,1.1408621707806779,1.0705760363580201,184832000,69513216,4894720,430612480,90308608,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3964928,295038976,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,82171.2091250394,0,,1183788.9116861913,10,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,24.733,2.4,1.867,2.667,17.867,0.018243342087398084,0.0033354037267080746,0.030681403313437883,0.048979397437260375,0.0025796728671960106,0.008112061066198554,0.003587391282790809,0.044578313870995645,0.006952380952380948,0.08902909485156962,0.2081203231191335,0.004549070334795449,0.02487795041602989,0.008253097222442166
1705789921,9.317271223113144,1.5009762218724738,0.19681257599444155,0.22865035741748094,5.782409865386425,22.184448432877996,0.4780128726788488,0.06971201994808593,10.207703298598284,1.607442753560883,0.006977187671330835,0.3167068865352819,9.064692345418198,1.1408621707806779,1.0705760363580201,184832000,69513216,4894720,430612480,90308608,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3964928,295038976,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,82171.2091250394,0,,1183788.9116861913,10,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,5.8,4.8,23.667,2.4,1.867,2.667,17.867,0.01812573807745667,0.0033354037267080746,0.029965866685838685,0.048960711828518355,0.002579562669857231,0.008108000808021007,0.0035897684509061034,0.043343669746396966,0.006952380952380948,0.08735967829620665,0.20762438855920795,0.004548346734213892,0.024845130484816975,0.008260945177149367
1705789922,9.317271223113144,1.5009762218724738,0.19681257599444155,0.22865035741748094,5.782409865386425,22.184448432877996,0.4780128726788488,0.07084431085241859,10.207703298598284,1.607442753560883,0.006977187671330835,0.3167068865352819,9.064692345418198,1.1408621707806779,1.0705760363580201,184832000,69513216,4894720,430612480,90308608,4923392,311365632,36323328,2752512,252014592,89890816,4014080,3964928,295038976,5677056,35139584,0,1724888.3406355013,0,878774.8760819708,121084.91611854258,82171.2091250394,0,,1183788.9116861913,10,6,5,4,8,0,16,6,3,3,11,1,3,6,12,7,4.933,4.8,23.667,1.467,0.933,1.733,11.933,0.018154186646748397,0.0033354037267080746,0.03000929014581697,0.04760550899337757,0.0025098765540001056,0.007837471382224298,0.0035494966764398703,0.043357396353078476,0.006952380952380948,0.08748361411154636,0.19857197867686557,0.00453899214471937,0.022203166237983952,0.008106222686147694
